cell_id Epithelial_cluster inferCNV_annotation
J8_B003656 Epithelial 24 nontumor
K16_B003120 Epithelial 14 nontumor
K17_B003930 Epithelial 26 nontumor
K1_B000863 Epithelial 16 nontumor
K20_B002078 Epithelial 14 nontumor
K20_B003105 Epithelial 26 nontumor
K20_B003120 Epithelial 14 nontumor
K20_B003930 Epithelial 26 nontumor
K22_B001010 Epithelial 12 nontumor
K6_B000862 Epithelial 16 nontumor
K6_B000863 Epithelial 16 nontumor
K7_B000863 Epithelial 16 nontumor
L10_B003078 Epithelial 24 tumor
L14_B003120 Epithelial 14 nontumor
L15_B000422 Epithelial 14 nontumor
L15_B003103 Epithelial 26 nontumor
L16_B003103 Epithelial 26 nontumor
L18_B003105 Epithelial 26 nontumor
L1_B000863 Epithelial 16 nontumor
L2_B000579 Epithelial 14 nontumor
L3_B000863 Epithelial 16 nontumor
L3_B003648 Epithelial 14 nontumor
L5_B000863 Epithelial 16 tumor
L5_B003659 Epithelial 14 nontumor
L6_B000569 Epithelial 24 tumor
L6_B000861 Epithelial 16 nontumor
L6_B000862 Epithelial 16 nontumor
L6_B000863 Epithelial 16 nontumor
L7_B003995 Epithelial 14 nontumor
L9_B000863 Epithelial 16 tumor
M12_B003103 Epithelial 26 nontumor
M15_B000420 Epithelial 12 nontumor
M15_B003775 Epithelial 18 nontumor
M17_B003776 Epithelial 18 nontumor
M19_B003070 Epithelial 14 tumor
M19_B003112 Epithelial 14 nontumor
M1_B000862 Epithelial 16 nontumor
M20_1001000412 Epithelial 14 tumor
M20_B003067 Epithelial 14 nontumor
M20_B003079 Epithelial 24 tumor
M3_B000862 Epithelial 16 nontumor
M3_B003995 Epithelial 14 tumor
M4_B000863 Epithelial 16 tumor
M4_B002572 Epithelial 14 nontumor
M5_B000863 Epithelial 16 nontumor
M7_B000863 Epithelial 16 nontumor
M8_B000861 Epithelial 16 nontumor
N10_B000863 Epithelial 16 nontumor
N11_B003647 Epithelial 14 nontumor
N16_B003105 Epithelial 26 nontumor
N1_B000862 Epithelial 16 tumor
N1_B003995 Epithelial 14 nontumor
N20_B003067 Epithelial 14 tumor
N22_B003775 Epithelial 18 tumor
N2_B000863 Epithelial 16 nontumor
N3_B000861 Epithelial 16 nontumor
N4_B000861 Epithelial 16 nontumor
N4_B000863 Epithelial 16 nontumor
N6_B000575 Epithelial 24 tumor
N6_B003659 Epithelial 22 nontumor
N7_B000862 Epithelial 16 nontumor
N9_B000862 Epithelial 16 nontumor
O10_B000894 Epithelial 14 tumor
O11_B003663 Epithelial 14 nontumor
O13_B003120 Epithelial 12 nontumor
O1_B001617 Epithelial 14 tumor
O23_1001000377 Epithelial 14 tumor
O24_1001000377 Epithelial 14 tumor
O2_B003658 Epithelial 14 nontumor
O2_B003659 Epithelial 22 tumor
O3_B000862 Epithelial 16 nontumor
O4_B000863 Epithelial 16 nontumor
O4_B003115 Epithelial 14 nontumor
O6_B000863 Epithelial 16 nontumor
O7_B001545 Epithelial 15 nontumor
O8_B000861 Epithelial 16 nontumor
O9_B000863 Epithelial 16 nontumor
P10_B000863 Epithelial 16 nontumor
P11_B000580 Epithelial 14 nontumor
P13_B003930 Epithelial 26 nontumor
P15_B003105 Epithelial 26 nontumor
P15_B003777 Epithelial 18 nontumor
P16_B003044 Epithelial 14 tumor
P19_B003646 Epithelial 14 nontumor
P20_B000573 Epithelial 24 nontumor
P21_B000862 Epithelial 16 nontumor
P2_B001464 Epithelial 26 tumor
P3_B000862 Epithelial 16 nontumor
P3_B000863 Epithelial 16 nontumor
P4_1001000411 Epithelial 14 tumor
P5_B000863 Epithelial 16 nontumor
P6_B000861 Epithelial 16 nontumor
P7_B003648 Epithelial 22 tumor
P9_B000862 Epithelial 16 nontumor
A21_B003187 Epithelial 14 nontumor
B5_B003995 Epithelial 14 nontumor
K7_B003995 Epithelial 14 nontumor
M14_1001000366 Epithelial 14 nontumor
N22_B003187 Epithelial 14 nontumor
O22_B000422 Epithelial 14 nontumor
N12_B003995 Epithelial 14 nontumor
D8_B000577 Epithelial 14 nontumor
B13_B003588 Epithelial 8 nontumor
O15_B003529 Epithelial 8 nontumor
H6_B000860 Epithelial 16 nontumor
L8_B003126 Epithelial 11 nontumor
A10_B001545 Epithelial 12 nontumor
A13_B003120 Epithelial 12 nontumor
A16_B003112 Epithelial 12 nontumor
A17_B003116 Epithelial 14 nontumor
A17_B003120 Epithelial 12 nontumor
A19_B002077 Epithelial 12 nontumor
A19_B003070 Epithelial 15 tumor
A1_B003115 Epithelial 15 nontumor
A20_B003116 Epithelial 12 nontumor
A21_B003116 Epithelial 14 nontumor
A21_B003654 Epithelial 4 tumor
A2_B003129 Epithelial 12 nontumor
A6_B003648 Epithelial 15 tumor
A7_1001000412 Epithelial 15 nontumor
B10_B003523 Epithelial 15 nontumor
B12_B003116 Epithelial 12 nontumor
B13_B003112 Epithelial 12 nontumor
B15_B002077 Epithelial 12 nontumor
B15_B003775 Epithelial 18 tumor
B16_B002079 Epithelial 12 nontumor
B17_B000422 Epithelial 12 nontumor
B18_B000422 Epithelial 12 nontumor
B22_B000422 Epithelial 15 nontumor
B3_1001000315 Epithelial 4 tumor
B3_B001543 Epithelial 12 nontumor
B6_B001548 Epithelial 15 nontumor
B7_B001543 Epithelial 15 nontumor
B9_B003523 Epithelial 15 nontumor
C10_B000863 Epithelial 15 nontumor
C10_B003523 Epithelial 15 nontumor
C14_1001000412 Epithelial 15 tumor
C14_B003116 Epithelial 12 nontumor
C15_B003112 Epithelial 12 nontumor
C16_B003656 Epithelial 14 nontumor
C17_B000420 Epithelial 15 nontumor
C17_B003112 Epithelial 12 nontumor
C17_B003656 Epithelial 14 nontumor
C19_1001000340 Epithelial 10 tumor
C19_B003656 Epithelial 14 nontumor
C1_B003577 Epithelial 15 nontumor
C20_B003656 Epithelial 14 nontumor
C21_B002079 Epithelial 15 nontumor
C22_B003656 Epithelial 14 nontumor
C4_1001000302 Epithelial 4 tumor
C4_B003115 Epithelial 15 nontumor
C5_B001464 Epithelial 12 tumor
C5_B003648 Epithelial 15 nontumor
C6_B001548 Epithelial 15 nontumor
C7_B001548 Epithelial 12 nontumor
C7_B001556 Epithelial 15 nontumor
C7_B003119 Epithelial 12 nontumor
C8_B001548 Epithelial 15 nontumor
C8_B001556 Epithelial 14 tumor
C9_B001470 Epithelial 12 nontumor
C9_B001545 Epithelial 12 nontumor
C9_B003119 Epithelial 12 nontumor
D11_1001000317 Epithelial 14 nontumor
D12_1001000327 Epithelial 12 tumor
D12_B003116 Epithelial 12 nontumor
D13_B001557 Epithelial 15 nontumor
D15_B003116 Epithelial 12 tumor
D17_B003120 Epithelial 12 nontumor
D19_B002079 Epithelial 15 nontumor
D19_B003071 Epithelial 4 tumor
D21_B002077 Epithelial 12 nontumor
D21_B003120 Epithelial 12 nontumor
D3_B003191 Epithelial 12 nontumor
D5_B003648 Epithelial 15 nontumor
D6_B001548 Epithelial 14 tumor
D8_B000579 Epithelial 20 tumor
D8_B001470 Epithelial 2 tumor
D9_B001545 Epithelial 12 nontumor
E10_B003119 Epithelial 12 nontumor
E11_B003523 Epithelial 12 nontumor
E12_B003120 Epithelial 12 nontumor
E16_B002078 Epithelial 15 nontumor
E16_B003116 Epithelial 12 nontumor
E17_B000422 Epithelial 15 nontumor
E19_B000420 Epithelial 12 nontumor
E20_B000422 Epithelial 15 nontumor
E21_B002079 Epithelial 15 nontumor
E22_B002077 Epithelial 15 nontumor
E22_B003112 Epithelial 14 nontumor
E3_B001543 Epithelial 15 tumor
E3_B003648 Epithelial 15 tumor
E4_B003132 Epithelial 12 nontumor
E5_B001470 Epithelial 15 nontumor
E6_B001543 Epithelial 15 nontumor
E7_B003648 Epithelial 15 tumor
E9_1001000302 Epithelial 4 tumor
F10_B003115 Epithelial 15 nontumor
F13_B000420 Epithelial 12 nontumor
F13_B001010 Epithelial 15 nontumor
F13_B003112 Epithelial 12 nontumor
F14_B000422 Epithelial 15 nontumor
F14_B003120 Epithelial 14 tumor
F15_B003112 Epithelial 14 nontumor
F18_B003116 Epithelial 12 nontumor
F19_B002079 Epithelial 15 nontumor
F19_B003067 Epithelial 15 tumor
F20_B003112 Epithelial 14 nontumor
F21_B002078 Epithelial 15 nontumor
F22_B003112 Epithelial 12 nontumor
F2_B001464 Epithelial 15 nontumor
F2_B003648 Epithelial 15 tumor
F5_B001548 Epithelial 12 nontumor
F5_B003191 Epithelial 12 nontumor
F6_B001464 Epithelial 19 tumor
F7_B003132 Epithelial 12 nontumor
F9_B001548 Epithelial 15 tumor
G11_B002078 Epithelial 12 nontumor
G11_B003113 Epithelial 4 tumor
G14_B001010 Epithelial 12 tumor
G14_B003116 Epithelial 12 nontumor
G16_B000422 Epithelial 12 nontumor
G17_B002078 Epithelial 15 nontumor
G17_B002079 Epithelial 15 nontumor
G19_B003116 Epithelial 12 nontumor
G21_B003112 Epithelial 12 nontumor
G22_B003071 Epithelial 4 tumor
G22_B003112 Epithelial 14 nontumor
G22_B003116 Epithelial 12 nontumor
G22_B003120 Epithelial 12 nontumor
G4_1001000302 Epithelial 4 tumor
G4_B003191 Epithelial 4 tumor
G4_B003648 Epithelial 15 tumor
G7_B001557 Epithelial 15 nontumor
G7_B003119 Epithelial 12 nontumor
G9_B003119 Epithelial 12 nontumor
H12_B003116 Epithelial 12 nontumor
H14_B000420 Epithelial 12 nontumor
H14_B003112 Epithelial 12 nontumor
H16_B003132 Epithelial 12 nontumor
H17_B000420 Epithelial 15 nontumor
H17_B000422 Epithelial 12 nontumor
H17_B003112 Epithelial 12 nontumor
H17_B003120 Epithelial 12 nontumor
H18_B003071 Epithelial 15 nontumor
H18_B003116 Epithelial 12 nontumor
H19_B002079 Epithelial 15 nontumor
H19_B003116 Epithelial 12 nontumor
H1_1001000340 Epithelial 10 nontumor
H20_B003112 Epithelial 12 nontumor
H20_B003120 Epithelial 12 nontumor
H21_B000420 Epithelial 12 nontumor
H21_B003112 Epithelial 14 nontumor
H2_B003577 Epithelial 15 tumor
H3_B001545 Epithelial 12 nontumor
H3_B003187 Epithelial 12 nontumor
H5_1001000411 Epithelial 14 tumor
H7_B001545 Epithelial 15 nontumor
H7_B003119 Epithelial 12 nontumor
H9_B001548 Epithelial 15 tumor
I11_B001545 Epithelial 12 nontumor
I11_B003523 Epithelial 15 nontumor
I12_B003120 Epithelial 14 nontumor
I13_B003112 Epithelial 12 nontumor
I14_B002078 Epithelial 15 nontumor
I14_B003120 Epithelial 12 nontumor
I14_B003191 Epithelial 4 nontumor
I15_B003112 Epithelial 12 nontumor
I1_B001543 Epithelial 12 nontumor
I22_B002078 Epithelial 15 tumor
I4_B003129 Epithelial 12 nontumor
I4_B003187 Epithelial 12 nontumor
I6_B001545 Epithelial 15 nontumor
I8_B001543 Epithelial 12 nontumor
I8_B001548 Epithelial 15 nontumor
I8_B003119 Epithelial 12 nontumor
I9_B003523 Epithelial 15 nontumor
J10_B003113 Epithelial 4 tumor
J11_B003119 Epithelial 14 nontumor
J12_B003116 Epithelial 12 nontumor
J15_B003776 Epithelial 12 nontumor
J16_B000420 Epithelial 12 nontumor
J16_B003588 Epithelial 8 nontumor
J17_B003776 Epithelial 12 nontumor
J1_B003523 Epithelial 15 tumor
J20_B000422 Epithelial 12 nontumor
J21_B003112 Epithelial 15 nontumor
J21_B003120 Epithelial 12 nontumor
J22_B003116 Epithelial 12 nontumor
J8_B003126 Epithelial 12 nontumor
J8_B003528 Epithelial 15 nontumor
J8_B003648 Epithelial 15 tumor
K10_1001000412 Epithelial 15 tumor
K11_B003663 Epithelial 15 nontumor
K14_B003116 Epithelial 14 nontumor
K14_B003920 Epithelial 12 nontumor
K15_1001000411 Epithelial 15 tumor
K15_B002077 Epithelial 12 nontumor
K15_B002078 Epithelial 12 nontumor
K16_B002079 Epithelial 15 tumor
K17_B000422 Epithelial 12 nontumor
K18_B003112 Epithelial 12 nontumor
K18_B003125 Epithelial 14 nontumor
K18_B003588 Epithelial 14 nontumor
K19_B003070 Epithelial 15 tumor
K1_B000429 Epithelial 4 tumor
K20_B003125 Epithelial 14 nontumor
K20_B003588 Epithelial 14 nontumor
K22_B003070 Epithelial 15 tumor
K22_B003112 Epithelial 12 nontumor
K2_B000429 Epithelial 4 tumor
K5_1001000411 Epithelial 15 nontumor
K6_B003995 Epithelial 4 tumor
K7_B001545 Epithelial 15 nontumor
K7_B003648 Epithelial 15 tumor
K7_B003659 Epithelial 15 tumor
K8_B001559 Epithelial 15 nontumor
K8_B003659 Epithelial 15 tumor
K9_B001545 Epithelial 12 nontumor
K9_B003523 Epithelial 15 tumor
L11_1001000340 Epithelial 4 nontumor
L14_1001000412 Epithelial 15 nontumor
L14_B003112 Epithelial 12 nontumor
L15_B003120 Epithelial 12 nontumor
L16_B002079 Epithelial 12 nontumor
L16_B003112 Epithelial 12 nontumor
L17_B000422 Epithelial 12 nontumor
L17_B003120 Epithelial 12 nontumor
L18_B003120 Epithelial 12 nontumor
L20_B002077 Epithelial 15 nontumor
L20_B002078 Epithelial 15 nontumor
L20_B003120 Epithelial 12 nontumor
L21_B003116 Epithelial 12 nontumor
L21_B003120 Epithelial 12 nontumor
L4_B001464 Epithelial 19 tumor
L5_B003112 Epithelial 12 nontumor
L6_B001545 Epithelial 12 nontumor
L6_B001548 Epithelial 12 nontumor
L6_B003126 Epithelial 14 nontumor
L8_B001543 Epithelial 12 nontumor
M14_B003112 Epithelial 12 nontumor
M16_B003120 Epithelial 12 nontumor
M17_B003120 Epithelial 12 nontumor
M18_B000420 Epithelial 12 nontumor
M18_B003112 Epithelial 14 nontumor
M18_B003116 Epithelial 12 nontumor
M19_B000420 Epithelial 12 nontumor
M19_B003067 Epithelial 4 tumor
M19_B003775 Epithelial 12 nontumor
M20_B003112 Epithelial 12 nontumor
M21_B002074 Epithelial 14 nontumor
M21_B003120 Epithelial 12 nontumor
M22_B003116 Epithelial 12 nontumor
M22_B003120 Epithelial 14 nontumor
M2_B001557 Epithelial 15 nontumor
M2_B003126 Epithelial 12 nontumor
M4_B003126 Epithelial 12 nontumor
M7_B001548 Epithelial 12 nontumor
M7_B003523 Epithelial 15 nontumor
M8_B001543 Epithelial 12 nontumor
N12_B003116 Epithelial 14 nontumor
N12_B003119 Epithelial 12 nontumor
N13_B000422 Epithelial 12 nontumor
N14_1001000407 Epithelial 15 tumor
N15_B000420 Epithelial 15 nontumor
N16_B002077 Epithelial 12 nontumor
N18_B002090 Epithelial 14 nontumor
N18_B003112 Epithelial 12 nontumor
N19_B003112 Epithelial 14 nontumor
N20_B000422 Epithelial 12 nontumor
N20_B003112 Epithelial 14 nontumor
N21_B003120 Epithelial 12 nontumor
N22_B002079 Epithelial 12 nontumor
N9_B001543 Epithelial 15 nontumor
O12_B003648 Epithelial 15 tumor
O13_B002079 Epithelial 12 nontumor
O13_B003112 Epithelial 12 nontumor
O14_B002077 Epithelial 12 nontumor
O16_B003112 Epithelial 12 nontumor
O17_B001007 Epithelial 14 nontumor
O17_B002079 Epithelial 12 nontumor
O18_B003116 Epithelial 14 nontumor
O18_B003125 Epithelial 14 nontumor
O19_B003067 Epithelial 4 tumor
O19_B003112 Epithelial 12 nontumor
O19_B003116 Epithelial 12 nontumor
O1_B000260 Epithelial 10 tumor
O20_B003894 Epithelial 12 nontumor
O21_B002079 Epithelial 9 nontumor
O21_B003071 Epithelial 4 tumor
O21_B003116 Epithelial 12 nontumor
O21_B003120 Epithelial 12 nontumor
O22_B003112 Epithelial 12 tumor
O3_B001548 Epithelial 12 nontumor
O8_1001000340 Epithelial 10 tumor
O8_B001548 Epithelial 12 nontumor
O8_B003187 Epithelial 12 nontumor
O9_B001545 Epithelial 12 nontumor
P10_B001545 Epithelial 15 nontumor
P11_B001543 Epithelial 15 tumor
P11_B001548 Epithelial 15 nontumor
P12_B003120 Epithelial 14 tumor
P14_B003116 Epithelial 12 nontumor
P15_B003771 Epithelial 15 nontumor
P17_B002097 Epithelial 14 nontumor
P19_B003647 Epithelial 28 tumor
P1_B001543 Epithelial 12 nontumor
P22_B002079 Epithelial 15 nontumor
P3_B003187 Epithelial 12 nontumor
P6_B001543 Epithelial 15 nontumor
P6_B003191 Epithelial 12 nontumor
P7_B001543 Epithelial 12 nontumor
P8_B001545 Epithelial 15 nontumor
D7_B001551 Epithelial 15 nontumor
F3_1001000295 Epithelial 15 nontumor
G12_1001000292 Epithelial 15 nontumor
H8_B003529 Epithelial 15 nontumor
M13_1001000412 Epithelial 15 nontumor
A22_B003995 Epithelial 20 tumor
D10_B001545 Epithelial 15 tumor
G7_B003995 Epithelial 4 tumor
N12_B003771 Epithelial 20 tumor
D10_B003995 Epithelial 15 nontumor
J20_B003588 Epithelial 8 nontumor
F11_B001548 Epithelial 12 nontumor
E19_B003646 Epithelial 4 nontumor
N15_B003132 Epithelial 4 nontumor
O21_B003646 Epithelial 4 nontumor
O5_B003126 Epithelial 4 tumor
P15_B003187 Epithelial 4 nontumor
A10_B003523 Epithelial 15 tumor
A16_B002077 Epithelial 6 tumor
A17_B000420 Epithelial 6 tumor
A17_B002077 Epithelial 6 tumor
A19_B000420 Epithelial 6 tumor
A21_B000420 Epithelial 6 tumor
A21_B002079 Epithelial 6 tumor
B19_B000420 Epithelial 6 tumor
B22_B000420 Epithelial 6 tumor
B5_B001548 Epithelial 21 tumor
C10_B001548 Epithelial 21 tumor
C11_B001556 Epithelial 14 tumor
C16_B000420 Epithelial 6 nontumor
C20_B000420 Epithelial 6 nontumor
D16_B000420 Epithelial 6 tumor
D16_B002079 Epithelial 15 tumor
D17_B002079 Epithelial 15 nontumor
D18_B002078 Epithelial 6 nontumor
D18_B003930 Epithelial 19 tumor
D21_B000420 Epithelial 6 nontumor
D22_B000420 Epithelial 6 nontumor
D22_B002078 Epithelial 6 tumor
D7_B001548 Epithelial 15 nontumor
D8_B001545 Epithelial 15 tumor
E16_B000420 Epithelial 12 nontumor
E17_B003656 Epithelial 28 tumor
E18_B000420 Epithelial 6 tumor
E5_B001545 Epithelial 15 tumor
E7_B003656 Epithelial 28 tumor
F19_B000420 Epithelial 6 nontumor
F21_B000420 Epithelial 6 tumor
G22_B002078 Epithelial 6 nontumor
H18_B000420 Epithelial 15 tumor
H20_B000420 Epithelial 15 nontumor
H8_B003523 Epithelial 15 nontumor
I16_B000420 Epithelial 15 tumor
I17_B002078 Epithelial 15 tumor
I20_B000420 Epithelial 6 nontumor
I5_B001548 Epithelial 15 nontumor
I9_B001545 Epithelial 15 tumor
J1_B002078 Epithelial 15 nontumor
J20_B000420 Epithelial 6 nontumor
K19_B002077 Epithelial 6 tumor
L17_B000420 Epithelial 6 tumor
L19_B000420 Epithelial 6 nontumor
M10_B001545 Epithelial 6 tumor
M10_B001548 Epithelial 15 tumor
M19_B000422 Epithelial 6 tumor
M21_B002077 Epithelial 6 tumor
M8_B003577 Epithelial 15 tumor
N19_B000420 Epithelial 6 tumor
N5_B001545 Epithelial 15 nontumor
O15_B001007 Epithelial 6 nontumor
O17_B000420 Epithelial 6 nontumor
O18_B000420 Epithelial 6 tumor
