"","cnv_score"
"E19_1001000407",7098
"J10_1001000412",6818
"M19_1001000412",6527
"D9_1001000407",6480
"P9_1001000408",5976
"B2_1001000412",6917
"A6_1001000412",6528
"P12_1001000412",6376
"E18_1001000408",6956
"F8_1001000412",6448
"A2_1001000411",6489
"D21_1001000408",6905
"J4_1001000412",7051
"B11_1001000407",6782
"O5_1001000412",7076
"C22_1001000407",6974
"G2_1001000408",6688
"K18_1001000408",6821
"A16_1001000408",6728
"G13_1001000408",6445
"A21_1001000407",6775
"H2_1001000407",6382
"A6_1001000408",6949
"P14_1001000408",6593
"H2_1001000408",7067
"D4_1001000412",6483
"M13_1001000407",6906
"A11_1001000408",6854
"C20_1001000407",6212
"I9_1001000412",7002
"E9_1001000408",6814
"M15_1001000412",6086
"M20_1001000408",6907
"L20_1001000412",7622
"D5_1001000411",7079
"B21_1001000412",7384
"E4_1001000412",7501
"L3_1001000407",6936
"C12_1001000407",7937
"O4_1001000412",7027
"G19_1001000408",6598
"H10_1001000407",6536
"F11_1001000412",6899
"I8_1001000412",6985
"G17_1001000412",7419
"E5_1001000407",8003
"G13_1001000412",6831
"C3_1001000408",6704
"I13_1001000412",6388
"A14_1001000407",7302
"B10_1001000408",6727
"O14_1001000411",6861
"G22_1001000412",7145
"G3_1001000412",7209
"H21_1001000408",8083
"K7_1001000407",6892
"L7_1001000412",6613
"K16_1001000407",7238
"A18_1001000407",6599
"D15_1001000407",5584
"B8_1001000408",6704
"J12_1001000408",6601
"P12_1001000408",6909
"P3_1001000407",7198
"C21_1001000408",6890
"D2_1001000412",6534
"J7_1001000412",6719
"D17_1001000412",6233
"N5_1001000408",6195
"A22_1001000408",6017
"B21_1001000407",6787
"G19_1001000407",6595
"B17_1001000407",6852
"K11_1001000407",7082
"K2_1001000408",6677
"F20_1001000407",6270
"I17_1001000408",7659
"H10_1001000408",7499
"F5_1001000407",6661
"P21_1001000408",6202
"F11_1001000407",7196
"J19_1001000408",6679
"O13_1001000412",6274
"E7_1001000407",6242
"G17_1001000407",6314
"C17_1001000408",6440
"H14_1001000412",6672
"M13_1001000408",7518
"B13_1001000408",6768
"J10_1001000407",5982
"K14_1001000412",6578
"J5_1001000407",6953
"M21_1001000407",6960
"C15_1001000407",6862
"D10_1001000408",6037
"F16_1001000412",7051
"C7_1001000412",7905
"E19_1001000408",7635
"F15_1001000412",7132
"F15_1001000407",7041
"H3_1001000412",6783
"K21_1001000412",7484
"C8_1001000407",7088
"G12_1001000407",7395
"E21_1001000407",6931
"H19_1001000408",7460
"L9_1001000412",7202
"A12_1001000408",7579
"G9_1001000412",7010
"H21_1001000412",7025
"K3_1001000407",6957
"O19_1001000407",6714
"F12_1001000412",6578
"O12_1001000407",6020
"H9_1001000408",6824
"I8_1001000408",7341
"D9_1001000412",6813
"N1_1001000411",7076
"G6_1001000412",6583
"K5_1001000412",7099
"K20_1001000408",6862
"K5_1001000407",6986
"M20_1001000407",6743
"O21_1001000408",5955
"I4_1001000407",6043
"O6_1001000412",6149
"A17_1001000407",6242
"E14_1001000408",6222
"D7_1001000407",6531
"J14_1001000412",6654
"K9_1001000407",6828
"H17_1001000412",8161
"A3_1001000412",6988
"J3_1001000407",7306
"E17_1001000407",6887
"K15_1001000412",5737
"E7_1001000408",6526
"N22_1001000407",6523
"A10_1001000412",6993
"N7_1001000412",6182
"K11_1001000408",6727
"M10_1001000407",6690
"I20_1001000407",7134
"L14_1001000408",6775
"D16_1001000412",7236
"K20_1001000407",6363
"J5_1001000408",7071
"A20_1001000412",6748
"I22_1001000408",6286
"I3_1001000407",7053
"H16_1001000412",7017
"K17_1001000407",6741
"K6_1001000408",5885
"B13_1001000407",7028
"L12_1001000407",6589
"C9_1001000407",6858
"F19_1001000408",6576
"I6_1001000408",6641
"L18_1001000408",6957
"H12_1001000407",6379
"L10_1001000407",6995
"L10_1001000408",6455
"I15_1001000408",6851
"M22_1001000408",6645
"E14_1001000407",6577
"F7_1001000412",6313
"K5_1001000408",6784
"N18_1001000408",6845
"F9_1001000408",6077
"O17_1001000407",6444
"F10_1001000412",6918
"M11_1001000407",5382
"J22_1001000407",6623
"L19_1001000407",6941
"N2_1001000407",6739
"J16_1001000407",7078
"O8_1001000407",6996
"A19_1001000412",6811
"D14_1001000412",6376
"O13_1001000408",6471
"P1_1001000408",6639
"C6_1001000408",6584
"I10_1001000408",6755
"J13_1001000408",7028
"P14_1001000412",6416
"F17_1001000408",6361
"N15_1001000412",6822
"K22_1001000412",6581
"I10_1001000407",6256
"J18_1001000408",6600
"D16_1001000408",6121
"P19_1001000407",6310
"H18_1001000408",7204
"L11_1001000407",7045
"D11_1001000408",5948
"D21_1001000412",6461
"L17_1001000407",6405
"A9_1001000412",6116
"G16_1001000408",6175
"N14_1001000411",6747
"B19_1001000407",6528
"F22_1001000408",6409
"B13_1001000412",6670
"K10_1001000407",7074
"D13_1001000407",6553
"L4_1001000411",6902
"N21_1001000408",6844
"O9_1001000407",6811
"G22_1001000407",6170
"P13_1001000407",6580
"J2_1001000408",7114
"H11_1001000408",6832
"L16_1001000408",6883
"A15_1001000407",6578
"P6_1001000407",6434
"A22_1001000407",6772
"N5_1001000412",6595
"E10_1001000408",6183
"A17_1001000408",6262
"C10_1001000407",6433
"E8_1001000407",6956
"O7_1001000408",6109
"P8_1001000412",6733
"A11_1001000407",7223
"B16_1001000407",6567
"E11_1001000408",6116
"D5_1001000407",6498
"F13_1001000408",6903
"M5_1001000407",7356
"H1_1001000407",6686
"F17_1001000407",6405
"J11_1001000408",6635
"N20_1001000412",7465
"H3_1001000408",7328
"P5_1001000407",6537
"H13_1001000408",6929
"J15_1001000408",6021
"B5_1001000407",6622
"B21_1001000408",6408
"K8_1001000408",7220
"M10_1001000412",6630
"P10_1001000407",6677
"B7_1001000408",6718
"D1_1001000407",6592
"L17_1001000408",6658
"J1_1001000407",6273
"M17_1001000412",6354
"O1_1001000407",6122
"K2_1001000407",6636
"L9_1001000407",6482
"I5_1001000412",5839
"J17_1001000412",6316
"D1_1001000408",6400
"H18_1001000407",6178
"C6_1001000412",6243
"F13_1001000412",6223
"N13_1001000408",7134
"I11_1001000407",6736
"K7_1001000412",6319
"K9_1001000408",7301
"E16_1001000408",7887
"G22_1001000408",7014
"M1_1001000407",6960
"G18_1001000408",6804
"G8_1001000407",6498
"G7_1001000407",6818
"N6_1001000407",6596
"O9_1001000408",6240
"B9_1001000408",6410
"H12_1001000412",7219
"M3_1001000412",6665
"C17_1001000412",6169
"F14_1001000412",6195
"H16_1001000407",6298
"F7_1001000407",6311
"L22_1001000412",7363
"M15_1001000407",6406
"O3_1001000407",6240
"A19_1001000407",7348
"P15_1001000407",6829
"K18_1001000412",6689
"N13_1001000412",6375
"B18_1001000412",6029
"N21_1001000412",5891
"F14_1001000408",6496
"K10_1001000408",6702
"K19_1001000408",6853
"J17_1001000408",7116
"I7_1001000408",6790
"K19_1001000407",7149
"O5_1001000407",6438
"F10_1001000407",6743
"N10_1001000407",6645
"K22_1001000407",7301
"F21_1001000408",6273
"N17_1001000407",6613
"G14_1001000412",7039
"M17_1001000408",7697
"O18_1001000408",6762
"D3_1001000412",7922
"N7_1001000407",6965
"J22_1001000408",7211
"M12_1001000412",6824
"C9_1001000412",7459
"E20_1001000408",6867
"L9_1001000411",6816
"L11_1001000412",7294
"M8_1001000412",6861
"D22_1001000407",6230
"P14_1001000407",6398
"G7_1001000408",6944
"L18_1001000412",6982
"F3_1001000408",6727
"K13_1001000407",6797
"E18_1001000407",6966
"J17_1001000407",5965
"E22_1001000408",6825
"G15_1001000411",6254
"G3_1001000408",7022
"P20_1001000408",6520
"C4_1001000412",6864
"G18_1001000412",6505
"I21_1001000412",6536
"L10_1001000412",6933
"E8_1001000412",5858
"J8_1001000407",6371
"M7_1001000407",6278
"M12_1001000408",6016
"M5_1001000408",6836
"M6_1001000412",6487
"B15_1001000407",6524
"B19_1001000408",6236
"E12_1001000407",6575
"E13_1001000407",6652
"M16_1001000407",5961
"K21_1001000408",6362
"O5_1001000408",6597
"N19_1001000408",6675
"O22_1001000408",6401
"B12_1001000408",7141
"C16_1001000411",6418
"G8_1001000412",6022
"O9_1001000412",6682
"J21_1001000407",6661
"P20_1001000407",6118
"B10_1001000411",6609
"I6_1001000412",6960
"K9_1001000412",7399
"M5_1001000412",7281
"F18_1001000412",7046
"M9_1001000408",6195
"N17_1001000408",6871
"E9_1001000412",6344
"I11_1001000412",6745
"C8_1001000408",6645
"I12_1001000408",7221
"C16_1001000407",6449
"M4_1001000412",6224
"D16_1001000407",6825
"J5_1001000412",6870
"E4_1001000408",7038
"I5_1001000407",6637
"I19_1001000407",7298
"K20_1001000412",6612
"C17_1001000407",6952
"P18_1001000407",6263
"B15_1001000408",7208
"F4_1001000407",6755
"C2_1001000412",7499
"C2_1001000408",7623
"O14_1001000412",7338
"O15_1001000412",6748
"P8_1001000407",7229
"O16_1001000408",6973
"J18_1001000412",6970
"O7_1001000407",7117
"A11_1001000412",7301
"M2_1001000407",7413
"F18_1001000407",7856
"G14_1001000407",6840
"I3_1001000408",6859
"N12_1001000407",5848
"N18_1001000412",5482
"L6_1001000407",6407
"P18_1001000412",6968
"O8_1001000412",6109
"P6_1001000412",6743
"G20_1001000408",6414
"O22_1001000412",6497
"H21_1001000407",7032
"I5_1001000408",7221
"L5_1001000412",6860
"H19_1001000407",6987
"J9_1001000408",7351
"K8_1001000407",6452
"B11_1001000408",7254
"D3_1001000408",7518
"A7_1001000408",7342
"F20_1001000408",7207
"O17_1001000408",6689
"A9_1001000408",6892
"P21_1001000412",6759
"F4_1001000408",7301
"B10_1001000412",7344
"G21_1001000408",6620
"H22_1001000408",7485
"N18_1001000407",7347
"A21_1001000408",7328
"J7_1001000407",6404
"B11_1001000412",6761
"E6_1001000412",6746
"I9_1001000408",6619
"L6_1001000408",7011
"N8_1001000409",5730
"C21_1001000407",7060
"G8_1001000408",6814
"D7_1001000412",6316
"B9_1001000412",6299
"J11_1001000407",6148
"N14_1001000412",7174
"B20_1001000407",6571
"O22_1001000407",7160
"B22_1001000412",6491
"E10_1001000407",7186
"D12_1001000407",6828
"L20_1001000408",6975
"P10_1001000408",6730
"P17_1001000407",7711
"J21_1001000412",6689
"L2_1001000407",6615
"D12_1001000408",6825
"M15_1001000408",6423
"H14_1001000408",7436
"C13_1001000412",6769
"C21_1001000412",6904
"K3_1001000412",6734
"A12_1001000407",6634
"A4_1001000407",6932
"E3_1001000407",7265
"C22_1001000408",6782
"O16_1001000412",6886
"B15_1001000412",6761
"F16_1001000408",6341
"E6_1001000407",7361
"N6_1001000412",7787
"M7_1001000412",6815
"B8_1001000407",6424
"O13_1001000407",6109
"A20_1001000407",6677
"D12_1001000412",6819
"N20_1001000407",6257
"F6_1001000407",7271
"G9_1001000407",6073
"D11_1001000407",7043
"K6_1001000412",6906
"H9_1001000407",7288
"L13_1001000407",6903
"I4_1001000408",7168
"E6_1001000408",7360
"M21_1001000408",7523
"B1_1001000408",6989
"P22_1001000407",6082
"B3_1001000407",6687
"G2_1001000407",6609
"G6_1001000407",5980
"J18_1001000407",6605
"M18_1001000409",5976
"P5_1001000409",4983
"H17_1001000407",7083
"O6_1001000407",6551
"G5_1001000408",6792
"N6_1001000408",6833
"M11_1001000412",7387
"M3_1001000407",6854
"F11_1001000408",6777
"G11_1001000408",6252
"L17_1001000412",6370
"F12_1001000407",7130
"G13_1001000407",6454
"I14_1001000407",6693
"A13_1001000407",6818
"G5_1001000412",6806
"B14_1001000407",6283
"N9_1001000412",7149
"K14_1001000408",6465
"L19_1001000408",6448
"E1_1001000408",6733
"P2_1001000408",6835
"E22_1001000407",6241
"L13_1001000412",6593
"P11_1001000412",6957
"D11_B003518",2562
"L22_B003522",1778
"L22_B003529",1643
"B19_B003588",1617
"B20_B003588",1719
"I14_B003588",1655
"B21_B003588",1277
"M15_B003522",1378
"P18_B003529",1888
"F13_B003588",1404
"C21_B003529",1432
"J21_B003522",1588
"B16_B003588",1555
"N15_B003588",1333
"F14_B003518",1352
"D10_B003588",1314
"K15_B003522",1586
"L19_B003529",2098
"K16_B003588",1737
"P14_B003522",1218
"E16_B002078",1651
"A7_1001000412",1311
"B2_B002090",1332
"F13_B003529",1441
"P21_B003588",1240
"E12_B003179",978
"C18_B003529",1584
"M14_B003522",1953
"C10_B003523",1317
"F9_B003529",1530
"J11_B003522",1426
"J22_B003529",1421
"J11_B003588",1547
"K17_B003529",1296
"N21_B003522",1860
"O10_B003522",1452
"F22_B003191",1131
"C9_B003529",1036
"L14_B003522",935
"O13_B003529",757
"H12_B003529",925
"H20_B003588",856
"E17_B003529",1272
"D22_B003529",1107
"M12_B003588",962
"E10_B003529",1036
"I9_B003522",1054
"A14_B003588",940
"D12_B003588",1145
"E10_B003522",1276
"J13_B003529",1181
"E11_B003529",1332
"M9_B003522",1457
"A17_B003120",1430
"E15_B003120",1018
"E11_B003588",1029
"N12_B003588",1002
"M19_B003588",1549
"G14_B003529",1230
"M19_B003112",941
"M11_B003529",1334
"H16_B003588",1258
"K21_B003522",1364
"B1_B001546",1638
"P11_B000580",1527
"B20_B003183",1633
"O14_B003112",1827
"O21_B003116",1787
"E13_B003588",2998
"O20_B003527",2381
"M8_B003527",2055
"O13_B003518",2514
"O16_B003522",3073
"D11_B003588",2380
"E16_B003529",2178
"H9_B003588",1771
"F10_B003522",2571
"G14_B003522",2329
"M10_B003529",2464
"F18_B003529",2823
"M21_B003522",2896
"B11_B003588",2214
"H22_B003588",2042
"C17_B003522",2716
"I15_B003588",1878
"K21_B003588",1841
"N13_B003518",2905
"I15_B003522",2636
"D9_B003588",1702
"I20_B003588",2152
"P2_B002090",2016
"E5_B003527",2100
"A18_B003522",1833
"D18_B003529",1698
"K14_B003588",2005
"I20_B003522",3019
"K18_B003529",2898
"O9_B000863",1271
"F5_B000862",823
"B10_B000862",936
"P3_B000862",829
"A10_B000863",1344
"N9_B000862",1174
"B4_B000861",1156
"M5_B000863",850
"N4_B000861",1181
"I5_B000861",1252
"M8_B000861",1085
"L1_B000863",1649
"O8_B000861",1603
"F4_B000863",1612
"H10_B000862",1419
"D11_B000861",1333
"D4_B000863",1607
"N4_B000863",1412
"C1_B000862",1454
"B3_B000860",2136
"B4_B000862",1504
"G2_B000863",1573
"I4_B000863",1364
"I9_B000860",703
"A20_B003105",579
"J14_B003930",714
"B5_1001000327",695
"J19_B003105",691
"L18_B003105",765
"C15_B003105",968
"I21_B003103",867
"I22_B003930",586
"N16_B003105",600
"C2_B000861",647
"I12_B003105",769
"C12_B003930",1621
"F19_B003103",1121
"K17_B003930",1191
"J12_B003930",1194
"M12_B003103",911
"E20_B003930",1030
"M20_B003067",1122
"G14_B000580",1139
"N22_B003187",1211
"G7_B003659",937
"F3_1001000411",769
"N6_B003659",766
"E5_B003659",513
"L5_B003659",452
"A13_B003187",893
"E13_B000580",782
"C12_B001544",738
"B13_B000579",830
"G2_B000579",723
"J4_B000862",502
"G10_B000861",961
"F11_B000861",816
"O2_B003658",619
"N3_B000861",886
"P5_B000863",593
"I4_B000861",684
"N10_B000863",621
"A11_B000860",778
"G3_B000862",786
"O4_B000863",940
"A9_B000863",804
"H9_B000861",602
"F1_B000861",953
"P21_B000862",1105
"G1_B000862",1214
"H10_B000863",1217
"B3_B000861",987
"E10_B000860",736
"G1_B000861",613
"L14_1001000412",2572
"M13_1001000412",2118
"C7_B001556",2168
"N15_B000420",2077
"H1_1001000340",1981
"K7_B001545",1505
"P15_B003771",1821
"E19_B003646",1791
"O21_B003646",1812
"F10_B003115",2106
"C4_B003115",1631
"I13_B003079",1480
"L7_B003995",1536
"M22_B003187",1226
"M7_B003132",1395
"H20_B003112",1814
"F22_B003588",1271
"F18_B003588",1302
"A1_B002570",997
"L13_B003771",1611
"N1_B003125",1299
"N18_B003183",1866
"L11_1001000340",1422
"O2_B003126",1255
"N22_B003529",1531
"B22_B000422",1230
"F6_1001000327",1069
"O15_B003529",1329
"C14_B003191",1275
"G18_B000420",1099
"D2_B002558",1244
"D10_1001000327",1264
"L8_B003648",1152
"K6_B001558",1079
"P16_B002077",1292
"K6_B003132",1246
"L2_B000579",1064
"E15_B002078",945
"A7_B002570",1006
"L18_B003120",1353
"A22_B003132",1050
"F9_B003588",1309
"O11_B003663",1173
"F10_B001546",1012
"H9_B002558",860
"I9_B003523",1313
"I18_B002074",1034
"I6_B001545",1086
"K11_B003663",1784
"B4_B000561",1434
"G1_B000561",1546
"H22_B003129",1539
"N5_B002570",1424
"L1_B003132",1928
"J21_B003120",1706
"M22_B003126",1593
"E1_B001608",2136
"H17_B000420",1634
"C9_B001545",1480
"M19_B003775",1484
"A19_B003120",1639
"F21_B003187",1193
"H19_B000860",750
"G13_B000860",798
"H18_B000860",863
"P16_B003126",965
"L2_B001558",614
"N12_B003105",596
"G3_B002090",1000
"A3_B003187",1002
"F17_B002073",808
"N22_B003119",816
"N22_B003132",791
"A14_B003126",885
"O5_B003995",808
"F13_B003187",898
"F19_B003187",1000
"L6_B001475",891
"K2_B002572",594
"F16_B003643",630
"N11_B003647",602
"L20_B002078",798
"A3_B002090",701
"D6_B003126",575
"K4_B001558",708
"J8_B003129",1347
"D13_B003995",1051
"O21_B003528",1330
"E19_B003120",1310
"E4_B003120",1527
"L13_B003129",1590
"G20_B000420",1442
"L16_B003129",1133
"B7_B003126",1323
"C6_B003129",762
"A17_B003187",935
"L18_B003129",920
"A15_B003125",1328
"H3_B003995",1350
"B16_B003191",1207
"J6_B003117",1226
"L15_B003103",1010
"P13_B003930",684
"G9_B000569",647
"K20_B003930",576
"D12_B001544",1074
"D17_B003103",888
"I20_B003529",956
"P1_B000419",1131
"P2_B000419",1005
"P8_B003125",785
"B3_B003187",1081
"M14_1001000366",1341
"I13_B003116",2103
"P8_B001545",1314
"K3_B001464",1274
"P11_B001548",1278
"H7_B001545",1904
"C6_B001548",1446
"M7_B003523",1593
"G7_B001557",1390
"B8_B001546",1490
"F22_B002074",956
"K19_B003775",1194
"E16_B003116",1178
"H3_B003129",1214
"D12_B003119",1614
"A10_B000561",1570
"M3_B003995",1273
"E10_B001544",1658
"C5_B003648",1528
"E5_B003648",1572
"F17_B001010",1615
"K22_B001010",1495
"C18_B003930",1377
"H2_1001000293",1504
"I4_B002090",2461
"P19_B003646",2935
"H19_B003071",606
"E18_B002074",530
"A21_B002074",659
"L3_B003125",568
"J3_B003995",634
"B18_B002073",603
"P20_B003656",459
"K22_B002079",673
"H1_B000883",566
"A3_B001554",451
"F21_B003070",391
"J20_B002073",444
"H7_B002570",377
"E18_B002077",579
"J19_B000863",483
"B12_B003179",471
"F7_B003125",1062
"D7_B003125",674
"B7_B003125",706
"L14_B003894",660
"B6_1001000408",1013
"D21_B000575",1019
"O13_B003120",744
"J18_B003643",647
"J4_B003656",566
"O4_B003126",993
