"","GPR87","KYNU","LY6K","UBD","FHL2","IGFBP3","DKK1","ARNTL2","CRABP2","FAM83A","GJB3","RGS10","IDO1","COMTD1","CBLC","UCK2","GJB2","PLAU","PROM2","GPC1","SUSD2","MS4A15","SFTPB","AQP4","SFTPD","NAPSA","RGS16","C16orf89","TNS1","CYP4B1","C4BPA","NKX2-1","DLC1","SCGB3A1","FLRT3","ADGRF5","SFTA3","RNASE1","NFIX","AQP1","CHL1","TFF3","DMKN","VIM","IQGAP2","RRAD","LOC100506844","C5orf49","TNC","FOXJ1","SLC27A2","MUC5B","DTX3","TEX9","IGFBP5","ABCA13","METTL7A","WDR86-AS1","CTGF","TUBA1A","analysis","patient_id","sample_name"
"O24_1001000377",0,5.66655207670201,0,0,0,0,0,0,4.89288069484778,0,0,0,0,0,0,0,0,5.89979517380638,5.25689389148588,0,0,0,11.097035088244,0,6.47193058979363,9.1775361227593,4.65250112883454,7.3704404706191,0,0,0,4.61230278781501,0,0,4.26188404095799,5.87928988479618,6.2298882907129,0,0,6.91881504834815,0,0,3.48940994878678,0.133176091939792,0,6.57003980089297,4.74086798679872,4.64157235616213,0,4.62634756897508,6.64595723072513,0,0,0,0,0,0,0,0,0,"grouped_pd","TH146","LT_S16"
"P16_B003044",0,0,0,6.03485799432714,0,0,0,4.80392991325322,7.02421118114314,0,0,5.43605358796634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72630365319657,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH185","LT_S23"
"P19_B003646",0,0,0,0,0,2.92602250567201,0,0,3.5919989588035,0,0,0,0,0,0,0,0,0,7.61634672087068,0,0,4.2712788222379,0,0,0,8.55014997384354,0,0,0,0,0,0,0,0,0,0,0,6.99358384342984,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1688548269902,0,0,0,0,0,0,0,0,"naive","TH226","LT_S52"
"C8_B001556",0,6.37251773399716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9848391339975,4.40134200724282,0,0,0,0,0,0,0,0,0,5.89325721012645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57000177105777,"grouped_pd","TH179","LT_S80"
"H5_1001000411",0,4.22506041084825,0,5.2273112778261,0,6.04528125693012,0,0,6.29162297862873,5.66073298548264,0,0,2.88170422303932,4.62563878121002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04528125693012,0,0,0,0,3.54643177550517,0,0,0,0,0,0,0,0,"grouped_pd","TH185","LT_S21"
"C11_B001556",0,0,5.225796406146,5.32792592732115,0,5.97301094945899,0,0,4.4348266084239,0,0,0,0,0,0,0,0,0,1.46637553151536,0,0,0,0,0,0,0,0,0,0,0,5.46388159441122,3.32027651314798,0,0,0,4.6790895714082,0,0,0,5.16101888983993,0,2.03692540675068,5.67337309660021,6.89539520953113,4.41486585390802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58068906918686,"grouped_pd","TH179","LT_S80"
"F1_B001608",0,6.70730567734825,5.42292856173926,0,4.26152278305597,4.8141624255126,7.67780985500675,0,3.55051465520953,2.99300324385239,0,0,0,4.77687484545507,0,0.37231030241358,2.30474912190289,0,0.37231030241358,0,0,0,0,0,0,0,0,0,0,0,0,2.70695485260668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH185","LT_S28"
"K17_B003775",0,0,0,0,3.32547613134136,6.17441778345153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31115265680797,0,0,0,0,0,1.9176152060358,0,4.48439704465176,0,0,4.19319238742287,0,0,0,0,4.67674365321106,6.52556109594854,4.21792390766901,0,4.34398821226875,0,5.79132286648477,0,0,0,5.62152039485554,4.36529449340971,0,0,0,0,0,0,"naive","TH248","LT_S69"
"K9_B003663",0,0,0,0,5.7881911714463,3.15140551534933,0,0,0,0.0504268902584189,0,0,0,0,0,0.771819402763721,0,0,0,0.0255312703644644,0,0,1.79885044092121,0,0,0.574250768568565,0,0.0504268902584189,0,0,0,0,0.0255312703644644,0,0.0255312703644644,5.47522839671803,0,0.0747177438191567,0,0,0,0,4.33405093260321,0.0255312703644644,0,0,0,0,0,4.18787591576656,0,0.433767250840783,0,0,0,0,0,0,0,0.0255312703644644,"naive","TH225","LT_S50"
"L3_B000861",7.15681247953944,0,5.58637281468407,6.15698558337467,0,5.16471057036361,0,0,5.30972907168032,0,0,0,6.19444858436974,0,0,0,0,0.754302572970382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52871115647666,0,3.08986619278164,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93328405739989,"grouped_pd","TH220","LT_S47"
"M6_B003656",0,4.51002103548072,0,0,5.3588962613534,0,0,0,2.5030973592644,0,0,3.23069237867207,4.35991468777112,5.13597950078398,0,0,0,5.83589537673129,0,0,0,0,11.0377255721645,0,0,7.3252545235324,0,0,0,0,3.49301618427627,1.75138311269408,5.24388197957202,0,0,1.93045826650972,0,7.94824781020057,0,0,0,3.87246321593554,0,5.66395913052316,0,0,0,0,5.58716357494322,0,0,7.44921348306026,0,5.30143363272441,0,0,0,0,0,2.34606723369184,"naive","TH227","LT_S51"
"B5_B000861",4.9422431686313,0,0,0,6.71775355567679,0,0,0,3.60744679714188,0,0,5.9224239712676,7.68843850940678,0,6.53153203099183,0,0,1.75639804543587,0,0,0,0,0,0,0,9.01588921167213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66551792949633,0,0,0,0,0,0,0,0,0,0,0,0,2.66295578324077,0,"grouped_pd","TH220","LT_S47"
"B9_B000863",0,0,0,0,0,0,0,0,2.89837053059538,4.02969166977767,0,5.3406084278375,6.59386074106155,0,0,0,0,4.41779035985296,5.43631283776094,3.61614910138506,0,0,0,0,0,10.1329223695989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"D11_B000862",0,0,4.769103601152,0,0,0,0,0,0,5.93781884517473,0,3.99657507784231,7.50366697668445,0,0,0,0,7.09826564885384,0,0,0,0,0,0,0,10.3217239990213,0,0,0,0,0,0,0,0,0,5.89537391012699,4.43080641017503,5.77767050796531,0,0,0,0,0,0,0,0,0,0,3.35572486051528,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"F7_B000861",0,0,0,0,0,0,0,0,0,0,0,0,8.66889881573191,0,0,0,0,0,0,0,0,0,0.147205047048132,0,0,10.6445332515147,0,6.95132431220242,0,0,0,0,0,0,0,0,0,5.37551023277951,0,0,0,0,0,0,0,0,0,0,5.06062097439963,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"G6_B000860",0,0,0,0,0,0,0,0,4.89033908479469,0,0,3.81722453169602,1.25585650900839,5.76569199248847,0,0,0,3.94304821068749,0,0,0,0,0,0,0,9.61411060951524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14808543675714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"I7_B000863",0,4.14326479630253,0,0,6.52361647916485,0,0,0,3.12520080146585,3.83236343362457,0,4.4399730935295,8.00841176945336,0,0,0,0,5.57057194319822,5.40421003741077,0,0,0,0,0,0,10.4934346762683,0,6.43278453396624,0,0,0,0,0,0,0,0,0,5.07211297860492,0,0,0,0,0,5.26788723014173,0,0,0,0,5.59223002751992,0,0,0,0,0,0,0,0,0,0,0.34405080203862,"grouped_pd","TH220","LT_S47"
"J8_B000863",0,0,5.28784489362621,0,0,3.78302650249499,0,3.85418782812446,4.56238393661296,0,0,0.963445805748774,5.63683292718801,4.78851028669746,0,0,0,0,0,5.40004667110818,0,0,0,0,0,9.68458016692164,0,6.21496625363376,0,0,0,0,0,0,0,0,0,5.87247107866864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"L5_B000863",0,0,0,0,6.05098693690867,0,0,0,0,5.65043803557235,0,2.82862923401588,6.23385339164422,6.01664919921093,0,0,0,0,0,0,0.585624564698217,0,0,0,0,9.66588972028206,0,0,0,1.60554275997992,0,0,0,0,0,0,5.79605264014612,5.08645191279145,0,0,0,0,3.4917842104251,0,0,0,0,0,0,0,0,0,0,5.36019252251591,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"L9_B000863",0,0,5.40446841573159,0,4.90760366385563,0,0,0,5.26205909355096,0,0,0,6.01578695338128,0,0,0,0,2.84699156486598,0,5.06846730763919,0,0,0,0,0,9.59230764843585,0,5.48722464602685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60408050638939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"M4_B000863",0,1.82947880986103,0,0,6.35901643088477,0,0,0,5.88778704343374,0,0,0,0,5.10265188644716,0,0,0,0,0,4.65977928532684,0,0,0,0,0,10.2560109181131,0,0,0,0,0,0,0,0,0,0,0,6.51582668046703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97605611101622,0,0,0,"grouped_pd","TH220","LT_S47"
"N1_B000862",0,0,3.77430772910102,0,0,0,0,0,4.29451840477158,0,0,0,8.32473071497563,5.18571817115393,0,0,0,6.63391740425011,0.854987099467495,0,0,0,0,0,0,10.0778748310423,0,0,0,2.84584665150884,0,0,0,0,0,0,5.46439886515423,0,0,0,0,0,0,0,0,0,0,0,4.1875998176583,0,0,1.10757733897277,0,4.33957918727083,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"C6_B000863",0,0,5.86592257221454,0,0,0,0,3.92249395395041,4.62680789613989,0,0,4.72236790001221,8.41783814222009,4.75229432895279,5.17560578919152,0,0,6.24757201113627,4.4489404654139,1.81211915404972,0,0,0,0,0,9.0418124094027,0,0,0,0,0,0,0,0,0,0,3.76741642110807,0,0,0,0,0,0,5.00209891211833,0,0,0,2.7954644673604,4.7596380643777,0,0,0,0,0,0,0.9961377455443,0,0,0,0,"grouped_pd","TH220","LT_S47"
"D5_B000862",0,6.57004216747549,5.88906759844577,0,0,0,0,3.91994797348568,3.02723569722437,5.65834622336812,0,4.69969161578426,7.29493220934052,0,0,0,0,6.39746379859281,0,0,0,0,0,0,0,8.75641454507317,0,0,0,0,0,0,0,0,0,0,4.61498144136904,0,0,0,0,0,5.04436024704852,0,0,0,2.8017843969849,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"D9_B000861",0,5.05173352321714,3.08943104794471,0,5.92484718982282,0,0,0,4.45310930116054,4.47102752056492,0,0,8.2413219656326,4.37804210187167,5.84347011361721,0,0,7.26774916367148,0,0,0,0,0,0,0,10.0585894717108,0,6.54190627831615,0,0,0,0,0,0,0,4.32123971428349,5.79031378420467,5.46277830558488,0,0,0,0,0,3.4993496192272,0,0,0,0,6.75847091279348,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"E3_B000862",0,5.02901746044094,3.9918689554216,0,1.86310101160272,0,0,0,4.7696601900031,5.05385713876203,0,4.33822096098873,8.06567864574481,0,0,0,0,0,0,0,0,0,0,0,0,9.60397047986138,0,4.52809518481007,0,0,0,0,0,0,0,4.62994831783384,5.41106991144416,5.42244784622366,0,0,0,0,4.71952757352779,0,0,0,0,0,1.07202925893019,0,0,0,0,0,0,0,2.75556836149106,0,0,0.277796062304812,"grouped_pd","TH220","LT_S47"
"F10_B000862",0,4.91125725436843,4.58105190361459,0,5.53800583698987,0,0,0,3.98085267271776,0.665453246185003,0,4.1004817741461,7.55559534205506,4.44870655234122,0,0,0,7.30523541922148,4.17586656384278,0,0,0,0,0,0,9.86272432025185,0,0,0,0,0,0,0,0,0,0,0,4.90146407526332,0,0,0,0,0,0,0,0,3.83682215983398,0,0.320741165020734,0,0,0,0,0,0,0,0,0,0,0.320741165020734,"grouped_pd","TH220","LT_S47"
"F8_B000860",0,0,5.28698723554383,0,4.20758177649897,0,0,5.200565179206,3.87704481667088,0,0,4.56567232353309,6.76880427583431,2.42507653396338,0.248637061020934,5.34790212589995,0,5.71478240713425,0,0,0,0,0,0,0,9.58243875054967,0,0,0,0,0,0,0,0,0,3.6770788627799,5.11955483357466,0,0,0,0,0,0,7.43656869319095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248637061020934,"grouped_pd","TH220","LT_S47"
"G10_B000862",0,6.71568644332565,0,0,0,0,0,0.448840567142992,5.03665138409191,0,0,4.54228535159987,9.10878676314116,0,0,0,0,5.248125003294,0,0,0,0,0,0,0,8.01670764038902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17488066711739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18355973186351,"grouped_pd","TH220","LT_S47"
"H4_B000862",0,5.09660036112312,4.39044657429778,0,0,3.78306582944782,0,0,4.82977826265824,1.48695316301171,0,4.1713580462248,8.72016546950986,0,0,0,0,6.64485613474323,0,0,0,0,0,0,0,10.2823902965894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24986984961316,0,0,2.0196859485552,0,6.41309461447079,0,0,5.67996593964574,0,0,0,0,0,0,0,0.270970272238938,"grouped_pd","TH220","LT_S47"
"H9_B000860",0,4.57097411816658,3.74399786187481,0,5.21823799561408,0,0,0,4.60361627497697,5.8075597476861,0,0,8.16976205073554,3.95974349193292,0,2.4625673169761,0,5.26110678463728,4.69814258033559,0,0,0,0,0,0,9.48028905381854,0,6.65145921581692,0,0,0,0,0,1.40293373487732,0,4.93562117793245,5.65293230015138,5.06158865978062,0,0,0,0,0,0,0,0,0,0,0,0,1.74747415135102,2.52027150468051,0,0,0,0,0,0,0,0.245944482527542,"grouped_pd","TH220","LT_S47"
"I1_B000863",0,4.75948967986728,5.83390691707404,3.95017494695866,3.98366172666533,0,0,0,2.67025661950765,1.43127450201648,0,0,8.37100085787282,4.18034072532372,0,0,0,5.14264918839329,0,0,0,0,0,0,0,10.2014069388054,0,5.43762816417731,0,0,0,0,0,3.4132516687645,0,1.84161476640699,0,4.39388714024701,0,0,0,0,0,3.24900397672795,0,0,0,0,2.25031682459886,0,0,2.927937596968,0,0,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"I8_B000863",0,0,4.62025487988163,0,0,0,0,0.820838236296747,2.90018192413249,5.00977659581341,0,5.11828540181536,8.00532531359737,0,0,0,0,5.12964606943691,0,0,0,0,0,0,0,9.79553177938567,0,0,0,0,0,0,0,0,0,0,0,6.05290456402958,0,0,0,0,0,5.42429642736317,0,0,0,0,3.54727850563369,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"J3_B000863",0,2.10471330996749,4.72049094923607,0,0,0,0,0,4.90999527914292,3.94900178557161,0,3.71543434111688,7.75030497163607,0,0,0,0,5.16114683316915,0,0,0,0,0,0,0,9.80123911340969,0,5.28030030985413,2.20886152232059,0,0,1.70528777070065,0,0,0,0,5.51790899202769,0,3.03558085415241,0,0,3.76879697487663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642166367095847,"grouped_pd","TH220","LT_S47"
"L7_B000862",0,0,3.65990231235403,0,5.61932718753399,0,0,2.45508598692125,4.3431779943439,4.1047178429633,0,0.387450029854795,7.86187014990238,4.37644118475056,5.10289403615915,0,0,2.65676682766729,4.64821458580245,1.96737125358679,0,0,6.51975695126129,0,0,9.55101283092724,0,6.0232960825482,0,0,0,0,0,3.04983315509623,0,0,5.81511351132768,6.88981561181025,0,0,0,3.03856242931595,0,0,0,0,0,0,0,0,0,0,0,4.44538917078719,0,0,0,0,0,0.780722219782104,"grouped_pd","TH220","LT_S47"
"N3_B000863",0,4.02651337395467,5.51404397021063,0,0,0,0,0,3.49694953673998,3.41619834695851,0,0.494874133422773,8.83464703567848,0,0,0,0,0,4.46359621760861,0,0,0,0,0,0,8.87278587322689,0,0,0,0,0,0,0,4.13465458158831,0,6.69348144529526,6.06823195831134,7.25788121140351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43543180801888,"grouped_pd","TH220","LT_S47"
"P3_B000861",0,0,3.63684331242604,0,3.92143918195567,0.658009084460445,0,0,4.4861020928523,0,0,0,5.5366168245804,5.21852703613084,0,0,0,1.36757639219164,0,0,0,0,0,0,5.6433638810315,8.76241721141412,0,0,0,0,0,0,0,0,0,0,1.33311309477562,5.38408208243833,0,0,0,0,0,5.85518688167242,0,0,5.85136938265918,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH220","LT_S47"
"A19_B003070",0,0,0,0,6.1536071149099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1392491856777,0,3.7192932802453,0,3.54181021913378,5.93099487240594,0,0,0,0,0,7.66235589304452,0,0,0,0,0,3.7192932802453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16776180860968,"naive","TH205","LT_S34"
"A6_B003648",0,0,0,0,3.80101201366228,0,0,0,0,0,0,4.98921746335704,0,0,4.98921746335704,0,0,0,0,0,0,0,0,0,0,8.38047097904413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH067","LT_S53"
"C14_1001000412",2.8843157482954,4.22778635644973,3.85970041112799,0,6.11554514067088,7.97898806114597,0,1.65303945989457,0,5.41525562956759,0,0,0,1.65303945989457,0,0,1.65303945989457,0,0,4.81593405615507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.22778635644973,3.09621774517325,0,0,0,0,6.36947380727054,0,3.66370196418413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH185","LT_S21"
"E3_B003648",2.9188339742651,0,0,0,5.61849685705455,0,0,0,1.92277215846392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00206493506992,0,0,0,0,4.54794666552214,5.55278636501716,0,0,0,5.81076346177929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19292495177624,1.92277215846392,0,0,0,0,0,0,0,"grouped_pd","TH067","LT_S53"
"E7_B003648",9.11718844247119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03772309280495,3.25252439813192,0,0,0,2.59732447574092,0,0,4.92511661965923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"grouped_pd","TH067","LT_S53"
"F13_B001010",0,3.4223584339772,0,0,0,0,0,0,2.12946891791703,0,0,0,2.97174678442516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28930590513175,0,"grouped_pd","TH226","LT_S82"
"F19_B003067",0,0,0,0,0,0,0,0,3.49919192650458,2.76065344419599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.59864995407036,6.1152521955053,4.13850568483384,2.12883691778166,0,0,5.61672803055815,0,0,7.1734179562624,4.35052584062491,0,0,0,0,0,0,2.38632377063124,5.26544400141103,0,0,0,0,7.26382921569785,0,0,0,0,0,1.24368237094442,0,0,0,0,8.76966548233805,"naive","TH205","LT_S34"
"F2_B003648",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16400782264226,0,0,0,0,5.91586962058691,4.8683641008912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70740467598429,0,0,0,0,0,0,0,"grouped_pd","TH067","LT_S53"
