"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"LOXL4",1.10277185384864e-22,3.15360584103587,0.253,0.052,2.92069125491811e-18
"RBM38",1.11303930122024e-22,1.11077992291306,0.474,0.221,2.94788458928181e-18
"SPDEF",1.12276431836164e-22,1.27738534018589,0.379,0.14,2.97364129718081e-18
"NHLRC4",1.14363875134127e-22,2.46716913435744,0.187,0.01,3.02892723292736e-18
"RTN4",1.18068839768148e-22,0.687923995191032,0.851,0.746,3.12705322125939e-18
"C16orf46",1.21806387833809e-22,1.78332106082005,0.301,0.087,3.22604218177843e-18
"SKP1",1.2359971942997e-22,0.439513056270851,0.935,0.915,3.27353856910275e-18
"LOC101928227",1.2781879040223e-22,2.67353297478256,0.189,0.012,3.38528066380306e-18
"P4HTM",1.29097254158173e-22,1.39553721283912,0.588,0.406,3.41914077637921e-18
"CRISPLD2",1.29516452671633e-22,-0.565975973429539,0.176,0.404,3.43024324900819e-18
"IFT88",1.31418586326306e-22,1.15558402157825,0.395,0.157,3.48062125885223e-18
"PPCS",1.5468123358753e-22,-0.60440203918964,0.678,0.831,4.09673247156574e-18
"KIAA0319L",1.55394574069588e-22,-0.645940367651208,0.703,0.858,4.11562529423304e-18
"ODAM",1.55686684822714e-22,-2.11688117844948,0.007,0.113,4.12336184752959e-18
"SYT12",1.58253012642316e-22,2.57416017061709,0.192,0.014,4.19133103983173e-18
"OCIAD2",1.60156486633126e-22,0.411169129983686,0.858,0.724,4.24174454847835e-18
"RIBC1",1.89211648029293e-22,1.84328504555171,0.291,0.082,5.01127049805582e-18
"RAB2A",1.96083809840568e-22,-0.684229553600912,0.749,0.858,5.19327970362745e-18
"RAB11FIP1",1.97628872381445e-22,-0.664668562038168,0.748,0.887,5.23420068502256e-18
"CHD9",2.01463393586054e-22,-0.910114657657348,0.488,0.715,5.33575797912664e-18
"RPGR",2.04008451992403e-22,1.08640446097908,0.362,0.132,5.4031638510188e-18
"PIP4K2C",2.09516098431941e-22,1.2294498594164,0.608,0.383,5.54903386696997e-18
"JSRP1",2.09991880374012e-22,-1.90878286690423,0.026,0.159,5.56163495170571e-18
"SLC35E3",2.19339954139199e-22,1.38495251132576,0.468,0.227,5.80921868537669e-18
"SLC40A1",2.26606835120254e-22,-0.417714115691123,0.374,0.66,6.00168202815994e-18
"VIM-AS1",2.34429387301035e-22,1.609241526291,0.262,0.054,6.20886232266791e-18
"SRCAP",2.36757746618597e-22,-0.956085531500872,0.401,0.629,6.27052891919353e-18
"LOC442497",2.43699567633217e-22,-2.63240856994707,0.014,0.13,6.45438304876576e-18
"PNMA1",2.52934732819581e-22,0.890512506683227,0.378,0.136,6.6989763987266e-18
"LINC01296",2.53185140844013e-22,-2.15089511432506,0.06,0.221,6.70560845525369e-18
"LIF",2.59197381824909e-22,3.55187395442562,0.183,0.01,6.86484265763272e-18
"MORN2",2.71655985662661e-22,2.2720140255452,0.556,0.381,7.19480878027558e-18
"FOXC1",2.82801061908878e-22,0.875699332058998,0.53,0.274,7.48998612465662e-18
"ATP1B1",2.83437057630708e-22,-0.508348750704536,0.962,0.984,7.50683047134931e-18
"ADH1C",2.96823911041047e-22,1.48476113806546,0.386,0.148,7.86138128392214e-18
"GNG11",3.08391837146637e-22,2.5488673051391,0.183,0.01,8.16775780682869e-18
"ZNF75A",3.15316991588667e-22,-0.891140048855791,0.167,0.383,8.35117052222585e-18
"AJUBA",3.24921820645078e-22,-0.926475441920862,0.146,0.363,8.6055544197849e-18
"ANKFN1",3.30601487851671e-22,2.24505644078359,0.198,0.017,8.75598040575151e-18
"SIPA1L2",3.37859124073447e-22,1.48776932599471,0.348,0.117,8.94819890108524e-18
"SARAF",3.39420315053502e-22,0.58786261798841,0.87,0.786,8.98954704419201e-18
"CAMSAP2",3.43706153029474e-22,-0.877178625704306,0.257,0.499,9.10305746298561e-18
"CSPG5",3.63544438139725e-22,-0.899224764332193,0.032,0.173,9.62847444413062e-18
"NUP210L",3.66235890953444e-22,-0.878003841559403,0.19,0.41,9.69975757190196e-18
"TMPRSS3",3.81305992871843e-22,1.61249588883728,0.412,0.181,1.00988892212108e-17
"RCOR3",3.84046423413807e-22,-0.606355891616,0.291,0.553,1.01714695241147e-17
"CISH",3.96611382778866e-22,-1.02962525916908,0.157,0.373,1.05042524728983e-17
"CCDC40",4.04919590048506e-22,1.68102373925556,0.319,0.101,1.07242953424347e-17
"FSD1L",4.29734745829728e-22,2.32113952697729,0.186,0.012,1.13815247433004e-17
"ARHGAP5",4.37681584070203e-22,-0.550687290794824,0.463,0.711,1.15919967540993e-17
"HOXB2",4.7740581731824e-22,-1.90370029914511,0.04,0.184,1.26440930716736e-17
"CFAP61",5.50660802393042e-22,2.09663645660484,0.188,0.014,1.45842513513797e-17
"COL1A1",5.58251478313128e-22,2.50639497115909,0.484,0.287,1.47852904031232e-17
"TBC1D1",6.08152027256661e-22,2.17803042264957,0.222,0.033,1.61069064418927e-17
"SZT2",6.16228134028442e-22,-1.50537078631039,0.36,0.573,1.63208021297433e-17
"DCDC5",6.19697064929039e-22,2.23389402835683,0.169,0.004,1.64126767646456e-17
"KRT17",6.33085563294074e-22,1.96007898671471,0.297,0.087,1.67672711438435e-17
"PDIK1L",6.46715717276413e-22,-0.980206116719492,0.077,0.254,1.71282657720658e-17
"HLA-B",6.65243246698594e-22,-0.600191166606614,0.967,0.994,1.76189673888123e-17
"BATF2",6.93107215464823e-22,-2.13696279300101,0.041,0.188,1.83569446015858e-17
"CCDC65",6.93404289812562e-22,2.37473526860967,0.357,0.15,1.83648126156857e-17
"LRRC43",7.22398121672741e-22,2.04513889099076,0.21,0.025,1.91327142525025e-17
"CA9",7.2381916690013e-22,3.78500818359212,0.193,0.017,1.917035063535e-17
"LINC01420",7.78723616774398e-22,0.506344578632675,0.655,0.404,2.06244949902699e-17
"ARID1A",7.94273206553904e-22,-0.497664150339755,0.549,0.765,2.10363258755802e-17
"NRGN",7.97867296253117e-22,-1.52043797118228,0.068,0.235,2.11315153412638e-17
"FAM3A",7.98926321547376e-22,-0.653124692740812,0.449,0.691,2.11595636261823e-17
"RPL23A",8.07578177993424e-22,0.507015321497825,0.972,0.924,2.13887080441558e-17
"IL5RA",8.10494959152274e-22,1.910259589013,0.199,0.019,2.1465958993148e-17
"CFAP44",8.26373457031603e-22,1.79837840995988,0.33,0.113,2.1886501009482e-17
"DNALI1",8.58057037709667e-22,1.91881517980846,0.466,0.27,2.27256406437405e-17
"KLHL5",8.69513742300373e-22,0.979197165755604,0.476,0.229,2.30290714648254e-17
"KIAA1804",8.84596340650301e-22,-1.62286933143155,0.12,0.309,2.34285340821232e-17
"ATMIN",9.00784015841651e-22,-0.865564312313755,0.265,0.495,2.38572646595661e-17
"CXCL6",9.48371730661032e-22,3.76727038187082,0.167,0.004,2.51176252865574e-17
"EHD2",9.54062492653954e-22,-0.588013448704871,0.315,0.583,2.526834511794e-17
"BDKRB2",9.70916846017134e-22,2.27105814544415,0.23,0.039,2.57147326667638e-17
"FMR1",1.04688485024235e-21,-0.799939201212034,0.307,0.55,2.77267452586686e-17
"SULT1A1",1.07362717881223e-21,-0.771056798182309,0.35,0.602,2.84350158308419e-17
"DISP1",1.09402115276629e-21,-1.33594018851505,0.153,0.357,2.89751502310152e-17
"MACROD1",1.10204043782317e-21,-0.763868812776891,0.313,0.553,2.91875409957467e-17
"GPC5",1.11163103364784e-21,-1.99243882896068,0.005,0.103,2.94415479261632e-17
"FBXW9",1.14762399166529e-21,1.49543089917482,0.366,0.142,3.03948214192553e-17
"GLIS2",1.27678957592352e-21,-0.402875183615428,0.121,0.324,3.38157719183344e-17
"ARHGEF26",1.30558735393634e-21,-1.02422066680991,0.184,0.392,3.45784810690041e-17
"C20orf195",1.35715427287548e-21,2.90447548989921,0.178,0.01,3.5944230917107e-17
"MIR34B",1.46652729969052e-21,1.73038715571608,0.159,0,3.88409755323034e-17
"GCNT2",1.52249513092367e-21,-0.644106843008068,0.358,0.608,4.03232835425134e-17
"FOXJ3",1.52408460020744e-21,-0.813618267537387,0.415,0.633,4.03653806364941e-17
"ZNF474",1.63351721961724e-21,2.6431135498524,0.177,0.01,4.32637035615625e-17
"UBXN11",1.64913730248175e-21,1.6189557645919,0.438,0.229,4.36774014562292e-17
"EN2",1.66329822750021e-21,-1.9728973372937,0.021,0.146,4.4052453555343e-17
"C14orf142",1.68122340862708e-21,1.71945225839504,0.507,0.313,4.45272019774883e-17
"MIR99AHG",1.68820188389267e-21,1.48092640440065,0.305,0.089,4.47120268948974e-17
"CNTNAP2",1.73575965872746e-21,2.88600789628202,0.191,0.017,4.59715945613968e-17
"TSNAXIP1",1.83117803388415e-21,2.16363477494391,0.203,0.023,4.84987502274218e-17
"NPL",1.84118051176117e-21,-1.20298985025893,0.056,0.216,4.87636658539946e-17
"METTL7B",1.95644336748632e-21,2.00460657370545,0.204,0.023,5.18164025878752e-17
"IFT74",1.99999328119235e-21,1.5119007570132,0.434,0.223,5.29698220523793e-17
"LOC728392",2.05835732514768e-21,2.63167888603253,0.224,0.039,5.45155937565363e-17
"CNPPD1",2.17749025730712e-21,-0.734705583555575,0.367,0.606,5.7670829464779e-17
"FAM27C",2.24434000920808e-21,0.401990934066868,0.221,0.031,5.9441345143876e-17
"RHOT2",2.2457548171615e-21,-0.597059761911781,0.338,0.59,5.94788163325223e-17
"RIPK1",2.47724080983138e-21,-1.0037614766393,0.308,0.52,6.56097228483841e-17
"TMEM30A",2.52379401497274e-21,-0.631831202298271,0.467,0.701,6.6842684486553e-17
"NME3",2.71079615269028e-21,-0.704521939530583,0.608,0.769,7.17954361040021e-17
"OS9",2.74065678154306e-21,1.94245361232907,0.864,0.806,7.2586294859168e-17
"RAB6A",2.80502280190771e-21,-0.607319980503107,0.653,0.806,7.42910289085256e-17
