"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"LGALS1",0.00119516204265966,0.809921246853362,0.067,0.692,1,"LGALS1","NS"
"TAP1",0.00120953301100099,1.68373353925785,0.733,1,1,"TAP1","NS"
"TBCC",0.00122946730707397,0.666522691330392,0.333,0.923,1,"TBCC","NS"
"SYPL1",0.00130157765249897,1.23840261217982,0.6,0.923,1,"SYPL1","NS"
"PSMC6",0.00132043563207882,0.823994415065721,0.667,1,1,"PSMC6","NS"
"MARCKS",0.00132929848483158,1.05885357564373,0.533,1,1,"MARCKS","NS"
"AMIGO2",0.00135320640742508,0.929939089522325,0.133,0.769,1,"AMIGO2","NS"
"SMAD1",0.00135883134433383,0.422573158650282,0.133,0.769,1,"SMAD1","NS"
"TM9SF2",0.00136059981957691,1.17736208124276,0.667,1,1,"TM9SF2","NS"
"RPL7",0.00142074187794006,1.20224690555037,1,1,1,"RPL7","NS"
"PDLIM4",0.00143223749856502,0.918999162457956,0.133,0.769,1,"PDLIM4","NS"
"SLC33A1",0.00143327899716455,0.351178251895028,0.067,0.692,1,"SLC33A1","NS"
"CPNE8",0.00143735456637491,1.36261602480508,0.333,0.923,1,"CPNE8","NS"
"PRDM1",0.00145745774600962,0.556481299399086,0.067,0.692,1,"PRDM1","NS"
"GRWD1",0.0014657857922869,0.650832241759597,0.133,0.769,1,"GRWD1","NS"
"RFT1",0.00147413093199198,0.563221690336758,0.067,0.692,1,"RFT1","NS"
"ITGB8",0.00150366488639637,0.715028019029088,0.2,0.846,1,"ITGB8","NS"
"ZNF702P",0.00151362085902485,0.301297176195014,0.067,0.692,1,"ZNF702P","NS"
"GPR180",0.0015140199931591,0.28051410815295,0,0.462,1,"GPR180","NS"
"PHLDB3",0.0015140199931591,0.402251411757923,0,0.462,1,"PHLDB3","NS"
"CPE",0.0015140199931591,0.442954301438641,0,0.462,1,"CPE","NS"
"DEPDC7",0.0015140199931591,0.468785376273159,0,0.462,1,"DEPDC7","NS"
"HCAR2",0.0015140199931591,0.524157790979067,0,0.462,1,"HCAR2","NS"
"PLXDC2",0.0015140199931591,0.559104347770923,0,0.462,1,"PLXDC2","NS"
"TENM2",0.0015140199931591,0.651192772231321,0,0.462,1,"TENM2","NS"
"SDHAP2",0.0015140199931591,0.277559082820771,0,0.462,1,"SDHAP2","NS"
"CBLC",0.0015140199931591,0.313755838827892,0,0.462,1,"CBLC","NS"
"ZNF408",0.0015140199931591,0.331393511057538,0,0.462,1,"ZNF408","NS"
"HOXD11",0.0015140199931591,0.353392309449406,0,0.462,1,"HOXD11","NS"
"MARVELD1",0.0015140199931591,0.360396529647019,0,0.462,1,"MARVELD1","NS"
"BBOX1-AS1",0.0015140199931591,0.373777241944053,0,0.462,1,"BBOX1-AS1","NS"
"STARD5",0.0015140199931591,0.457406682171703,0,0.462,1,"STARD5","NS"
"GJB5",0.0015140199931591,0.503292643117519,0,0.462,1,"GJB5","NS"
"SOX15",0.0015140199931591,0.532814506210206,0,0.462,1,"SOX15","NS"
"ANO1",0.0015140199931591,0.762656382677306,0,0.462,1,"ANO1","NS"
"IGFL1",0.0015140199931591,2.54301938422783,0,0.462,1,"IGFL1","NS"
"BDKRB2",0.0015140199931591,0.301997485070051,0,0.462,1,"BDKRB2","NS"
"CSTF2T",0.0015140199931591,0.434412228010977,0,0.462,1,"CSTF2T","NS"
"MET",0.0015319666601744,0.694908508746834,0.067,0.692,1,"MET","NS"
"EEF2",0.00153524802833355,0.712802858516668,1,1,1,"EEF2","NS"
"NABP1",0.0015555973810857,1.30757025535476,0.333,0.769,1,"NABP1","NS"
"NME7",0.00155859416818773,0.517106441508382,0.133,0.769,1,"NME7","NS"
"PRKAA1",0.00156258829656523,0.364359009924364,0.2,0.846,1,"PRKAA1","NS"
"STRN4",0.00156912921290695,0.354673931042635,0.2,0.846,1,"STRN4","NS"
"FNDC3B",0.00158538482904347,1.00354693529825,0.8,1,1,"FNDC3B","NS"
"RPL23",0.00159321482002211,0.763568842800801,1,1,1,"RPL23","NS"
"EFNA5",0.00161458574251959,0.517871661889057,0.067,0.692,1,"EFNA5","NS"
"ITGB4",0.00167832360651021,2.24271453325383,0.4,0.769,1,"ITGB4","NS"
"CDH3",0.00173231682645644,1.54361830820442,0.733,0.923,1,"CDH3","NS"
"SPTSSA",0.00173767697747448,0.735011004079678,0.933,1,1,"SPTSSA","NS"
"NUDT19",0.00174021832790932,0.976214083592106,0.6,0.923,1,"NUDT19","NS"
"NR1H2",0.00174204149551175,0.727623154792504,0.4,0.923,1,"NR1H2","NS"
"JUP",0.0018214548720416,0.787709164896989,0.733,1,1,"JUP","NS"
"FBXO32",0.00182665204703253,0.99060487084877,0.333,0.923,1,"FBXO32","NS"
"ZNF331",0.00195476406814945,0.639925801052288,0.133,0.769,1,"ZNF331","NS"
"MAPK1IP1L",0.00196548864671252,0.88450847597668,0.733,1,1,"MAPK1IP1L","NS"
"SERINC3",0.00197244408052184,1.19161078027582,0.733,0.846,1,"SERINC3","NS"
"PDLIM1",0.00199195128205246,1.16595969642914,0.733,0.846,1,"PDLIM1","NS"
"HGS",0.00199857570181248,0.621406846558606,0.467,0.923,1,"HGS","NS"
"NFE2L2",0.00202112445231856,0.923852040555021,0.933,1,1,"NFE2L2","NS"
"BAK1",0.00207424076876507,0.407082260261482,0.133,0.769,1,"BAK1","NS"
"PLTP",0.00209528206615942,1.34602063841368,0.2,0.615,1,"PLTP","NS"
"CYBA",0.00211090583555631,0.983782195354625,0.467,0.923,1,"CYBA","NS"
"CLNS1A",0.00213971995516593,1.23451237525782,0.733,1,1,"CLNS1A","NS"
"ADAM10",0.00214023030261325,0.623997509305737,0.4,0.846,1,"ADAM10","NS"
"GBP1",0.00222070615431471,1.04508312383364,0.333,0.923,1,"GBP1","NS"
"ATP6V0D1",0.00222818095042347,0.440534424516792,0.933,0.615,1,"ATP6V0D1","NS"
"C1QBP",0.0023095507168954,0.727154974310115,0.533,0.846,1,"C1QBP","NS"
"ANXA7",0.00235415417820137,0.758278246318352,0.667,1,1,"ANXA7","NS"
"RAP2B",0.00241759447296324,0.819072248180398,0.6,0.846,1,"RAP2B","NS"
"ACTN1",0.00242276421354732,1.51543874879872,0.533,0.923,1,"ACTN1","NS"
"RHOA",0.00249311627826968,0.999554925126756,0.867,0.923,1,"RHOA","NS"
"CMTM6",0.00249372475261897,0.661781860788839,0.6,1,1,"CMTM6","NS"
"GJB6",0.00250024940803091,1.18539742396584,0.067,0.615,1,"GJB6","NS"
"HDAC2",0.00253985952989185,0.636508153269417,0.933,0.769,1,"HDAC2","NS"
