"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive.pt.occupancy","naive.n.nonzero.pts","grouped_pr.pt.occupancy","grouped_pr.n.nonzero.pts","gene","sig"
"CPT2",1.98020545648402e-12,-0.826968227920169,0.262,0.437,5.24457415149792e-08,0.29368029739777,10,0.364444444444444,5,"CPT2","p_val_adj<0.05"
"TCF25",1.98196943019858e-12,-0.561754618047111,0.699,0.819,5.24924603588094e-08,0.348189415041783,12,0.400473933649289,6,"TCF25","p_val_adj<0.05"
"RFK",2.00021997399982e-12,0.818787245472045,0.355,0.19,5.29758260113854e-08,0.347945205479452,10,0.438775510204082,5,"RFK","p_val_adj<0.05"
"MMD",2.01190699327755e-12,1.4678906219106,0.172,0.047,5.32853567169559e-08,0.68361581920904,9,0.541666666666667,5,"MMD","p_val_adj<0.05"
"OCEL1",2.03265800163546e-12,0.998002377467438,0.492,0.334,5.3834947173315e-08,0.497029702970297,11,0.47093023255814,5,"OCEL1","p_val_adj<0.05"
"ZBTB4",2.05060246734971e-12,-0.739608528709152,0.37,0.538,5.43102063477571e-08,0.355263157894737,10,0.44043321299639,5,"ZBTB4","p_val_adj<0.05"
"ARRDC2",2.05909512391968e-12,0.851303097321625,0.352,0.184,5.45351343570126e-08,0.502762430939227,9,0.442105263157895,6,"ARRDC2","p_val_adj<0.05"
"RNVU1-14",2.13441993229762e-12,-0.874371932107094,0.026,0.113,5.65301119069025e-08,0.518518518518518,7,0.672413793103448,4,"RNVU1-14","p_val_adj<0.05"
"AHSA1",2.13877902210872e-12,0.549135512838654,0.843,0.788,5.66455624005494e-08,0.331408775981524,12,0.421182266009852,6,"AHSA1","p_val_adj<0.05"
"C6orf47",2.20551000279971e-12,-0.720477026296276,0.221,0.392,5.84129324241504e-08,0.414096916299559,10,0.420792079207921,4,"C6orf47","p_val_adj<0.05"
"DNAJC3",2.21693767449119e-12,0.478290585656475,0.839,0.755,5.87155943088991e-08,0.310904872389791,11,0.398457583547558,6,"DNAJC3","p_val_adj<0.05"
"ZNF737",2.25797973408458e-12,-1.15237224862789,0.125,0.262,5.98025932572301e-08,0.3359375,9,0.503703703703704,5,"ZNF737","p_val_adj<0.05"
"ZNF747",2.26831449511685e-12,-0.764050223454756,0.158,0.315,6.00763094031699e-08,0.314814814814815,9,0.518518518518518,4,"ZNF747","p_val_adj<0.05"
"PIAS3",2.27826857315693e-12,0.697368057194349,0.541,0.346,6.03399431600612e-08,0.366906474820144,10,0.348314606741573,5,"PIAS3","p_val_adj<0.05"
"SLC2A4RG",2.30136371280665e-12,-0.710173542524258,0.316,0.497,6.09516179336841e-08,0.446153846153846,10,0.37890625,5,"SLC2A4RG","p_val_adj<0.05"
"OSBPL2",2.35295495361383e-12,-0.740061772643378,0.398,0.583,6.23180119464622e-08,0.352078239608802,10,0.463333333333333,6,"OSBPL2","p_val_adj<0.05"
"CMAHP",2.38271775063359e-12,-0.751573571538631,0.358,0.532,6.31062796255306e-08,0.426630434782609,9,0.397810218978102,5,"CMAHP","p_val_adj<0.05"
"MICALL2",2.42688016649639e-12,0.850055216471421,0.471,0.299,6.42759212096568e-08,0.506198347107438,9,0.512987012987013,5,"MICALL2","p_val_adj<0.05"
"PRMT1",2.43644045658096e-12,0.291921785031593,0.678,0.526,6.45291254925467e-08,0.329022988505747,11,0.391143911439114,5,"PRMT1","p_val_adj<0.05"
"NEAT1",2.46734386499982e-12,-0.482971872086045,0.941,0.979,6.53476022645203e-08,0.357142857142857,11,0.363095238095238,6,"NEAT1","p_val_adj<0.05"
"POC1B",2.47338349840538e-12,1.06201442541886,0.299,0.14,6.55075619552664e-08,0.45928338762215,10,0.472222222222222,4,"POC1B","p_val_adj<0.05"
"IER5L",2.50019297189468e-12,0.473728569071736,0.396,0.21,6.62176108606307e-08,0.466830466830467,9,0.453703703703704,4,"IER5L","p_val_adj<0.05"
"IQCK",2.50468294647324e-12,1.14165930924005,0.408,0.264,6.63365278373439e-08,0.630071599045346,10,0.529411764705882,4,"IQCK","p_val_adj<0.05"
"GMPPB",2.5049506860534e-12,0.388216241353016,0.423,0.26,6.63436189201244e-08,0.465437788018433,9,0.358208955223881,5,"GMPPB","p_val_adj<0.05"
"EPB41L4B",2.5118140277668e-12,1.47857992310875,0.258,0.111,6.65253945254037e-08,0.622641509433962,10,0.421052631578947,4,"EPB41L4B","p_val_adj<0.05"
"SH3BP4",2.57216056024192e-12,0.956514288031706,0.298,0.136,6.81236724380073e-08,0.470588235294118,8,0.485714285714286,4,"SH3BP4","p_val_adj<0.05"
"TELO2",2.60501003895487e-12,-0.984683773142738,0.192,0.338,6.89936908817196e-08,0.355329949238579,9,0.5,4,"TELO2","p_val_adj<0.05"
"ARFGAP2",2.61227397589435e-12,-0.653322748551505,0.442,0.621,6.91860762515619e-08,0.312775330396476,11,0.353125,6,"ARFGAP2","p_val_adj<0.05"
"TRPM4",2.61339716484943e-12,-0.951825290022485,0.221,0.383,6.9215823911037e-08,0.312775330396476,8,0.431472081218274,4,"TRPM4","p_val_adj<0.05"
"KIAA0930",2.61896474410784e-12,-0.286271292884307,0.308,0.142,6.93632812476962e-08,0.29746835443038,11,0.479452054794521,4,"KIAA0930","p_val_adj<0.05"
"MYADM",2.62336122507048e-12,0.639746551931455,0.66,0.515,6.94797220459916e-08,0.308259587020649,11,0.524528301886792,5,"MYADM","p_val_adj<0.05"
"ZNF680",2.66149985397237e-12,-0.523947840035923,0.191,0.355,7.04898236324581e-08,0.448979591836735,8,0.573770491803279,4,"ZNF680","p_val_adj<0.05"
"PAPD5",2.67890236424361e-12,-0.91219994950219,0.358,0.524,7.09507291169919e-08,0.421195652173913,10,0.4,5,"PAPD5","p_val_adj<0.05"
"TRAM1",2.67924779299522e-12,-0.554895561617289,0.706,0.816,7.09598777974785e-08,0.36,11,0.380952380952381,6,"TRAM1","p_val_adj<0.05"
"ZNF593",2.736793127026e-12,-0.767669446712183,0.562,0.707,7.24839659692835e-08,0.324090121317158,12,0.403846153846154,6,"ZNF593","p_val_adj<0.05"
"MAPT",2.77014060026621e-12,-1.34475414722099,0.039,0.134,7.33671737980507e-08,0.475,7,0.594202898550725,4,"MAPT","p_val_adj<0.05"
"CARD8",2.79224338237865e-12,-0.904449887527206,0.169,0.326,7.39525659822985e-08,0.333333333333333,10,0.43452380952381,5,"CARD8","p_val_adj<0.05"
"LDLRAP1",2.81111311154872e-12,-0.921123641209685,0.208,0.371,7.44523307593678e-08,0.373831775700935,9,0.382198952879581,6,"LDLRAP1","p_val_adj<0.05"
"PDS5A",2.82827658499354e-12,-0.327691526988897,0.579,0.74,7.49069053535539e-08,0.351260504201681,10,0.372703412073491,5,"PDS5A","p_val_adj<0.05"
"SETD3",2.88397889223727e-12,-0.276056250515851,0.347,0.534,7.63821809609041e-08,0.345505617977528,10,0.370909090909091,5,"SETD3","p_val_adj<0.05"
"MIR4435-2HG",2.8952448247673e-12,0.749279822960256,0.431,0.27,7.66805591839619e-08,0.388261851015801,10,0.460431654676259,6,"MIR4435-2HG","p_val_adj<0.05"
"ZMIZ1",2.89817451985934e-12,-0.520865251016036,0.318,0.491,7.67581521584747e-08,0.342507645259939,11,0.367588932806324,5,"ZMIZ1","p_val_adj<0.05"
"NR1H3",2.90788835396946e-12,-0.904030210190763,0.146,0.297,7.70154230548812e-08,0.393333333333333,10,0.503267973856209,5,"NR1H3","p_val_adj<0.05"
"GBP4",2.94201807174276e-12,1.04408094606196,0.202,0.066,7.79193486301071e-08,0.521739130434783,10,0.617647058823529,5,"GBP4","p_val_adj<0.05"
"ADM",2.94539900964912e-12,1.23372183941761,0.332,0.171,7.80088927705571e-08,0.390029325513196,9,0.318181818181818,6,"ADM","p_val_adj<0.05"
"BRF2",2.96562793003836e-12,-0.943304420260277,0.106,0.237,7.85446557270661e-08,0.348623853211009,8,0.557377049180328,4,"BRF2","p_val_adj<0.05"
"GOLGA4",2.9668990758902e-12,-0.445693569229122,0.749,0.847,7.8578322024952e-08,0.323797139141743,11,0.380733944954128,5,"GOLGA4","p_val_adj<0.05"
"MTOR",2.98923717682597e-12,-0.607259340727858,0.215,0.388,7.91699466282357e-08,0.34841628959276,9,0.41,5,"MTOR","p_val_adj<0.05"
"ZNF146",2.99408820245e-12,-0.518223012937153,0.336,0.524,7.92984260418882e-08,0.408695652173913,11,0.403703703703704,5,"ZNF146","p_val_adj<0.05"
"TXNL4A",3.06039634112915e-12,0.565518041491661,0.695,0.563,8.10545970948056e-08,0.323529411764706,11,0.396551724137931,6,"TXNL4A","p_val_adj<0.05"
"PLGRKT",3.09582824886698e-12,0.745886572275975,0.452,0.278,8.1993011171242e-08,0.318965517241379,10,0.405594405594406,6,"PLGRKT","p_val_adj<0.05"
"SUMO2",3.11835111487523e-12,0.341743025806857,0.914,0.88,8.25895292774704e-08,0.337593184238552,12,0.362030905077263,6,"SUMO2","p_val_adj<0.05"
"AP3M2",3.30889759491449e-12,1.38296084685895,0.235,0.093,8.76361528013102e-08,0.551867219917012,9,0.479166666666667,4,"AP3M2","p_val_adj<0.05"
"GPAT3",3.46316161159123e-12,1.26512572939497,0.215,0.076,9.17218352829938e-08,0.687782805429864,9,0.41025641025641,4,"GPAT3","p_val_adj<0.05"
"MLST8",3.50466240624045e-12,-0.604674854435519,0.408,0.586,9.28209838292784e-08,0.291169451073986,11,0.394039735099338,6,"MLST8","p_val_adj<0.05"
"VAMP3",3.52298905993134e-12,-0.741305749195959,0.529,0.668,9.33063652522815e-08,0.294659300184162,11,0.357558139534884,6,"VAMP3","p_val_adj<0.05"
"SOX13",3.52721515890579e-12,-0.940958375823494,0.103,0.233,9.34182934836198e-08,0.367924528301887,9,0.366666666666667,4,"SOX13","p_val_adj<0.05"
"FGF13",3.55226671873839e-12,0.934171163810828,0.24,0.091,9.40817840457863e-08,0.544715447154472,10,0.531914893617021,4,"FGF13","p_val_adj<0.05"
"ATP8B1",3.55397400108375e-12,0.661805455607259,0.441,0.272,9.4127001418703e-08,0.311258278145695,10,0.385714285714286,5,"ATP8B1","p_val_adj<0.05"
"WASL",3.68467632354249e-12,-0.48261181709187,0.637,0.771,9.75886524290228e-08,0.336391437308869,12,0.380352644836272,6,"WASL","p_val_adj<0.05"
"RND3",3.85369094032398e-12,0.330625578033938,0.564,0.35,1.02065004554481e-07,0.340241796200345,9,0.644444444444444,6,"RND3","p_val_adj<0.05"
"CLEC7A",3.86482544802657e-12,0.900023218475584,0.337,0.175,1.02359901990984e-07,0.543352601156069,8,0.355555555555556,6,"CLEC7A","p_val_adj<0.05"
"RALGPS2",3.88404839024228e-12,0.666208629650827,0.212,0.07,1.02869021615567e-07,0.408256880733945,9,0.472222222222222,6,"RALGPS2","p_val_adj<0.05"
"DFFA",3.90514823272411e-12,-0.545440228772548,0.422,0.596,1.03427850943698e-07,0.302540415704388,11,0.390879478827362,5,"DFFA","p_val_adj<0.05"
"UCHL1",3.91851631054407e-12,-0.441614310204031,0.04,0.138,1.0378190448476e-07,0.292682926829268,9,0.47887323943662,5,"UCHL1","p_val_adj<0.05"
"SCUBE3",4.16945858937938e-12,-1.32946425873847,0.176,0.32,1.10428110739713e-07,0.469613259668508,10,0.375757575757576,5,"SCUBE3","p_val_adj<0.05"
"RMI2",4.19262496531334e-12,-1.03957942771715,0.07,0.186,1.11041672206324e-07,0.416666666666667,9,0.46875,4,"RMI2","p_val_adj<0.05"
"CRAMP1L",4.19285155587582e-12,-0.7171083748428,0.167,0.315,1.11047673457371e-07,0.339181286549708,8,0.407407407407407,6,"CRAMP1L","p_val_adj<0.05"
"PTPRN2",4.5168262452906e-12,0.884738180296586,0.284,0.128,1.19628143106522e-07,0.825342465753425,8,0.666666666666667,4,"PTPRN2","p_val_adj<0.05"
"ACSL5",4.56396604373073e-12,-0.738594092527236,0.396,0.565,1.20876640668208e-07,0.511056511056511,11,0.539518900343643,5,"ACSL5","p_val_adj<0.05"
"LOC100288152",4.56623649109562e-12,1.30372133429458,0.187,0.056,1.20936773466667e-07,0.53125,8,0.482758620689655,4,"LOC100288152","p_val_adj<0.05"
"CDC25B",4.57387965508667e-12,1.26653988562349,0.364,0.212,1.21139202664971e-07,0.486631016042781,8,0.440366972477064,4,"CDC25B","p_val_adj<0.05"
"RHBDD2",4.69285670340111e-12,0.475129909460358,0.798,0.715,1.24290309789578e-07,0.334146341463415,12,0.434782608695652,5,"RHBDD2","p_val_adj<0.05"
"PPP1R9A",4.70944231983063e-12,-0.644846955143775,0.449,0.614,1.24729579840714e-07,0.370932754880694,9,0.395569620253165,5,"PPP1R9A","p_val_adj<0.05"
"TRIM16L",4.74318967791378e-12,0.581724760385657,0.303,0.134,1.25623378619546e-07,0.382636655948553,9,0.420289855072464,5,"TRIM16L","p_val_adj<0.05"
"ZCCHC11",4.77798982328465e-12,-0.603258683837855,0.426,0.61,1.26545060469694e-07,0.391304347826087,11,0.439490445859873,5,"ZCCHC11","p_val_adj<0.05"
"DYNC2LI1",4.79921442554081e-12,0.887514735371891,0.46,0.303,1.27107194060448e-07,0.542372881355932,10,0.423076923076923,6,"DYNC2LI1","p_val_adj<0.05"
"GATSL3",4.98457131363653e-12,-1.17617271516499,0.08,0.198,1.32016371241663e-07,0.414634146341463,9,0.362745098039216,5,"GATSL3","p_val_adj<0.05"
"APEX1",5.08498620837034e-12,-0.338855788788018,0.663,0.81,1.34675859728688e-07,0.374449339207048,12,0.381294964028777,6,"APEX1","p_val_adj<0.05"
"RANBP2",5.13934879910243e-12,-0.524172621582963,0.543,0.705,1.36115652944228e-07,0.336917562724014,10,0.396694214876033,5,"RANBP2","p_val_adj<0.05"
"RRAGD",5.35519324990011e-12,0.883624155465689,0.27,0.117,1.41832293223604e-07,0.350180505415162,9,0.65,5,"RRAGD","p_val_adj<0.05"
"CTF1",5.44392432461773e-12,-0.651455283642735,0.249,0.425,1.44182335737501e-07,0.41015625,11,0.488584474885845,5,"CTF1","p_val_adj<0.05"
"FAM172A",5.45943777655382e-12,0.621414395800588,0.413,0.229,1.44593209512028e-07,0.382075471698113,10,0.347457627118644,5,"FAM172A","p_val_adj<0.05"
"ARMCX3",5.51719686456046e-12,-0.478158137957502,0.343,0.538,1.46122958957884e-07,0.411931818181818,10,0.418772563176895,5,"ARMCX3","p_val_adj<0.05"
"MBNL1-AS1",5.55821663045559e-12,-1.58591097782806,0.049,0.15,1.47209367457616e-07,0.26,8,0.441558441558442,4,"MBNL1-AS1","p_val_adj<0.05"
"RNF13",5.57101678888304e-12,-0.519146303413853,0.502,0.656,1.47548379653567e-07,0.323643410852713,10,0.446745562130178,6,"RNF13","p_val_adj<0.05"
"MROH6",5.58768795797251e-12,-0.551983009828177,0.139,0.282,1.47989915566902e-07,0.426573426573427,9,0.43448275862069,5,"MROH6","p_val_adj<0.05"
"MESP1",5.61892156720143e-12,-0.420261624701693,0.315,0.493,1.4881713770733e-07,0.56656346749226,9,0.409448818897638,5,"MESP1","p_val_adj<0.05"
"IL7",5.74693500888042e-12,1.39481465369176,0.216,0.08,1.52207573710198e-07,0.45045045045045,9,0.439024390243902,4,"IL7","p_val_adj<0.05"
"GOLIM4",5.79484674904037e-12,-0.460108304830897,0.587,0.746,1.53476516148334e-07,0.383084577114428,10,0.408854166666667,6,"GOLIM4","p_val_adj<0.05"
"USP40",5.89251709115772e-12,-0.789030223085154,0.518,0.662,1.56063315159312e-07,0.330827067669173,11,0.475073313782991,6,"USP40","p_val_adj<0.05"
"FDPSP2",5.92819143122827e-12,0.706217872246158,0.366,0.194,1.57008150056081e-07,0.441489361702128,10,0.47,5,"FDPSP2","p_val_adj<0.05"
"GOLGB1",6.13492077102041e-12,-0.383019714076875,0.819,0.913,1.62483376620475e-07,0.32461355529132,11,0.368085106382979,6,"GOLGB1","p_val_adj<0.05"
"MFSD12",6.17111748566902e-12,0.864651438426595,0.295,0.136,1.63442046607944e-07,0.33993399339934,11,0.414285714285714,5,"MFSD12","p_val_adj<0.05"
"ENG",6.21567488578432e-12,1.10929843158246,0.307,0.155,1.64622149349998e-07,0.40952380952381,8,0.5375,5,"ENG","p_val_adj<0.05"
"AMOTL1",6.64286575637722e-12,-1.04858511570734,0.082,0.2,1.75936299557651e-07,0.654761904761905,8,0.378640776699029,5,"AMOTL1","p_val_adj<0.05"
"SEPN1",6.64742859311263e-12,-0.662734866699553,0.5,0.635,1.76057146288588e-07,0.368421052631579,10,0.379204892966361,5,"SEPN1","p_val_adj<0.05"
"TRIO",6.812631183525e-12,0.933117894262971,0.434,0.264,1.8043253689566e-07,0.585201793721973,10,0.419117647058824,4,"TRIO","p_val_adj<0.05"
"HSPG2",6.872758703666e-12,-1.02810422977527,0.183,0.332,1.82025014266594e-07,0.303191489361702,9,0.467836257309941,4,"HSPG2","p_val_adj<0.05"
"RUNDC1",6.94616461905138e-12,0.466839814297995,0.513,0.318,1.83969169935576e-07,0.364326375711575,10,0.402439024390244,5,"RUNDC1","p_val_adj<0.05"
"TRIM38",7.25049836960439e-12,-0.543775112163289,0.427,0.608,1.92029449318972e-07,0.353075170842825,10,0.421725239616613,6,"TRIM38","p_val_adj<0.05"
"TNS2",7.46742576887546e-12,-0.683395036461195,0.13,0.272,1.97774771488667e-07,0.466165413533835,9,0.542857142857143,5,"TNS2","p_val_adj<0.05"
"DDX11",7.53724241819649e-12,1.87585115446414,0.205,0.072,1.99623865445934e-07,0.563981042654028,8,0.351351351351351,4,"DDX11","p_val_adj<0.05"
"PPP1R14C",7.57557316692778e-12,1.01850293403176,0.301,0.146,2.00639055326082e-07,0.776699029126214,10,0.346666666666667,5,"PPP1R14C","p_val_adj<0.05"
"C22orf39",7.64898955017439e-12,0.687002495352702,0.529,0.351,2.02583488236369e-07,0.357274401473296,10,0.43646408839779,5,"C22orf39","p_val_adj<0.05"
"AGFG2",8.07032878447877e-12,-0.840813091608518,0.137,0.278,2.1374265785692e-07,0.340425531914894,8,0.412587412587413,5,"AGFG2","p_val_adj<0.05"
"MINOS1",8.09810816060311e-12,-0.395796274306633,0.823,0.864,2.14478394633573e-07,0.340828402366864,12,0.368539325842697,6,"MINOS1","p_val_adj<0.05"
"DSTNP2",8.33315720852094e-12,-0.749135685920369,0.29,0.454,2.20703668667677e-07,0.348993288590604,9,0.487179487179487,5,"DSTNP2","p_val_adj<0.05"
"LINC00578",8.5251523427886e-12,-0.547981397422052,0.055,0.157,2.25788659798756e-07,0.446428571428571,9,0.641975308641975,5,"LINC00578","p_val_adj<0.05"
"GAS2L1",8.79100627770157e-12,1.32703753796654,0.25,0.107,2.32829801264926e-07,0.369649805447471,9,0.472727272727273,4,"GAS2L1","p_val_adj<0.05"
"NUDT2",8.89087931027709e-12,0.554068118850477,0.224,0.08,2.35474938532689e-07,0.495652173913044,7,0.365853658536585,6,"NUDT2","p_val_adj<0.05"
"NEURL1B",8.92283763780519e-12,1.48074601807581,0.131,0.023,2.36321354837271e-07,0.540740740740741,9,0.5,4,"NEURL1B","p_val_adj<0.05"
"CENPB",8.95480179041333e-12,-0.89124583769546,0.217,0.371,2.37167925419097e-07,0.349775784753363,9,0.424083769633508,5,"CENPB","p_val_adj<0.05"
"MBD2",9.06354794248172e-12,0.666608933282566,0.443,0.276,2.40048067256628e-07,0.340659340659341,8,0.422535211267606,5,"MBD2","p_val_adj<0.05"
"CDC73",9.12229443116899e-12,-0.319997881919923,0.419,0.623,2.41603968009511e-07,0.390697674418605,8,0.423676012461059,5,"CDC73","p_val_adj<0.05"
"APPL2",9.18610131357085e-12,0.797390262953817,0.453,0.287,2.43293893289924e-07,0.43010752688172,11,0.425675675675676,5,"APPL2","p_val_adj<0.05"
"TNRC18",9.23831763295196e-12,-0.37254670627543,0.305,0.464,2.44676842508733e-07,0.546325878594249,10,0.359832635983264,4,"TNRC18","p_val_adj<0.05"
"SNN",9.38475858672215e-12,-0.698770796442277,0.15,0.297,2.48555331169336e-07,0.292207792207792,8,0.437908496732026,5,"SNN","p_val_adj<0.05"
"KIF16B",9.58647635393915e-12,-0.842759916777858,0.284,0.452,2.53897826234079e-07,0.5,11,0.506437768240343,4,"KIF16B","p_val_adj<0.05"
"DCUN1D2",9.61975753148525e-12,-0.60925375714416,0.095,0.217,2.54779278221387e-07,0.408163265306122,8,0.651785714285714,5,"DCUN1D2","p_val_adj<0.05"
"COL6A2",9.70562188297527e-12,-1.24502539418616,0.089,0.21,2.570533955706e-07,0.56043956043956,7,0.611111111111111,5,"COL6A2","p_val_adj<0.05"
"ALG1",9.70936991080521e-12,-0.804783632691478,0.296,0.45,2.57152662087676e-07,0.355263157894737,9,0.474137931034483,4,"ALG1","p_val_adj<0.05"
"CYTH2",9.84216921043092e-12,0.583541963343305,0.684,0.55,2.60669851538263e-07,0.346153846153846,10,0.363957597173145,6,"CYTH2","p_val_adj<0.05"
"CBX1",1.01666157473904e-11,-0.428298842568681,0.509,0.693,2.69262818069634e-07,0.435946462715105,12,0.425770308123249,5,"CBX1","p_val_adj<0.05"
"PRR14",1.026148908432e-11,-0.575340008956782,0.185,0.34,2.71775538398214e-07,0.368421052631579,10,0.491428571428571,5,"PRR14","p_val_adj<0.05"
"COX16",1.08304360374525e-11,0.540077755017937,0.772,0.631,2.86844098451929e-07,0.341740226986129,12,0.403076923076923,5,"COX16","p_val_adj<0.05"
"NUMA1",1.09946777500177e-11,-0.485052250639213,0.592,0.748,2.91194040209218e-07,0.430921052631579,10,0.4,6,"NUMA1","p_val_adj<0.05"
"DDRGK1",1.11793977764072e-11,-0.513056221448244,0.654,0.761,2.96086350108144e-07,0.322916666666667,11,0.410714285714286,5,"DDRGK1","p_val_adj<0.05"
"POLD4",1.13163174940065e-11,-0.39569054276124,0.581,0.738,2.99712668828762e-07,0.417085427135678,11,0.378947368421053,6,"POLD4","p_val_adj<0.05"
"FAM65A",1.14020187176934e-11,-1.11043636656931,0.161,0.303,3.01982465738111e-07,0.321212121212121,9,0.429487179487179,6,"FAM65A","p_val_adj<0.05"
"BRI3",1.14748142653769e-11,-0.495220378437933,0.87,0.86,3.03910455818506e-07,0.328859060402685,12,0.395033860045147,6,"BRI3","p_val_adj<0.05"
"CFB",1.15730880417045e-11,0.85602809169334,0.553,0.375,3.06513236784545e-07,0.410211267605634,8,0.683937823834197,5,"CFB","p_val_adj<0.05"
"TTC26",1.17072108556552e-11,1.10398113007642,0.283,0.134,3.10065479512028e-07,0.687285223367698,11,0.478260869565217,5,"TTC26","p_val_adj<0.05"
"POLR2L",1.17128240628993e-11,-0.388697219886091,0.955,0.942,3.10214145305889e-07,0.357798165137615,12,0.375257731958763,6,"POLR2L","p_val_adj<0.05"
"ZNF585B",1.17619067430095e-11,-1.02128906431754,0.109,0.239,3.11514100088607e-07,0.339285714285714,9,0.479674796747967,5,"ZNF585B","p_val_adj<0.05"
"GET4",1.18311801377279e-11,-0.259642190005753,0.609,0.775,3.13348805947724e-07,0.4496,12,0.360902255639098,6,"GET4","p_val_adj<0.05"
"MTMR3",1.20390667380262e-11,0.719730993166488,0.39,0.216,3.18854682556624e-07,0.369077306733167,10,0.495495495495495,5,"MTMR3","p_val_adj<0.05"
"EFCAB2",1.2152541903953e-11,1.55613670640565,0.463,0.353,3.21860072326196e-07,0.574736842105263,10,0.302197802197802,6,"EFCAB2","p_val_adj<0.05"
"NCS1",1.21643818406809e-11,1.29633120985355,0.184,0.056,3.22173653050433e-07,0.608465608465608,8,0.413793103448276,5,"NCS1","p_val_adj<0.05"
"ZNF200",1.22279356423066e-11,-1.25534136760341,0.066,0.177,3.23856875486489e-07,0.323529411764706,8,0.450549450549451,4,"ZNF200","p_val_adj<0.05"
"ESRRG",1.22383003001461e-11,0.997034484666414,0.164,0.043,3.2413138344937e-07,0.529761904761905,9,0.409090909090909,4,"ESRRG","p_val_adj<0.05"
"RAB34",1.22402737080075e-11,0.649055493354027,0.565,0.406,3.24183649156579e-07,0.355172413793103,10,0.478468899521531,5,"RAB34","p_val_adj<0.05"
"ZNF148",1.24316690909138e-11,-0.258529609844843,0.376,0.54,3.29252755872853e-07,0.300518134715026,11,0.413669064748201,6,"ZNF148","p_val_adj<0.05"
"DBP",1.28128096321423e-11,-0.629420589017411,0.204,0.363,3.39347263107289e-07,0.538095238095238,10,0.438502673796791,5,"DBP","p_val_adj<0.05"
"SPAG4",1.30936299496498e-11,1.28734775516134,0.217,0.082,3.46784789216474e-07,0.57847533632287,10,0.30952380952381,6,"SPAG4","p_val_adj<0.05"
"EVA1B",1.31013665265308e-11,1.37227773596484,0.28,0.132,3.46989692455168e-07,0.333333333333333,8,0.514705882352941,5,"EVA1B","p_val_adj<0.05"
"DAXX",1.31901460001074e-11,-0.414058100107589,0.364,0.55,3.49341016812845e-07,0.323529411764706,11,0.424028268551237,5,"DAXX","p_val_adj<0.05"
"SMYD2",1.33851888262697e-11,0.594122083958366,0.581,0.431,3.54506726063752e-07,0.442211055276382,10,0.585585585585586,5,"SMYD2","p_val_adj<0.05"
"PIEZO1",1.38149725424227e-11,-0.704820093207565,0.227,0.379,3.65889547786064e-07,0.360515021459227,9,0.435897435897436,6,"PIEZO1","p_val_adj<0.05"
"ABRACL",1.38605255704015e-11,0.498827595836445,0.382,0.212,3.67096019732083e-07,0.349489795918367,8,0.394495412844037,6,"ABRACL","p_val_adj<0.05"
"KCTD20",1.40802647973582e-11,-0.556767417778024,0.364,0.526,3.72915813158032e-07,0.342245989304813,11,0.383763837638376,6,"KCTD20","p_val_adj<0.05"
"S100PBP",1.42023414682656e-11,-0.79533143791418,0.184,0.334,3.76149013787015e-07,0.333333333333333,12,0.441860465116279,5,"S100PBP","p_val_adj<0.05"
"BRD2",1.42094731758157e-11,-0.496402239239969,0.858,0.911,3.76337897061479e-07,0.311010215664018,11,0.390191897654584,6,"BRD2","p_val_adj<0.05"
"TSR2",1.43711598198364e-11,-0.557582706876889,0.437,0.606,3.80620167828366e-07,0.307349665924276,11,0.384615384615385,5,"TSR2","p_val_adj<0.05"
"AMOT",1.46548588289633e-11,-1.20609707645865,0.102,0.229,3.88133936085093e-07,0.4,9,0.364406779661017,5,"AMOT","p_val_adj<0.05"
"BAIAP2L1",1.47858823403035e-11,0.473657628650729,0.715,0.584,3.91604093782938e-07,0.339237057220708,11,0.388704318936877,6,"BAIAP2L1","p_val_adj<0.05"
"TRMT10A",1.49467579374103e-11,1.08609053107854,0.26,0.113,3.95864883972312e-07,0.52059925093633,9,0.310344827586207,5,"TRMT10A","p_val_adj<0.05"
"TMC7",1.49620832694554e-11,-1.02607133965688,0.076,0.188,3.96270775391527e-07,0.41025641025641,8,0.525773195876289,5,"TMC7","p_val_adj<0.05"
"KPNA6",1.52272039289935e-11,-0.484099058036544,0.765,0.878,4.03292496059392e-07,0.314249363867684,11,0.371681415929204,6,"KPNA6","p_val_adj<0.05"
"PTRH1",1.52576975763452e-11,0.738350849304536,0.467,0.289,4.04100120309503e-07,0.504166666666667,10,0.51006711409396,6,"PTRH1","p_val_adj<0.05"
"KAT8",1.55304775269214e-11,-0.66104415922533,0.328,0.489,4.11324697300515e-07,0.406528189910979,11,0.48015873015873,5,"KAT8","p_val_adj<0.05"
"EWSR1",1.56279661522595e-11,0.577383404033174,0.752,0.619,4.13906683542593e-07,0.343264248704663,10,0.391849529780564,6,"EWSR1","p_val_adj<0.05"
"WARS",1.5719517875043e-11,0.551096848668895,0.722,0.563,4.16331430920514e-07,0.325236167341431,10,0.479310344827586,6,"WARS","p_val_adj<0.05"
"PTPRF",1.57359220687782e-11,-0.50424859786042,0.838,0.897,4.16765895991591e-07,0.341463414634146,11,0.378787878787879,6,"PTPRF","p_val_adj<0.05"
"CHD6",1.59813591991944e-11,-0.527095922651331,0.489,0.65,4.23266298390663e-07,0.356573705179283,8,0.414925373134328,5,"CHD6","p_val_adj<0.05"
