"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"TRIM31",1.27379786453874e-133,2.17831201006291,0.187,0.627,3.37365364423087e-129,0.708333333333333,7,0.731182795698925,8,"TRIM31","p_val_adj<0.05"
"ADGRF4",5.80441384204198e-59,2.16366166997899,0.017,0.25,1.53729900606482e-54,0.529411764705882,7,0.621153846153846,7,"ADGRF4","p_val_adj<0.05"
"DAB2",2.44928856664187e-114,2.14718034411669,0.07,0.479,6.48694076875098e-110,0.263888888888889,7,0.879518072289157,9,"DAB2","p_val_adj<0.05"
"LGALS17A",2.39072246560912e-31,2.13010741699741,0.014,0.149,6.33182845016576e-27,0.357142857142857,8,0.864516129032258,7,"LGALS17A","p_val_adj<0.05"
"QPRT",8.63902345757853e-157,2.12010172510038,0.045,0.549,2.28804536273967e-152,0.239130434782609,10,0.828070175438597,10,"QPRT","p_val_adj<0.05"
"NPNT",2.86739689895702e-131,2.11630527012851,0.052,0.502,7.59430068688768e-127,0.320754716981132,7,0.712368168744008,9,"NPNT","p_val_adj<0.05"
"VWA5A",1.80084119027056e-78,2.11364023292149,0.347,0.589,4.76952789243157e-74,0.514044943820225,9,0.780866721177432,10,"VWA5A","p_val_adj<0.05"
"HMCN2",2.34806783454795e-57,2.11349510165114,0.019,0.246,6.21885765980025e-53,0.315789473684211,6,0.931640625,7,"HMCN2","p_val_adj<0.05"
"TLR3",7.53678941536532e-122,2.11052776405867,0.092,0.529,1.99611867665951e-117,0.404255319148936,8,0.812727272727273,9,"TLR3","p_val_adj<0.05"
"PFKP",1.90862635114905e-117,2.10606836500085,0.648,0.86,5.05499689101825e-113,0.312312312312312,11,0.538031319910515,11,"PFKP","p_val_adj<0.05"
"BHMT2",7.58893841057313e-66,2.10454849411456,0.029,0.292,2.00993033804029e-61,0.4,6,0.863036303630363,8,"BHMT2","p_val_adj<0.05"
