"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
1.04296047586456e-05,0.572653983333516,0.384,0.245,0.276228082032728,"3","RAPH1"
1.10671357296457e-05,0.259273279494217,0.374,0.227,0.293113089799667,"3","TFPT"
1.14323402177059e-05,0.405499858035921,0.635,0.49,0.302785530665942,"3","CORO1C"
1.14692657385205e-05,0.338109746227095,0.607,0.446,0.303763503084716,"3","POLR1D"
1.18229405558619e-05,0.354595528311108,0.365,0.22,0.313130580622003,"3","SLC30A4"
1.18442918534757e-05,0.357151480322697,0.517,0.367,0.313696069739303,"3","DNAJA2"
1.18970631152209e-05,0.317162862174861,0.64,0.473,0.315093716606627,"3","SNRPD3"
1.19360225844056e-05,0.361691519654848,0.479,0.341,0.316125558147982,"3","CLNS1A"
1.22408255177668e-05,0.308784653763324,0.45,0.305,0.324198263838054,"3","ETHE1"
1.31334820875489e-05,0.251173994616821,0.645,0.501,0.347840273088734,"3","TRIM28"
1.33649324108876e-05,0.381090234642338,0.455,0.314,0.353970234902358,"3","PTDSS1"
1.34154915645436e-05,0.367245504525868,0.569,0.414,0.355309294086938,"3","ZFHX3"
1.34537305607995e-05,0.370344411416774,0.45,0.309,0.356322053902776,"3","PRMT1"
1.36591113279647e-05,0.805988844964207,0.327,0.202,0.361761563521146,"3","RBM26"
1.43017050497541e-05,0.31035550324187,0.839,0.725,0.378780658242739,"3","EIF4A3"
1.43890101479046e-05,0.323712416947953,0.427,0.275,0.381092933767254,"3","TBC1D5"
1.46213901779171e-05,0.281029679040745,0.592,0.426,0.387247518862134,"3","CRK"
1.46410429993584e-05,0.260790219941963,0.427,0.276,0.387768023838008,"3","TIMM10"
1.48115071551439e-05,0.251063352151604,0.322,0.194,0.392282767003987,"3","LOC100996255"
1.48748718734602e-05,0.364990346570853,0.455,0.312,0.393960981568594,"3","MMADHC"
1.56632848633334e-05,0.417587187905612,0.284,0.164,0.414842099605385,"3","ACTR1B"
1.58356071035629e-05,0.786276954464159,0.308,0.187,0.419406054137863,"3","HNRNPLL"
1.59439764340202e-05,0.294342120261815,0.403,0.269,0.422276215855025,"3","CAPN7"
1.66508024265793e-05,0.386209081565075,0.668,0.533,0.440996502267953,"3","CCT4"
1.66590437989737e-05,0.744872509112014,0.294,0.171,0.441214775015818,"3","AEN"
1.66985042720492e-05,0.295210895344928,0.526,0.374,0.442259885645223,"3","PDS5A"
1.6925508275048e-05,0.271864732530726,0.611,0.453,0.448272086664645,"3","SEC13"
1.69410146366696e-05,0.253712133966721,0.265,0.145,0.448682772652194,"3","KCNMB1"
1.71617125152601e-05,0.547572124892458,0.469,0.328,0.454527955966665,"3","REEP3"
1.72265542421368e-05,0.577061737666274,0.431,0.292,0.456245289102992,"3","ACAA2"
1.74624463382176e-05,0.270397289717988,0.555,0.382,0.462492891267693,"3","DNAJB11"
1.80637345409486e-05,0.415399912364061,0.355,0.224,0.478418009317024,"3","UBA2"
1.84864552818676e-05,0.376678559541481,0.365,0.231,0.489613768140264,"3","CCDC6"
1.9073296378756e-05,0.334080087023378,0.469,0.317,0.505156254591352,"3","GRHPR"
1.91662368537426e-05,0.329005571011072,0.483,0.329,0.507617783071373,"3","MIR155HG"
1.96111960709208e-05,0.314069144193602,0.545,0.388,0.519402527938338,"3","UQCRC2"
1.98528303563925e-05,0.331176434057848,0.573,0.428,0.525802211989056,"3","N4BP1"
1.9911735495761e-05,0.344800979041144,0.673,0.537,0.527362314605229,"3","BCLAF1"
2.01506505799432e-05,0.261498055372502,0.36,0.228,0.533689980609796,"3","SH3GL1"
2.12455392068693e-05,0.343549978956258,0.9,0.78,0.562688105893934,"3","IER5"
2.20478926544062e-05,0.260584375138309,0.488,0.337,0.583938436951948,"3","GPR108"
2.23943143363611e-05,0.628349455926267,0.294,0.176,0.593113415198524,"3","C1orf35"
2.30775516667447e-05,0.294200139366629,0.431,0.292,0.611208955893734,"3","MXD4"
2.40941525103184e-05,0.42189388312034,0.55,0.415,0.638133629235783,"3","CPNE1"
2.49399105165747e-05,0.44049614375853,0.275,0.16,0.66053353003148,"3","SESN3"
2.49536071196267e-05,0.461704171623142,0.493,0.349,0.660896284563312,"3","SMARCE1"
2.54509221780544e-05,0.513138616562863,0.384,0.258,0.674067673885772,"3","ZNF652"
2.57437327440991e-05,0.850771396021807,0.45,0.307,0.681822761727465,"3","ID3"
2.63093819537786e-05,0.382297585097957,0.498,0.356,0.696803981045826,"3","ETFA"
2.68018331084203e-05,0.340634557011499,0.635,0.5,0.70984654987651,"3","CCT3"
2.74261022467908e-05,0.681921114768063,0.384,0.261,0.726380318006255,"3","TSEN34"
2.75684839361567e-05,0.355670798407487,0.351,0.223,0.73015129704911,"3","SLC25A45"
2.78259524117261e-05,0.408772475692039,0.427,0.291,0.736970349624565,"3","ANKRD40"
2.83965074897175e-05,0.361706681242203,0.569,0.41,0.752081500865169,"3","PPP2R5C"
2.8548507614851e-05,0.383795370403375,0.36,0.227,0.756107224179329,"3","TMEM243"
2.88152413425088e-05,0.36433190661403,0.294,0.177,0.763171666956347,"3","PIP5K1A"
2.91142517463629e-05,0.600506039693586,0.365,0.241,0.771090957502422,"3","BZW2"
2.95333156872965e-05,0.344136430032128,0.526,0.395,0.782189865978047,"3","ARPP19"
3.01615368303322e-05,0.315594252055519,0.412,0.283,0.798828302951347,"3","CCDC50"
3.14037647184303e-05,0.27053318052636,0.303,0.183,0.831728708567626,"3","MON2"
3.34971977621993e-05,0.273679454460412,0.365,0.229,0.887173282731849,"3","PABPN1"
3.35696437254245e-05,0.408836189049736,0.848,0.691,0.889092014067867,"3","RPSAP58"
3.35884185038418e-05,0.512046762667512,0.275,0.161,0.889589264074251,"3","NUP210"
3.36291115467203e-05,0.383554381348709,0.374,0.248,0.890667019314886,"3","BEX4"
3.40395880534696e-05,0.75613209525451,0.355,0.231,0.901538489596143,"3","USP33"
3.44219611293381e-05,0.636868289019433,0.322,0.205,0.911665640510519,"3","IRGQ"
3.50740644859784e-05,0.323160652611623,0.564,0.42,0.928936597911138,"3","RC3H1"
3.59093191977158e-05,0.542661469084348,0.469,0.34,0.951058318951504,"3","SPTAN1"
3.80898949862714e-05,0.358632434079392,0.251,0.145,1,"3","SLC2A1"
3.81347906665544e-05,0.357529085148166,0.853,0.737,1,"3","RPL22"
3.83615215584251e-05,1.07923926855271,0.318,0.2,1,"3","PRKACB"
4.10260155495893e-05,0.43207992450833,0.299,0.183,1,"3","STYXL1"
4.11603340918127e-05,0.479676340700042,0.251,0.142,1,"3","MED17"
4.22988080328216e-05,0.290500130100101,0.46,0.324,1,"3","FIBP"
4.27907114036299e-05,0.30688517200234,0.398,0.258,1,"3","SLC4A7"
4.28139043177565e-05,0.355445562171608,0.355,0.224,1,"3","C5orf15"
4.282820063056e-05,0.606091748056335,0.431,0.316,1,"3","SENP5"
4.28379395853501e-05,0.387593418089821,0.583,0.468,1,"3","SMCHD1"
4.31224244273127e-05,0.275474260747476,0.384,0.254,1,"3","LBR"
4.40823375262467e-05,0.380424570252368,0.327,0.202,1,"3","ATP2B4"
4.52972388481232e-05,0.359616305738276,0.607,0.473,1,"3","PPP4R3A"
4.55949908959342e-05,0.312272899321981,0.37,0.239,1,"3","EIF2AK3"
4.75525347325979e-05,0.484118945469476,0.299,0.18,1,"3","RRN3P2"
