gene,cell
KLRB1,CD8-C7-SLC4A10
SLC4A10,CD8-C7-SLC4A10
NCR3,CD8-C7-SLC4A10
LST1,CD8-C7-SLC4A10
LTB,CD8-C7-SLC4A10
CCR6,CD8-C7-SLC4A10
DPP4,CD8-C7-SLC4A10
SPOCK2,CD8-C7-SLC4A10
SLAMF1,CD8-C7-SLC4A10
JAML,CD8-C7-SLC4A10
CCR7,CD4-C1-CCR7
RPS6,CD4-C1-CCR7
SELL,CD4-C1-CCR7
RPL3,CD4-C1-CCR7
RPL13,CD4-C1-CCR7
EEF1G,CD4-C1-CCR7
TXK,CD4-C1-CCR7
RPL32,CD4-C1-CCR7
RPL5,CD4-C1-CCR7
RPS14,CD4-C1-CCR7
LTB,CD4-C2-ANXA1
KLF2,CD4-C2-ANXA1
AES,CD4-C2-ANXA1
BIRC3,CD4-C2-ANXA1
GPR183,CD4-C2-ANXA1
RPLP0,CD4-C2-ANXA1
GIMAP7,CD4-C2-ANXA1
RPSAP58,CD4-C2-ANXA1
GSTK1,CD4-C2-ANXA1
ICAM2,CD4-C2-ANXA1
NKG7,CD4-C3-GNLY
GZMH,CD4-C3-GNLY
GNLY,CD4-C3-GNLY
PRF1,CD4-C3-GNLY
FGFBP2,CD4-C3-GNLY
GZMB,CD4-C3-GNLY
CCL5,CD4-C3-GNLY
TARP,CD4-C3-GNLY
CX3CR1,CD4-C3-GNLY
KLRG1,CD4-C3-GNLY
FOS,CD4-C4-CD69
CD69,CD4-C4-CD69
DUSP1,CD4-C4-CD69
FOSB,CD4-C4-CD69
CCR6,CD4-C4-CD69
SLC2A3,CD4-C4-CD69
OCIAD2,CD4-C4-CD69
LOC100130476,CD4-C4-CD69
PDCD4,CD4-C4-CD69
NABP1,CD4-C4-CD69
GZMK,CD4-C5-EOMES
GZMA,CD4-C5-EOMES
CST7,CD4-C5-EOMES
CCL4,CD4-C5-EOMES
CCL4L1,CD4-C5-EOMES
CD27,CD4-C5-EOMES
CCL3L3,CD4-C5-EOMES
DTHD1,CD4-C5-EOMES
F2R,CD4-C5-EOMES
CD27-AS1,CD4-C5-EOMES
CXCR6,CD4-C6-GZMA
HLA-DRB5,CD4-C6-GZMA
HLA-DRB1,CD4-C6-GZMA
HLA-DRB6,CD4-C6-GZMA
ALOX5AP,CD4-C6-GZMA
CAPG,CD4-C6-GZMA
LGALS3,CD4-C6-GZMA
ADAM19,CD4-C6-GZMA
JAML,CD4-C6-GZMA
CXCR3,CD4-C6-GZMA
CXCL13,CD4-C7-CXCL13
SRGN,CD4-C7-CXCL13
RGS1,CD4-C7-CXCL13
GAPDH,CD4-C7-CXCL13
CTLA4,CD4-C7-CXCL13
TNFRSF18,CD4-C7-CXCL13
DUSP4,CD4-C7-CXCL13
RBPJ,CD4-C7-CXCL13
NR3C1,CD4-C7-CXCL13
RNF19A,CD4-C7-CXCL13
TXNIP,CD4-C8-FOXP3
GIMAP7,CD4-C8-FOXP3
S1PR1,CD4-C8-FOXP3
RPL13,CD4-C8-FOXP3
CD52,CD4-C8-FOXP3
RPS3,CD4-C8-FOXP3
UBXN11,CD4-C8-FOXP3
LINC00861,CD4-C8-FOXP3
RPS6,CD4-C8-FOXP3
RPS18,CD4-C8-FOXP3
TNFRSF18,CD4-C9-CTLA4
CCR8,CD4-C9-CTLA4
CXCR6,CD4-C9-CTLA4
CD7,CD4-C9-CTLA4
IL1R2,CD4-C9-CTLA4
CTSC,CD4-C9-CTLA4
TNFRSF9,CD4-C9-CTLA4
DUSP4,CD4-C9-CTLA4
SH2D2A,CD4-C9-CTLA4
GAPDH,CD4-C9-CTLA4
CXCR4,CD4-C9-CTLA4(TNFRSF9-)
RARRES3,CD4-C9-CTLA4(TNFRSF9-)
TXNIP,CD4-C9-CTLA4(TNFRSF9-)
RGS1,CD4-C9-CTLA4(TNFRSF9-)
SYNE2,CD4-C9-CTLA4(TNFRSF9-)
ZFP36L2,CD4-C9-CTLA4(TNFRSF9-)
ALOX5AP,CD4-C9-CTLA4(TNFRSF9-)
PYHIN1,CD4-C9-CTLA4(TNFRSF9-)
GIMAP4,CD4-C9-CTLA4(TNFRSF9-)
EPB41,CD4-C9-CTLA4(TNFRSF9-)
CXCL13,exhausted_CD4
PDCD1,exhausted_CD4
ALOX5AP,exhausted_CD4
FKBP5,exhausted_CD4
RBPJ,exhausted_CD4
NR3C1,exhausted_CD4
ID2,exhausted_CD4
ITM2A,exhausted_CD4
CCL4,exhausted_CD4
LRMP,exhausted_CD4
RNF19A,exhausted_CD4
MTHFD2,exhausted_CD4
IFNG,exhausted_CD4
YWHAQ,exhausted_CD4
BHLHE40-AS1,exhausted_CD4
SMCO4,exhausted_CD4
RGS2,exhausted_CD4
RGS1,exhausted_CD4
IL6ST,exhausted_CD4
TOX,exhausted_CD4
BTLA,exhausted_CD4
CD200,exhausted_CD4
ZBED2,exhausted_CD4
TNFSF8,exhausted_CD4
CTLA4,exhausted_CD4
LINC00892,exhausted_CD4
SNX9,exhausted_CD4
COTL1,exhausted_CD4
ITPR1,exhausted_CD4
DUSP4,exhausted_CD4
MYO7A,exhausted_CD4
NAP1L4,exhausted_CD4
IL21,exhausted_CD4
LIMS1,exhausted_CD4
CREG1,exhausted_CD4
SRGN,exhausted_CD4
DTHD1,exhausted_CD4
PTPN13,exhausted_CD4
TMEM243,exhausted_CD4
HAVCR2,exhausted_CD8
CXCL13,exhausted_CD8
CCL3,exhausted_CD8
SIRPG,exhausted_CD8
IFNG,exhausted_CD8
TIGIT,exhausted_CD8
GZMB,exhausted_CD8
PDCD1,exhausted_CD8
PARK7,exhausted_CD8
TNFRSF9,exhausted_CD8
ACP5,exhausted_CD8
CTLA4,exhausted_CD8
RBPJ,exhausted_CD8
MIR155,exhausted_CD8
CXCR6,exhausted_CD8
CD27,exhausted_CD8
FKBP1A,exhausted_CD8
BST2,exhausted_CD8
TPI1,exhausted_CD8
MIR155HG,exhausted_CD8
PTTG1,exhausted_CD8
CD63,exhausted_CD8
SAMSN1,exhausted_CD8
RGS1,exhausted_CD8
CD27-AS1,exhausted_CD8
ITGAE,exhausted_CD8
MIR4632,exhausted_CD8
HLA-DRA,exhausted_CD8
IGFLR1,exhausted_CD8
KRT86,exhausted_CD8
ENTPD1,exhausted_CD8
DUSP4,exhausted_CD8
SIT1,exhausted_CD8
TOX,exhausted_CD8
PHLDA1,exhausted_CD8
CCND2,exhausted_CD8
GPR25,exhausted_CD8
LAYN,exhausted_CD8
PRDX5,exhausted_CD8
SARDH,exhausted_CD8
FASLG,exhausted_CD8
MIR3917,exhausted_CD8
ANXA5,exhausted_CD8
CTSD,exhausted_CD8
PDIA6,exhausted_CD8
RANBP1,exhausted_CD8
FKBP1A-SDCBP2,exhausted_CD8
COTL1,exhausted_CD8
TNFRSF1B,exhausted_CD8
IDH2,exhausted_CD8
CD38,exhausted_CD8
CD82,exhausted_CD8
LAG3,exhausted_CD8
MIR497HG,exhausted_CD8
APOBEC3C,exhausted_CD8
ITM2A,exhausted_CD8
COX5A,exhausted_CD8
IFI35,exhausted_CD8
NDFIP2,exhausted_CD8
TNFRSF18,exhausted_CD8
KRT81,exhausted_CD8
DNPH1,exhausted_CD8
RGS2,exhausted_CD8
HMGN1,exhausted_CD8
DYNLL1,exhausted_CD8
SNRPB,exhausted_CD8
STRA13,exhausted_CD8
SYNGR2,exhausted_CD8
RAB27A,exhausted_CD8
PSMC3,exhausted_CD8
GALM,exhausted_CD8
FABP5,exhausted_CD8
UBE2L6,exhausted_CD8
MYO7A,exhausted_CD8
PRDX3,exhausted_CD8
DDIT4,exhausted_CD8
STMN1,exhausted_CD8
CDK2AP2,exhausted_CD8
VCAM1,exhausted_CD8
SNAP47,exhausted_CD8
PSMB3,exhausted_CD8
ISG15,exhausted_CD8
HLA-DRB5,exhausted_CD8
CKS2,exhausted_CD8
TNIP3,exhausted_CD8
CD7,exhausted_CD8
PSMD4,exhausted_CD8
ATP6V1C2,exhausted_CD8
PSMD8,exhausted_CD8
HLA-DRB6,exhausted_CD8
