"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"VSIG10",1.11226808771439e-05,0.384560691312179,0.481,0.335,0.294584203031156
"DCAF11",1.14166640238195e-05,0.508557419253318,0.666,0.591,0.302370346670859
"TNRC6A",1.15767834024961e-05,0.349022530412866,0.765,0.726,0.306611108415109
"KRT8",1.17163495063775e-05,-0.408280598103584,0.926,0.943,0.310307516676408
"HOOK1",1.18420089941085e-05,0.391700763914881,0.585,0.47,0.313635608208963
"HOOK2",1.31610625467084e-05,0.308548834873992,0.621,0.548,0.348570741549572
"CCDC92",1.31633975036578e-05,0.304182691434865,0.467,0.378,0.348632582884376
"ARG2",1.33809123826713e-05,0.315969849642093,0.425,0.309,0.35439346445505
"SDCBP",1.34034631346056e-05,-0.351149255869695,0.763,0.857,0.35499072112003
"RPLP0",1.34751606762141e-05,-0.411441862705309,0.952,0.978,0.356889630509531
"ANGPTL4",1.35876040320245e-05,-0.678364553177369,0.237,0.378,0.35986769278817
"HIST1H4C",1.36112013058144e-05,0.409504167388667,0.829,0.861,0.360492666584495
"PRDX2",1.36205588182206e-05,-0.478564397514313,0.86,0.926,0.360740500300573
"DAND5",1.38397403444815e-05,0.266091161245766,0.126,0.026,0.366545523023593
"SENP6",1.40618850362125e-05,0.363044301119588,0.657,0.617,0.372429025184088
"GSPT1",1.43739578102616e-05,0.394430423635673,0.932,0.939,0.380694272604777
"C6orf106",1.44525199728994e-05,0.305939198883654,0.67,0.591,0.382774991482241
"ADCY9",1.45754290818696e-05,0.262037133380086,0.472,0.357,0.386030239233318
"GGA2",1.47203224320905e-05,0.342724511367899,0.61,0.509,0.389867739613917
"ECM1",1.49793699873538e-05,0.334234698889317,0.144,0.039,0.396728614115064
"C8orf4",1.52352828778561e-05,0.271648646718628,0.382,0.67,0.403506467020019
"SERPINB1",1.61438464362964e-05,-0.274454844035415,0.803,0.857,0.42756977286531
"RPL10",1.71702175753859e-05,-0.358866653084295,0.991,1,0.454753212484095
"EPPK1",1.87732399971996e-05,0.312175889212181,0.467,0.339,0.497209261325831
"ZSCAN18",2.10395238669601e-05,0.286201480257251,0.384,0.261,0.557231789616438
"PTGES3",2.12854766426802e-05,0.37664071718221,0.919,0.922,0.563745848881386
"DTNB",2.14154222886496e-05,0.304814660341958,0.415,0.296,0.567187459314884
"FBXO42",2.18955626006338e-05,0.28505540403348,0.451,0.313,0.579903975477786
"TSC22D1",2.20741665774341e-05,0.539397509300068,0.776,0.778,0.584634301803343
"GNPTAB",2.41312373509174e-05,0.304890613980017,0.612,0.5,0.639115821239049
"TC2N",2.49017635557164e-05,0.29454144259703,0.691,0.583,0.65952320777315
"SOX4",2.55652078458025e-05,0.418354999595597,0.948,0.965,0.677094529796079
"ZBTB16",2.56633008568776e-05,0.280745780104903,0.199,0.083,0.679692523194403
"TRA2B",2.58635302073771e-05,0.335138909334065,0.84,0.822,0.684995597542383
"DSTNP2",2.74998322131079e-05,0.272387651758137,0.443,0.343,0.728333056164164
"C5orf45",2.85759434476043e-05,0.302957241458795,0.456,0.352,0.7568338622098
"TRNAU1AP",3.00376598661607e-05,0.42603131768672,0.639,0.574,0.795547421555266
"ECHDC3",3.10451086190419e-05,0.259882506737697,0.282,0.161,0.822229701775324
"TLR2",3.12021045944476e-05,0.332940175582472,0.388,0.283,0.826387740183945
"KDM2A",3.45654955430674e-05,0.371834441697242,0.754,0.796,0.91546714945814
"SH3BGRL",3.45865264485188e-05,0.268905532304221,0.535,0.396,0.91602415298902
"ADM",3.56891683839571e-05,-0.264553412320333,0.181,0.326,0.945227624649103
"ZBTB20",3.8235755289457e-05,0.422066185452722,0.79,0.783,1
"MR1",3.86325560610773e-05,0.273806765755993,0.544,0.426,1
"LINC-PINT",3.88585166336122e-05,0.307581334288971,0.603,0.543,1
"C4BPB",3.88707217380395e-05,0.519076681626003,0.49,0.413,1
"ZNF552",3.96375121230557e-05,0.261978868598335,0.391,0.27,1
"BLVRA",3.98676318630663e-05,0.325803712271072,0.804,0.804,1
"SRP9",4.0521172629826e-05,-0.30547503172905,0.864,0.948,1
"GSTA1",4.17697614674855e-05,0.324646711657812,0.124,0.03,1
"SLC22A23",4.21025803064423e-05,0.316784774350506,0.382,0.274,1
"PNPLA2",4.25772343429374e-05,0.341862237882148,0.738,0.73,1
"SLC15A2",4.2666140525536e-05,-0.27983795651871,0.4,0.483,1
"ANKRD65",4.3447648830718e-05,0.285404678743155,0.431,0.33,1
"ALOX15B",4.42772878596308e-05,0.315499688929326,0.183,0.074,1
"PMF1",4.51062069998954e-05,0.298066447161232,0.729,0.804,1
"MIR3654",4.51621401039538e-05,0.311693463795663,0.77,0.887,1
"PHKG2",4.61046551696441e-05,0.413946989527142,0.616,0.548,1
"LRRC37A4P",4.96693990177911e-05,0.311007165912576,0.257,0.143,1
"HIST1H2BN",4.99984244922286e-05,0.368638816155028,0.232,0.117,1
"CD55",5.20919304438324e-05,0.869984220454604,0.948,0.896,1
"CXCL17",5.39218492838859e-05,0.417784307052497,0.867,0.861,1
"CXCL1",5.53788564907084e-05,0.3523857452547,0.232,0.113,1
"LIMK2",5.57447167476791e-05,0.264759024996576,0.417,0.291,1
"ZNF106",5.69866203353886e-05,0.374506479109748,0.84,0.83,1
"TUBA1C",5.80417904632476e-05,0.36859626579619,0.88,0.917,1
"CLIC5",5.97536779425554e-05,0.664598685651939,0.476,0.391,1
"GPBP1L1",6.05083318842169e-05,0.321670451104282,0.659,0.626,1
"PHLDA2",6.26130570613602e-05,-0.380791199922479,0.521,0.722,1
"IFRD1",6.40771722876757e-05,0.309326978961291,0.628,0.557,1
"POLR2C",6.4527815479154e-05,0.518027622152077,0.645,0.622,1
"JOSD2",6.54964245160316e-05,0.283433474925538,0.406,0.596,1
"OAZ1",6.80043624609864e-05,-0.446079350024028,0.944,0.991,1
"ARHGAP35",6.87465863720252e-05,0.31591495440776,0.605,0.583,1
"ZNF335",6.88139817386022e-05,0.275905270874355,0.427,0.326,1
"IL6R",6.96211094156918e-05,0.371241663350658,0.654,0.591,1
"EHD1",7.5193715740895e-05,0.531832973305973,0.632,0.652,1
"ATF4",8.11315544473776e-05,0.329381462068463,0.898,0.896,1
"ALDH9A1",8.78057288723226e-05,0.353182503308676,0.675,0.596,1
"MUC21",8.83445614612119e-05,-0.276234955694996,0.388,0.574,1
"PROSC",9.11930240069559e-05,0.254952962733957,0.508,0.4,1
"CCDC64B",9.39696167560102e-05,0.340168658972367,0.63,0.57,1
"PTPN12",9.76902158218264e-05,0.280956464801578,0.662,0.63,1
"CTF1",0.000101705506338807,0.326373198276118,0.415,0.326,1
"KANK2",0.000103406928950922,0.250755573909603,0.329,0.209,1
"ACBD3",0.000112516813449256,0.3229416448679,0.88,0.896,1
"RBP1",0.000123078624516827,-0.737099825024492,0.291,0.148,1
"ARID5B",0.000123154376592599,0.297467411324252,0.707,0.635,1
"PPL",0.000123956392366894,0.358123365814351,0.698,0.643,1
"ODF2L",0.000131049550786837,0.386878825933265,0.645,0.635,1
"SMYD4",0.000132916317284901,0.258040597182055,0.289,0.178,1
"ADGRG1",0.00013324648237537,0.311094386109697,0.612,0.504,1
"CDKN3",0.000134115786810163,-0.34803870466014,0.054,0.13,1
"TANGO6",0.000135574753829353,0.31861761493085,0.255,0.143,1
"PEF1",0.000137645699410315,0.423410793591857,0.664,0.643,1
"EVI5",0.00013769661820058,0.261787097821956,0.564,0.5,1
"SH3RF1",0.000137761550106902,0.314615371287046,0.732,0.596,1
"MXD4",0.000147200487145706,0.450373301508674,0.614,0.652,1
"EIF4G2",0.000153366985976508,0.314475291563664,0.919,0.961,1
"GOLGA3",0.000154644840935769,0.591066383433716,0.623,0.57,1
"ID3",0.000158161031577245,0.629686689096619,0.513,0.517,1
"C19orf66",0.000158784478189448,0.288014365989529,0.4,0.3,1
"TCF7L2",0.000160968476319729,0.304705426312727,0.571,0.526,1
"HLA-DQA2",0.000181998648066687,0.506875032333843,0.364,0.296,1
"FLNA",0.000184762039300303,0.277402394315667,0.603,0.509,1
"CBFA2T2",0.000192484301732381,0.305382071827094,0.535,0.443,1
"MAP2K3",0.000199161201124516,0.354035232526195,0.558,0.513,1
"EIF5",0.000203762095266503,0.362499565138846,0.905,0.917,1
"LAMA5",0.000209920135212344,0.42783721637234,0.671,0.613,1
"NDUFA12",0.000217348803490335,-0.306608076690636,0.729,0.887,1
"EP300",0.000217635840590501,0.313041006393088,0.636,0.583,1
"PMM1",0.000219168138537917,0.432268000530607,0.627,0.613,1
"VASN",0.000223508868455701,0.318873526880323,0.618,0.591,1
"YOD1",0.000232038595316412,0.38072246367958,0.397,0.3,1
"TEAD3",0.00023352304485816,0.424043377840337,0.469,0.404,1
"MPST",0.000236695218669342,0.4292886708598,0.711,0.774,1
"CXCL16",0.000237290996925963,-0.419522704736302,0.779,0.796,1
"NDUFS5",0.000239884489665921,-0.277441518939692,0.941,0.961,1
"FAU",0.000243030827445433,-0.267479731420856,0.966,0.978,1
"ZSCAN31",0.000249045000745269,0.303394042075702,0.368,0.27,1
"APOL1",0.000249101596153642,-0.320825934295264,0.65,0.726,1
"NUPR1",0.000251457129628909,-0.580145423630029,0.81,0.461,1
"RPL10A",0.000251678454746768,-0.272021454265967,0.935,0.983,1
"TCEB3",0.000251925081677842,0.377930574243528,0.693,0.713,1
"MYH10",0.00027394034785376,0.280808081464787,0.488,0.387,1
"METAP2",0.000283025372876588,0.257020286856443,0.846,0.822,1
"SEC11C",0.000284428864627781,-0.46322587708534,0.616,0.826,1
"CDKN2A",0.000284570890576021,-0.28931682102854,0.436,0.5,1
"PPP1R9A",0.000309218671497822,0.385338365232718,0.598,0.496,1
"HP1BP3",0.000317070873633383,0.375616071978228,0.91,0.939,1
"MZT2B",0.000385864324305128,-0.261664497657041,0.822,0.961,1
"AKIRIN1",0.00039983934864625,0.344035161727488,0.706,0.691,1
"PARP10",0.000411626706947683,0.282025095869839,0.467,0.387,1
"TMEM30A",0.000421028306875684,0.253969137159562,0.72,0.709,1
"PIM2",0.000452977849203325,0.276035079674349,0.49,0.439,1
"SPAG9",0.000472559267354,0.431249329655121,0.756,0.791,1
"HLA-C",0.000500101021338313,0.383345309269815,0.977,0.974,1
"ASPSCR1",0.000528700767356212,0.257299322869461,0.474,0.404,1
"F3",0.000538453543940084,0.878354452419472,0.548,0.513,1
"ISG15",0.000541581199537342,0.593556648204016,0.684,0.909,1
"DDIT3",0.000583112848934551,0.371629823895546,0.6,0.491,1
"RPL41",0.000599721647814063,-0.277771186125781,0.971,0.991,1
"LRIG3",0.000623912999057218,0.393474938591629,0.404,0.304,1
"TMEM230",0.000651165956362254,0.374505549629737,0.772,0.857,1
"DEGS1",0.000672250453528514,0.340380683668565,0.706,0.687,1
"DNAJA4",0.000688075030289689,0.309759932130876,0.544,0.461,1
"BEX4",0.000697914467933551,0.310197099180445,0.562,0.522,1
"MEAF6",0.000708308563516432,0.33879203756446,0.772,0.822,1
"GGCX",0.000727805919367442,0.362532504285655,0.736,0.717,1
"ABHD2",0.000748242367235803,0.316287791177565,0.691,0.704,1
"ALDH6A1",0.000798581093426456,0.33458974516435,0.727,0.752,1
"PIK3R3",0.000817757248495308,0.430035775547945,0.603,0.57,1
"FNIP2",0.000850195372324816,0.266845960438409,0.425,0.304,1
"SPSB3",0.000852752525556929,0.359105456354347,0.709,0.743,1
"CFAP20",0.000865716888112844,0.380395497744812,0.573,0.574,1
"SIX1",0.000871091553703984,0.297456842494987,0.397,0.304,1
"BAZ2B",0.000872000964581018,0.314039309034864,0.691,0.643,1
"WDR74",0.000910888071753434,0.612346746391468,0.682,0.717,1
"SMPDL3B",0.000949389571785866,0.744584456802285,0.551,0.574,1
"CCND3",0.000968933747931663,0.399068140907553,0.74,0.743,1
"PDLIM2",0.000991675105465826,0.455354011522828,0.442,0.4,1
"WIPF2",0.000994930340528981,0.303972298448874,0.643,0.635,1
"RNH1",0.00100509043495607,0.305168430791292,0.858,0.887,1
"SRRM1",0.00101574825681869,0.26924619062175,0.887,0.9,1
"CDC37",0.00102405986907833,0.350510979114656,0.74,0.826,1
"MYH14",0.00104443860984461,0.405841246268222,0.605,0.578,1
"KIAA1217",0.00104490945551214,0.325639471797332,0.639,0.6,1
"C14orf159",0.00105184254190066,0.342155521025597,0.526,0.435,1
"FRMD4B",0.00106287956917777,0.262931351283002,0.354,0.278,1
"ATP1B1",0.00108851630680745,0.308122523211653,0.982,0.97,1
"SARS",0.00111448743489945,0.337794771884645,0.779,0.817,1
"PIP5K1A",0.00113698964477277,0.3058322503754,0.58,0.574,1
"ZHX3",0.00114221853857143,0.264687341740608,0.363,0.27,1
"MAVS",0.00115972997874111,0.424739122479577,0.698,0.691,1
"FLOT1",0.0011924198941307,0.291722259588357,0.858,0.852,1
"RIPK1",0.001199671193923,0.271813685480526,0.537,0.504,1
"CYP27A1",0.00123357080071898,0.329485817216989,0.3,0.213,1
"EYA3",0.00124727746898394,0.272696051437254,0.522,0.435,1
"ILF3",0.00131210055450519,0.307824206858054,0.837,0.835,1
"PPT1",0.00133673092631285,-0.336166944780002,0.727,0.761,1
"PRKCZ",0.00135173245139386,0.288662536672341,0.494,0.457,1
"KLF6",0.00135276613978373,0.328705837482628,0.831,0.861,1
"ZNF652",0.00136762380597269,0.262874601173413,0.768,0.791,1
"NFYC",0.00136939234664495,0.337544456081854,0.673,0.652,1
"QKI",0.00151098308108158,0.36138120976206,0.589,0.587,1
"GRB7",0.00153978957265778,0.267082755220454,0.562,0.487,1
"STK17B",0.0015888023945454,0.362001707812214,0.72,0.757,1
"SMARCC2",0.00165018436468157,0.435368196319452,0.738,0.778,1
"IDH3B",0.00167030726876964,0.376362632428695,0.691,0.709,1
"CD81",0.00168385551475815,0.265367741923865,0.871,0.865,1
"RSRC2",0.00173502041283046,0.261884110522815,0.81,0.817,1
"LRRC47",0.0017383142570732,0.369186087126926,0.632,0.587,1
"MARC2",0.00183493844299109,0.251829160388962,0.436,0.365,1
"MRPL14",0.00187786980988349,0.307000356168247,0.898,0.943,1
"ZNF83",0.00188485735310665,0.25844153518849,0.348,0.539,1
"CNPPD1",0.00188664116347864,0.308818576239653,0.621,0.613,1
"RPS5",0.001956651011443,-0.62224516279449,0.948,0.974,1
"LTBP3",0.00196463808705973,0.370276416940756,0.758,0.761,1
"BIRC5",0.00199328118565405,-0.450020876399878,0.095,0.165,1
"ANKRD37",0.00201246944567194,0.311141428349658,0.542,0.496,1
"SLC39A7",0.00201838604102686,0.345857061790912,0.822,0.835,1
"ZDHHC16",0.00206557972682748,0.396977648460321,0.616,0.613,1
"MAOA",0.00209377768316301,0.395877389700773,0.526,0.483,1
"ASH1L",0.00212385041924142,0.371203384766679,0.849,0.857,1
"ARL2BP",0.00228858953441504,0.400638724178521,0.598,0.591,1
"HNRNPA0",0.00229514062970175,0.274476302968841,0.781,0.874,1
"RPRD2",0.00237349812880633,0.273777142116255,0.648,0.661,1
"ATG4B",0.00237586607234679,0.326162112703185,0.557,0.535,1
"NFATC2IP",0.00248158236232428,0.447460010736663,0.605,0.587,1
"AGR3",0.00251330141144299,0.266045450650219,0.702,0.535,1
"AES",0.00261094243708615,0.332568631267363,0.768,0.93,1
"NRIP3",0.00265917264771119,0.266534680006843,0.278,0.187,1
"APLP2",0.00299555342481219,-0.264552153805416,0.973,0.978,1
"LAMA3",0.00301349361731445,0.270106029726516,0.476,0.409,1
"LIME1",0.00332820477190085,0.272206437499874,0.316,0.239,1
"THOC6",0.00362192990209386,0.388736562375436,0.589,0.63,1
"CCNL2",0.00380734707031288,0.403176916217605,0.734,0.752,1
"SCGB2A1",0.0040063348660313,-0.543902775096503,0.059,0.117,1
"EIF4A2",0.00415089780888759,0.271964028990199,0.842,0.852,1
"FARP1",0.00416494583903411,0.295035071973551,0.562,0.548,1
"APMAP",0.00419606379324733,0.393048160690143,0.677,0.7,1
"BAIAP2",0.00441100807504253,0.316057279374227,0.688,0.726,1
"TMEM98",0.00460437392469104,0.262737912864661,0.485,0.391,1
"UBR4",0.00461669763166239,0.301229720264103,0.731,0.713,1
"KDM5B",0.00465937309494132,0.299173092198461,0.804,0.83,1
"PQLC2",0.00469818535515771,0.30825150265278,0.381,0.304,1
"CTSF",0.00476102582478382,0.278974847450904,0.478,0.404,1
"FKBP3",0.00489205168682856,-0.286995335770119,0.776,0.926,1
"HSH2D",0.00501350459901808,0.425809858544441,0.37,0.313,1
"SEPW1",0.00602232559328213,-0.458800682037559,0.93,0.974,1
"CCHCR1",0.00609950357650544,0.261821179245557,0.37,0.296,1
"IFT140",0.00637247702533939,0.254125002811042,0.375,0.309,1
"KIF1B",0.00638007219620428,0.321143751734116,0.63,0.626,1
"ZC3H11A",0.00662170458986759,0.312434456730783,0.768,0.774,1
"INADL",0.00663686479507094,0.284091752765697,0.761,0.696,1
"CCDC124",0.00681242432340328,0.336357641566402,0.682,0.783,1
"HES6",0.00682214532905471,-1.37458393707552,0.251,0.365,1
"BCLAF1",0.00682971509405603,0.279651106328222,0.833,0.843,1
"NEU1",0.00686247171955587,0.342728828366299,0.727,0.8,1
"MEPCE",0.00729628733358391,0.266007553619603,0.456,0.426,1
"SHMT1",0.00738703152037404,0.276389542842073,0.458,0.404,1
"ZBTB43",0.00747297655168089,0.354339907587095,0.501,0.474,1
"ORAI1",0.00811101984575695,0.262161622986252,0.417,0.37,1
"RPL6",0.00840587636195669,-0.369797421543929,0.941,0.961,1
"LZTS3",0.00865480849582289,0.293018877710997,0.413,0.374,1
"ADGRE5",0.00874504729352107,0.301155480133108,0.469,0.435,1
"MRPL4",0.00894998577207892,0.326836809900185,0.641,0.717,1
"C3orf58",0.00914056499018349,0.334915297697222,0.338,0.278,1
"RPL12",0.00965478375850442,-0.502777924368281,0.952,0.987,1
"PARP14",0.00981269634010983,0.380373677142629,0.898,0.848,1
"TBL3",0.010037947735942,0.261044149546086,0.522,0.7,1
"TSPYL4",0.0100763143486662,0.354543066788259,0.323,0.27,1
"C7orf50",0.0103411298652407,0.322984221621156,0.846,0.917,1
