"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"APOL2",1.61387307101069e-45,-0.559025139502987,0.411,0.913,4.27434282857181e-41
"ITGB1",2.05547849739314e-45,-0.829534958892201,0.584,0.948,5.44393480034573e-41
"IRX2",2.14063909380122e-45,1.02297998859269,0.742,0.248,5.66948263993252e-41
"GGT5",3.13989242688875e-45,1.18524240011663,0.586,0.009,8.31600509261486e-41
"UMPS",3.80697892826799e-45,-0.309631120831902,0.153,0.717,1.00827836915178e-40
"OS9",4.24744538931016e-45,1.6578843586563,0.934,0.939,1.1249359113588e-40
"FRMD3",4.47210234267356e-45,-0.286259262407468,0.022,0.443,1.18443630545709e-40
"CHCHD2",4.91198291265661e-45,-0.813557633344977,0.845,0.957,1.3009386744171e-40
"AK4",5.06118789621801e-45,-0.267210712532719,0.158,0.726,1.34045561431334e-40
"MXRA5",5.12578635698622e-45,-1.12792543483961,0.033,0.457,1.3575645166478e-40
"GPX1",7.96987977542173e-45,-0.704355799542243,0.847,0.97,2.11082265852045e-40
"SNHG18",1.1383818106717e-44,0.414783463522137,0.595,0.022,3.01500422556401e-40
"ARPC1B",2.16582199784492e-44,-1.04546833363413,0.707,0.917,5.73617956129226e-40
"CHST4",2.24555310455643e-44,-0.353296501523688,0.002,0.383,5.9473473974177e-40
"DHRS9",3.10586443781649e-44,-0.548770680505315,0.026,0.452,8.22588196355696e-40
"PDE8B",3.3295270950073e-44,-0.430065787930214,0.024,0.439,8.81825251112683e-40
"FBLN2",3.53922557251608e-44,-0.293192147746825,0.011,0.404,9.37363892880883e-40
"VMO1",5.18147703390859e-44,-1.02506448507719,0.02,0.422,1.37231419243069e-39
"CTTN",7.81905264484852e-44,-0.944306841156772,0.849,0.948,2.07087609298813e-39
"RPS16",8.51597338851447e-44,-0.767961727606849,0.958,0.996,2.25545555194806e-39
"S100A11",8.59710205896356e-44,-0.833944072905191,0.941,0.965,2.2769424803165e-39
"B2M",1.05243299917408e-43,-1.032152664784,0.954,0.991,2.78736879831255e-39
"PSMA2",2.16043751113027e-43,-0.694736951009095,0.733,0.935,5.72191874822853e-39
"THBS1",2.33421112651421e-43,1.26590058782725,0.74,0.274,6.18215816857289e-39
"KYNU",3.01853422837216e-43,-0.797479650425171,0.044,0.483,7.99458790384366e-39
"RAP1GDS1",3.08568386193039e-43,-0.343414317588182,0.151,0.661,8.17243370832263e-39
"NDUFB4",3.97011035569965e-43,-0.7126076691021,0.766,0.961,1.05148372770705e-38
"CNOT2",5.02564572063918e-43,-1.14273740008086,0.446,0.896,1.33104226911129e-38
"DCTN2",6.1634761551495e-43,-0.918457123548938,0.381,0.9,1.63239665969134e-38
"UQCRFS1",6.31122863769954e-43,-0.683696553393689,0.532,0.93,1.67152890469472e-38
"YWHAZ",6.37867026490097e-43,-0.719580555288816,0.834,0.97,1.68939081965902e-38
"JUNB",7.51379723169621e-43,1.76768816852817,0.853,0.748,1.99002919681474e-38
"FOSB",8.24583734747409e-43,1.54182172671395,0.746,0.274,2.18391002147851e-38
"KRT16",8.82992596024585e-43,-1.34234282675424,0.07,0.535,2.33860589057111e-38
"DUSP6",9.17449327234195e-43,1.58599849272398,0.805,0.37,2.42986454317977e-38
"PAM",9.78991576506832e-43,-0.867862301926561,0.372,0.857,2.59285919037835e-38
"LY6D",1.08481559034747e-42,-0.364042243750294,0.035,0.47,2.87313409103529e-38
"MRPS34",1.12587929301549e-42,-0.61926368066029,0.516,0.97,2.98189130755154e-38
"SUCLG2",1.20535638876649e-42,-0.596639591633474,0.278,0.774,3.19238639564805e-38
"TSPO",1.33850887758591e-42,-0.870622440847013,0.779,0.926,3.54504076228629e-38
"EGR1",1.34849878099851e-42,1.43237956290925,0.799,0.335,3.57149902147456e-38
"TRABD2A",1.89755112916132e-42,-0.358642789678833,0.015,0.404,5.02566416558375e-38
"NSMCE1",2.43293867312929e-42,-0.589380726426234,0.368,0.848,6.44363807578293e-38
"ATP5G3",2.49368355820404e-42,-0.702262143091106,0.659,0.965,6.60452090390339e-38
"MPPE1",2.63760097537484e-42,-0.283734509223789,0.131,0.635,6.98568618328025e-38
"BLVRB",2.95861919886198e-42,-0.951657973407128,0.766,0.917,7.83590294818596e-38
"ASPH",5.42388776475265e-42,-1.29210197173541,0.652,0.978,1.43651667449474e-37
"CAMK2G",5.44001348792478e-42,-0.37571188580461,0.249,0.787,1.44078757227688e-37
"HGD",5.95005802244751e-42,-0.441698614895121,0.013,0.396,1.57587286724522e-37
"LDHB",6.22614803925506e-42,1.87164809262449,0.871,0.548,1.6489953081967e-37
"NCKAP1L",7.09832767103093e-42,1.06386892873146,0.562,0.017,1.87999208367254e-37
"FAM114A1",8.52926068957861e-42,-0.776840755938515,0.451,0.857,2.25897469363489e-37
"YES1",9.9571500803082e-42,-0.378218112169267,0.219,0.73,2.63715119876963e-37
"MRPL24",1.06408950565253e-41,-0.826253757877876,0.495,0.9,2.81824105572073e-37
"ABRACL",1.15535388471216e-41,-0.379785239301068,0.346,0.843,3.05995476366016e-37
"TCEB2",1.18075267639167e-41,-0.681478790993724,0.873,0.978,3.12722346342335e-37
"LGSN",1.32544103562323e-41,-0.267894025824793,0.042,0.474,3.51043058284814e-37
"MAN2A1",2.26672382290502e-41,-0.447041564381937,0.258,0.774,6.00341804496395e-37
"COX7B",2.29933147096922e-41,-0.618041665313999,0.753,0.961,6.08977940086197e-37
"TMEM8B",2.88071821110084e-41,-0.303459440679857,0.092,0.561,7.62958218210057e-37
"ARPC3",3.19553643480251e-41,-0.68235915985499,0.748,0.935,8.46337824757446e-37
"PPA2",3.95468021815588e-41,-0.559847579458996,0.429,0.896,1.04739705577858e-36
"KCNK6",3.97507263597009e-41,-0.401058027956741,0.114,0.591,1.05279798763668e-36
"POMP",4.71908769094578e-41,-0.634440663413208,0.678,0.939,1.24985037494699e-36
"LAP3",5.42349468509391e-41,-0.462673023915437,0.317,0.839,1.43641256734712e-36
"NENF",6.41996183856032e-41,-0.62393811114519,0.718,0.939,1.7003268929427e-36
"PSMB9",7.48950738566903e-41,-0.691048474776685,0.435,0.839,1.98359603109444e-36
"TIMM8A",8.15702568506984e-41,-0.26409428735501,0.103,0.587,2.16038825269075e-36
"BST2",9.05954294985531e-41,0.778446091524147,0.777,0.27,2.39941995026918e-36
"TMEM176B",1.02138776962547e-40,-1.73211352463535,0.05,0.457,2.70514550785305e-36
"PSMB10",1.27136402953736e-40,-0.735771574584153,0.475,0.861,3.36720763222971e-36
"COX7A2",1.44575044975965e-40,-0.585931562181743,0.792,0.961,3.82907006618842e-36
"PDZK1IP1",1.50510266111726e-40,-0.644915191454474,0.352,0.826,3.98626439796907e-36
"EXT1",1.70945434578249e-40,-0.423408954965774,0.175,0.665,4.52748983480491e-36
"ECHS1",1.73338976203851e-40,-0.738736481051094,0.556,0.913,4.590882784759e-36
"PIGR",1.82254108865212e-40,1.6825555295542,0.886,0.739,4.82700007329515e-36
"DMBT1",2.09636484211993e-40,2.7396048025802,0.56,0.03,5.55222228435464e-36
"TMEM265",3.91769650632953e-40,-0.475807604422419,0.344,0.822,1.03760191970138e-35
"PRELID1",4.5236741276074e-40,-0.758410525517064,0.641,0.93,1.19809509269682e-35
"ARL4A",4.68457736951963e-40,1.66076420968325,0.818,0.635,1.24071031631727e-35
"BCAS4",5.81608022011592e-40,-0.33462822638296,0.188,0.717,1.5403888462977e-35
"MRPS12",6.43851570723726e-40,-0.869444399587096,0.462,0.926,1.70524088506179e-35
"ARPC2",6.76345075234119e-40,-0.624750675518338,0.652,0.961,1.79129993175756e-35
"RASD1",6.98263937897183e-40,1.09515203994162,0.713,0.265,1.84935203952069e-35
"TUFM",9.08380130291391e-40,-0.709040912623819,0.593,0.948,2.40584477507675e-35
"TFF3",9.66477352879898e-40,0.71606292026893,0.74,0.217,2.55971526910241e-35
"TRAPPC6A",1.0398437660708e-39,-0.637837482489681,0.44,0.913,2.7540262144385e-35
"ST3GAL4-AS1",1.14858663003605e-39,-0.258042149424923,0.042,0.443,3.04203168965048e-35
"PYCARD",1.25830292838862e-39,-0.425169096132314,0.302,0.783,3.33261530583725e-35
"IFI27",1.5190574556413e-39,-0.326597362906934,0.884,0.326,4.023223671266e-35
"CARHSP1",1.6587256103073e-39,-0.288281308918299,0.484,0.926,4.39313477889889e-35
"CHAD",2.16420514353757e-39,0.955014039067332,0.521,0,5.73189732265925e-35
"ANKRD13A",2.54131834572251e-39,-0.573221541599303,0.212,0.7,6.73068163864606e-35
"RHBDF2",2.85305781559236e-39,-0.26510149953728,0.158,0.657,7.55632362459637e-35
"RHBDL2",3.15588836180889e-39,-0.398982869688479,0.195,0.704,8.35837032625083e-35
"ID2",3.28085855814689e-39,1.40840606210814,0.781,0.37,8.68935389125205e-35
"POLR2B",3.6943635789373e-39,-0.395402604431485,0.317,0.809,9.78452193881543e-35
"DCAF13",3.83028243876881e-39,-0.383860699882134,0.249,0.796,1.01445030390792e-34
"AMFR",4.0402135965967e-39,-0.250219283458696,0.131,0.617,1.07005057105864e-34
"FAM195A",4.45276947241897e-39,-0.395265955758637,0.309,0.835,1.17931599477016e-34
"CHGB",4.82976034905104e-39,1.16927457766816,0.571,0.039,1.27916202844617e-34
"ECH1",4.89284617581316e-39,-0.804399072159627,0.665,0.913,1.29587030966412e-34
"ALDH18A1",5.07036629087376e-39,-0.363263339786504,0.223,0.73,1.34288651213792e-34
"VWA5A",5.17100135788876e-39,-1.30967596840899,0.173,0.617,1.36953970963684e-34
"GYG1",5.45051673479085e-39,-0.401117217249478,0.175,0.678,1.44356935720936e-34
"DHX15",6.49622026212337e-39,-0.378008089606424,0.427,0.878,1.72052393642338e-34
"BID",6.92213862484899e-39,-0.701148301465678,0.414,0.848,1.83332841479126e-34
"CHCHD1",7.32660705018276e-39,-0.306377347821853,0.374,0.861,1.9404518772409e-34
"TRMT10C",7.66516341698107e-39,-0.255653225857876,0.247,0.761,2.03011853098744e-34
"FXYD5",8.16312292042281e-39,-0.672481080131093,0.379,0.839,2.16200310547398e-34
"BCKDK",8.75478028367665e-39,-0.449137319423986,0.284,0.8,2.31870355813176e-34
"RALB",9.46664533541408e-39,-0.260923187638808,0.155,0.639,2.50724101708442e-34
"HAGH",1.00594402813504e-38,-0.654971046693993,0.324,0.848,2.66424275851566e-34
"SECTM1",1.06670522264246e-38,-0.39929144340567,0.293,0.804,2.82516878216856e-34
"SMS",1.10194645663492e-38,-0.989645447117648,0.6,0.948,2.91850519039759e-34
"PLEKHA6",1.36070052592519e-38,-0.271167903298787,0.129,0.622,3.60381534291287e-34
"PDCD5",1.37065341438264e-38,-0.478352345519838,0.652,0.957,3.63017556799242e-34
"COX4I1",1.59015290942874e-38,-0.785027571208714,0.856,0.974,4.21151998062202e-34
"MYL6",1.75207348629072e-38,-0.61214389855349,0.928,0.991,4.64036662844097e-34
"PSCA",1.79304454541026e-38,-0.302069550174813,0.059,0.483,4.74887847851907e-34
"PRSS50",1.96113708742267e-38,-0.296168301134711,0.004,0.343,5.19407157603895e-34
"TAP2",2.23469990241439e-38,-0.333512581310077,0.208,0.709,5.91860269154452e-34
"TMEM176A",2.37520051945961e-38,-1.12827284659769,0.046,0.439,6.29071857578877e-34
"DYNLT1",2.697975479473e-38,-0.806988239972015,0.694,0.922,7.14558805738424e-34
