"","cell_id","norm_epi_annotation"
"K14_B003116","K14_B003116","ionocyte"
"K18_B003125","K18_B003125","unknown stroma"
"K18_B003588","K18_B003588","unknown stroma"
"K20_B003125","K20_B003125","unknown stroma"
"K20_B003588","K20_B003588","unknown stroma"
"L6_B003126","L6_B003126","unknown stroma"
"M18_B003112","M18_B003112","ionocyte"
"M21_B002074","M21_B002074","unknown stroma"
"M22_B003120","M22_B003120","ionocyte"
"N12_B003116","N12_B003116","ionocyte"
"N18_B002090","N18_B002090","ionocyte"
"N19_B003112","N19_B003112","ionocyte"
"N20_B003112","N20_B003112","ionocyte"
"O17_B001007","O17_B001007","unknown stroma"
"O18_B003116","O18_B003116","ionocyte"
"O18_B003125","O18_B003125","unknown stroma"
"P17_B002097","P17_B002097","club cell"
"C18_B003656","C18_B003656","unknown stroma"
"K19_B003125","K19_B003125","unknown stroma"
"A10_B000863","A10_B000863","unknown stroma"
"A11_B000860","A11_B000860","unknown stroma"
"A1_B000860","A1_B000860","unknown stroma"
"A9_B000863","A9_B000863","unknown stroma"
"B10_B000862","B10_B000862","unknown stroma"
"B1_B000863","B1_B000863","unknown stroma"
"B3_B000860","B3_B000860","unknown stroma"
"B3_B000861","B3_B000861","unknown stroma"
"B3_B000862","B3_B000862","unknown stroma"
"B4_B000861","B4_B000861","unknown stroma"
"B4_B000862","B4_B000862","unknown stroma"
"B5_B000860","B5_B000860","unknown stroma"
"B6_B000862","B6_B000862","unknown stroma"
"C1_B000862","C1_B000862","unknown stroma"
"C2_B000861","C2_B000861","unknown stroma"
"C3_B000860","C3_B000860","unknown stroma"
"C3_B000861","C3_B000861","unknown stroma"
"C4_B000863","C4_B000863","unknown stroma"
"C9_B000860","C9_B000860","unknown stroma"
"D10_B000860","D10_B000860","unknown stroma"
"D11_B000861","D11_B000861","unknown stroma"
"D1_1001000327","D1_1001000327","unknown stroma"
"D4_B000863","D4_B000863","unknown stroma"
"D7_B000863","D7_B000863","unknown stroma"
"D9_B000863","D9_B000863","unknown stroma"
"E10_B000860","E10_B000860","unknown stroma"
"E2_B000862","E2_B000862","unknown stroma"
"E2_B000863","E2_B000863","unknown stroma"
"E4_B000860","E4_B000860","unknown stroma"
"E4_B000861","E4_B000861","unknown stroma"
"E7_B000863","E7_B000863","unknown stroma"
"E9_B000861","E9_B000861","unknown stroma"
"F11_B000861","F11_B000861","unknown stroma"
"F1_B000861","F1_B000861","unknown stroma"
"F21_B003070","F21_B003070","unknown stroma"
"F4_B000863","F4_B000863","unknown stroma"
"F5_B000862","F5_B000862","unknown stroma"
"G10_B000861","G10_B000861","unknown stroma"
"G11_B000860","G11_B000860","unknown stroma"
"G1_B000861","G1_B000861","unknown stroma"
"G1_B000862","G1_B000862","unknown stroma"
"G2_B000863","G2_B000863","unknown stroma"
"G3_B000862","G3_B000862","unknown stroma"
"G7_B000860","G7_B000860","unknown stroma"
"H10_B000862","H10_B000862","unknown stroma"
"H10_B000863","H10_B000863","unknown stroma"
"H1_B000860","H1_B000860","unknown stroma"
"H3_B000861","H3_B000861","unknown stroma"
"H9_B000861","H9_B000861","unknown stroma"
"I10_B000860","I10_B000860","unknown stroma"
"I4_B000861","I4_B000861","unknown stroma"
"I4_B000863","I4_B000863","unknown stroma"
"I5_B000861","I5_B000861","unknown stroma"
"I7_B000862","I7_B000862","unknown stroma"
"I9_B000860","I9_B000860","unknown stroma"
"J11_B000862","J11_B000862","unknown stroma"
"J2_B000862","J2_B000862","unknown stroma"
"J2_B000863","J2_B000863","unknown stroma"
"J3_B000862","J3_B000862","unknown stroma"
"J4_B000862","J4_B000862","unknown stroma"
"K1_B000863","K1_B000863","unknown stroma"
"K6_B000862","K6_B000862","unknown stroma"
"K6_B000863","K6_B000863","unknown stroma"
"K7_B000863","K7_B000863","unknown stroma"
"L1_B000863","L1_B000863","unknown stroma"
"L3_B000863","L3_B000863","unknown stroma"
"L6_B000861","L6_B000861","unknown stroma"
"L6_B000862","L6_B000862","unknown stroma"
"L6_B000863","L6_B000863","unknown stroma"
"M1_B000862","M1_B000862","unknown stroma"
"M3_B000862","M3_B000862","unknown stroma"
"M5_B000863","M5_B000863","unknown stroma"
"M7_B000863","M7_B000863","unknown stroma"
"M8_B000861","M8_B000861","unknown stroma"
"N10_B000863","N10_B000863","unknown stroma"
"N2_B000863","N2_B000863","unknown stroma"
"N3_B000861","N3_B000861","unknown stroma"
"N4_B000861","N4_B000861","unknown stroma"
"N4_B000863","N4_B000863","unknown stroma"
"N7_B000862","N7_B000862","unknown stroma"
"N9_B000862","N9_B000862","unknown stroma"
"O3_B000862","O3_B000862","unknown stroma"
"O4_B000863","O4_B000863","unknown stroma"
"O6_B000863","O6_B000863","unknown stroma"
"O8_B000861","O8_B000861","unknown stroma"
"O9_B000863","O9_B000863","unknown stroma"
"P10_B000863","P10_B000863","unknown stroma"
"P21_B000862","P21_B000862","unknown stroma"
"P3_B000862","P3_B000862","unknown stroma"
"P3_B000863","P3_B000863","unknown stroma"
"P5_B000863","P5_B000863","unknown stroma"
"P6_B000861","P6_B000861","unknown stroma"
"P9_B000862","P9_B000862","unknown stroma"
"H6_B000860","H6_B000860","unknown stroma"
"G2_B000861","G2_B000861","unknown stroma"
"A12_B003103","A12_B003103","unknown stroma"
"A15_B003930","A15_B003930","unknown stroma"
"A20_B003105","A20_B003105","unknown stroma"
"B15_B003103","B15_B003103","unknown stroma"
"B4_1001000317","B4_1001000317","unknown stroma"
"B5_1001000327","B5_1001000327","unknown stroma"
"C12_B003930","C12_B003930","unknown stroma"
"C15_B003105","C15_B003105","unknown stroma"
"C16_B003105","C16_B003105","unknown stroma"
"C16_B003930","C16_B003930","unknown stroma"
"C18_B003930","C18_B003930","unknown stroma"
"C21_B003105","C21_B003105","unknown stroma"
"D17_B003103","D17_B003103","unknown stroma"
"E12_B003103","E12_B003103","unknown stroma"
"E13_B003105","E13_B003105","unknown stroma"
"E14_B003105","E14_B003105","unknown stroma"
"E19_B003105","E19_B003105","unknown stroma"
"E20_B003930","E20_B003930","unknown stroma"
"F19_B003103","F19_B003103","unknown stroma"
"G17_B003105","G17_B003105","unknown stroma"
"G19_B003930","G19_B003930","unknown stroma"
"H12_B003103","H12_B003103","unknown stroma"
"I12_B003105","I12_B003105","unknown stroma"
"I14_B003103","I14_B003103","unknown stroma"
"I21_B003103","I21_B003103","unknown stroma"
"I21_B003930","I21_B003930","unknown stroma"
"I22_B003930","I22_B003930","unknown stroma"
"J12_B003930","J12_B003930","unknown stroma"
"J14_B003930","J14_B003930","unknown stroma"
"J19_B003105","J19_B003105","unknown stroma"
"K17_B003930","K17_B003930","unknown stroma"
"K20_B003105","K20_B003105","unknown stroma"
"K20_B003930","K20_B003930","unknown stroma"
"L15_B003103","L15_B003103","unknown stroma"
"L16_B003103","L16_B003103","unknown stroma"
"L18_B003105","L18_B003105","unknown stroma"
"M12_B003103","M12_B003103","unknown stroma"
"N16_B003105","N16_B003105","unknown stroma"
"P13_B003930","P13_B003930","unknown stroma"
"P15_B003105","P15_B003105","unknown stroma"
"I16_B003103","I16_B003103","unknown stroma"
"A19_B003112","A19_B003112","unknown stroma"
"O7_B001545","O7_B001545","unknown stroma"
"A1_B003115","A1_B003115","unknown stroma"
"A7_1001000412","A7_1001000412","unknown stroma"
"B10_B003523","B10_B003523","unknown stroma"
"B22_B000422","B22_B000422","unknown stroma"
"B6_B001548","B6_B001548","unknown stroma"
"B7_B001543","B7_B001543","club cell"
"B9_B003523","B9_B003523","unknown stroma"
"C10_B000863","C10_B000863","unknown stroma"
"C10_B003523","C10_B003523","unknown stroma"
"C17_B000420","C17_B000420","unknown stroma"
"C1_B003577","C1_B003577","unknown stroma"
"C21_B002079","C21_B002079","unknown stroma"
"C4_B003115","C4_B003115","unknown stroma"
"C5_B003648","C5_B003648","unknown stroma"
"C6_B001548","C6_B001548","unknown stroma"
"C7_B001556","C7_B001556","unknown stroma"
"C8_B001548","C8_B001548","unknown stroma"
"D13_B001557","D13_B001557","unknown stroma"
"D19_B002079","D19_B002079","unknown stroma"
"D5_B003648","D5_B003648","unknown stroma"
"E16_B002078","E16_B002078","unknown stroma"
"E17_B000422","E17_B000422","unknown stroma"
"E20_B000422","E20_B000422","unknown stroma"
"E21_B002079","E21_B002079","unknown stroma"
"E22_B002077","E22_B002077","unknown stroma"
"E5_B001470","E5_B001470","unknown stroma"
"E6_B001543","E6_B001543","unknown stroma"
"F10_B003115","F10_B003115","unknown stroma"
"F13_B001010","F13_B001010","unknown stroma"
"F14_B000422","F14_B000422","unknown stroma"
"F19_B002079","F19_B002079","unknown stroma"
"F21_B002078","F21_B002078","unknown stroma"
"F2_B001464","F2_B001464","unknown stroma"
"G17_B002078","G17_B002078","unknown stroma"
"G17_B002079","G17_B002079","unknown stroma"
"G7_B001557","G7_B001557","unknown stroma"
"H17_B000420","H17_B000420","unknown stroma"
"H18_B003071","H18_B003071","unknown stroma"
"H19_B002079","H19_B002079","unknown stroma"
"H7_B001545","H7_B001545","unknown stroma"
"I11_B003523","I11_B003523","unknown stroma"
"I14_B002078","I14_B002078","unknown stroma"
"I6_B001545","I6_B001545","unknown stroma"
"I8_B001548","I8_B001548","unknown stroma"
"I9_B003523","I9_B003523","unknown stroma"
"J21_B003112","J21_B003112","club cell"
"J8_B003528","J8_B003528","unknown stroma"
"K11_B003663","K11_B003663","unknown stroma"
"K5_1001000411","K5_1001000411","unknown stroma"
"K7_B001545","K7_B001545","unknown stroma"
"K8_B001559","K8_B001559","unknown stroma"
"L14_1001000412","L14_1001000412","unknown stroma"
"L20_B002077","L20_B002077","unknown stroma"
"L20_B002078","L20_B002078","unknown stroma"
"M2_B001557","M2_B001557","unknown stroma"
"M7_B003523","M7_B003523","unknown stroma"
"N15_B000420","N15_B000420","unknown stroma"
"N9_B001543","N9_B001543","unknown stroma"
"P10_B001545","P10_B001545","unknown stroma"
"P11_B001548","P11_B001548","unknown stroma"
"P15_B003771","P15_B003771","unknown stroma"
"P22_B002079","P22_B002079","unknown stroma"
"P6_B001543","P6_B001543","club cell"
"P8_B001545","P8_B001545","unknown stroma"
"D7_B001551","D7_B001551","unknown stroma"
"F3_1001000295","F3_1001000295","unknown stroma"
"G12_1001000292","G12_1001000292","unknown stroma"
"H8_B003529","H8_B003529","unknown stroma"
"M13_1001000412","M13_1001000412","unknown stroma"
"D10_B003995","D10_B003995","unknown stroma"
"D17_B002079","D17_B002079","unknown stroma"
"D7_B001548","D7_B001548","club cell"
"H20_B000420","H20_B000420","club cell"
"H8_B003523","H8_B003523","club cell"
"I5_B001548","I5_B001548","club cell"
"J1_B002078","J1_B002078","club cell"
"N5_B001545","N5_B001545","club cell"
"E9_B003528","E9_B003528","alveolar type 2 cell"
"M10_B003522","M10_B003522","unknown stroma"
"A19_B003116","A19_B003116","club cell"
"A9_B001545","A9_B001545","club cell"
"E15_B003120","E15_B003120","club cell"
"K22_B001010","K22_B001010","unknown stroma"
"M15_B000420","M15_B000420","club cell"
"O13_B003120","O13_B003120","unknown stroma"
"A10_B001545","A10_B001545","club cell"
"A13_B003120","A13_B003120","club cell"
"A16_B003112","A16_B003112","club cell"
"A17_B003120","A17_B003120","club cell"
"A19_B002077","A19_B002077","club cell"
"A20_B003116","A20_B003116","club cell"
"A2_B003129","A2_B003129","club cell"
"B12_B003116","B12_B003116","club cell"
"B13_B003112","B13_B003112","club cell"
"B15_B002077","B15_B002077","club cell"
"B16_B002079","B16_B002079","club cell"
"B17_B000422","B17_B000422","club cell"
"B18_B000422","B18_B000422","club cell"
"B3_B001543","B3_B001543","club cell"
"C14_B003116","C14_B003116","club cell"
"C15_B003112","C15_B003112","club cell"
"C17_B003112","C17_B003112","club cell"
"C7_B001548","C7_B001548","club cell"
"C7_B003119","C7_B003119","club cell"
"C9_B001470","C9_B001470","club cell"
"C9_B001545","C9_B001545","club cell"
"C9_B003119","C9_B003119","club cell"
"D12_B003116","D12_B003116","club cell"
"D17_B003120","D17_B003120","club cell"
"D21_B002077","D21_B002077","club cell"
"D21_B003120","D21_B003120","club cell"
"D3_B003191","D3_B003191","club cell"
"D9_B001545","D9_B001545","club cell"
"E10_B003119","E10_B003119","club cell"
"E11_B003523","E11_B003523","club cell"
"E12_B003120","E12_B003120","club cell"
"E16_B003116","E16_B003116","club cell"
"E19_B000420","E19_B000420","club cell"
"E4_B003132","E4_B003132","club cell"
"F13_B000420","F13_B000420","club cell"
"F13_B003112","F13_B003112","club cell"
"F18_B003116","F18_B003116","club cell"
"F22_B003112","F22_B003112","club cell"
"F5_B001548","F5_B001548","club cell"
"F5_B003191","F5_B003191","club cell"
"F7_B003132","F7_B003132","club cell"
"G11_B002078","G11_B002078","club cell"
"G14_B003116","G14_B003116","club cell"
"G16_B000422","G16_B000422","club cell"
"G19_B003116","G19_B003116","club cell"
"G21_B003112","G21_B003112","club cell"
"G22_B003116","G22_B003116","club cell"
"G22_B003120","G22_B003120","club cell"
"G7_B003119","G7_B003119","club cell"
"G9_B003119","G9_B003119","club cell"
"H12_B003116","H12_B003116","club cell"
"H14_B000420","H14_B000420","club cell"
"H14_B003112","H14_B003112","club cell"
"H16_B003132","H16_B003132","club cell"
"H17_B000422","H17_B000422","club cell"
"H17_B003112","H17_B003112","club cell"
"H17_B003120","H17_B003120","club cell"
"H18_B003116","H18_B003116","club cell"
"H19_B003116","H19_B003116","club cell"
"H20_B003112","H20_B003112","club cell"
"H20_B003120","H20_B003120","club cell"
"H21_B000420","H21_B000420","club cell"
"H3_B001545","H3_B001545","club cell"
"H3_B003187","H3_B003187","club cell"
"H7_B003119","H7_B003119","club cell"
"I11_B001545","I11_B001545","club cell"
"I13_B003112","I13_B003112","club cell"
"I14_B003120","I14_B003120","club cell"
"I15_B003112","I15_B003112","club cell"
"I1_B001543","I1_B001543","club cell"
"I4_B003129","I4_B003129","club cell"
"I4_B003187","I4_B003187","club cell"
"I8_B001543","I8_B001543","club cell"
"I8_B003119","I8_B003119","club cell"
"J12_B003116","J12_B003116","club cell"
"J15_B003776","J15_B003776","club cell"
"J16_B000420","J16_B000420","club cell"
"J17_B003776","J17_B003776","club cell"
"J20_B000422","J20_B000422","club cell"
"J21_B003120","J21_B003120","club cell"
"J22_B003116","J22_B003116","club cell"
"J8_B003126","J8_B003126","club cell"
"K14_B003920","K14_B003920","club cell"
"K15_B002077","K15_B002077","club cell"
"K15_B002078","K15_B002078","club cell"
"K17_B000422","K17_B000422","club cell"
"K18_B003112","K18_B003112","club cell"
"K22_B003112","K22_B003112","club cell"
"K9_B001545","K9_B001545","club cell"
"L14_B003112","L14_B003112","club cell"
"L15_B003120","L15_B003120","club cell"
"L16_B002079","L16_B002079","club cell"
"L16_B003112","L16_B003112","club cell"
"L17_B000422","L17_B000422","club cell"
"L17_B003120","L17_B003120","club cell"
"L18_B003120","L18_B003120","club cell"
"L20_B003120","L20_B003120","club cell"
"L21_B003116","L21_B003116","club cell"
"L21_B003120","L21_B003120","club cell"
"L5_B003112","L5_B003112","club cell"
"L6_B001545","L6_B001545","club cell"
"L6_B001548","L6_B001548","club cell"
"L8_B001543","L8_B001543","club cell"
"M14_B003112","M14_B003112","club cell"
"M16_B003120","M16_B003120","club cell"
"M17_B003120","M17_B003120","club cell"
"M18_B000420","M18_B000420","club cell"
"M18_B003116","M18_B003116","club cell"
"M19_B000420","M19_B000420","club cell"
"M19_B003775","M19_B003775","club cell"
"M20_B003112","M20_B003112","club cell"
"M21_B003120","M21_B003120","club cell"
"M22_B003116","M22_B003116","club cell"
"M2_B003126","M2_B003126","club cell"
"M4_B003126","M4_B003126","club cell"
"M7_B001548","M7_B001548","club cell"
"M8_B001543","M8_B001543","club cell"
"N12_B003119","N12_B003119","club cell"
"N13_B000422","N13_B000422","club cell"
"N16_B002077","N16_B002077","club cell"
"N18_B003112","N18_B003112","club cell"
"N20_B000422","N20_B000422","club cell"
"N21_B003120","N21_B003120","club cell"
"N22_B002079","N22_B002079","club cell"
"O13_B002079","O13_B002079","club cell"
"O13_B003112","O13_B003112","club cell"
"O14_B002077","O14_B002077","club cell"
"O16_B003112","O16_B003112","club cell"
"O17_B002079","O17_B002079","club cell"
"O19_B003112","O19_B003112","club cell"
"O19_B003116","O19_B003116","club cell"
"O20_B003894","O20_B003894","club cell"
"O21_B003116","O21_B003116","club cell"
"O21_B003120","O21_B003120","club cell"
"O3_B001548","O3_B001548","club cell"
"O8_B001548","O8_B001548","club cell"
"O8_B003187","O8_B003187","club cell"
"O9_B001545","O9_B001545","club cell"
"P14_B003116","P14_B003116","club cell"
"P1_B001543","P1_B001543","club cell"
"P3_B003187","P3_B003187","club cell"
"P6_B003191","P6_B003191","club cell"
"P7_B001543","P7_B001543","club cell"
"F11_B001548","F11_B001548","club cell"
"E16_B000420","E16_B000420","club cell"
"A9_B001543","A9_B001543","club cell"
"I13_B002077","I13_B002077","club cell"
"I14_B000420","I14_B000420","club cell"
"I13_B003116","I13_B003116","club cell"
"N20_B003116","N20_B003116","club cell"
"B18_B003775","B18_B003775","unknown stroma"
"D19_B003775","D19_B003775","unknown stroma"
"F21_B003775","F21_B003775","unknown stroma"
"G22_B003776","G22_B003776","unknown stroma"
"I18_B003775","I18_B003775","unknown stroma"
"M15_B003775","M15_B003775","unknown stroma"
"M17_B003776","M17_B003776","unknown stroma"
"P15_B003777","P15_B003777","unknown stroma"
"F20_B003777","F20_B003777","unknown stroma"
"K19_B003775","K19_B003775","unknown stroma"
"N6_B003659","N6_B003659","unknown stroma"
"B2_B003129","B2_B003129","club cell"
"D21_B000575","D21_B000575","unknown stroma"
"I10_B003656","I10_B003656","unknown stroma"
"I12_B003656","I12_B003656","unknown stroma"
"I13_B003079","I13_B003079","unknown stroma"
"I13_B003656","I13_B003656","unknown stroma"
"I15_B003656","I15_B003656","unknown stroma"
"I16_B003656","I16_B003656","unknown stroma"
"I17_B003656","I17_B003656","unknown stroma"
"I18_B003656","I18_B003656","unknown stroma"
"I19_B003656","I19_B003656","unknown stroma"
"I1_B003656","I1_B003656","unknown stroma"
"I20_B003656","I20_B003656","unknown stroma"
"I22_B003656","I22_B003656","unknown stroma"
"I2_B003656","I2_B003656","unknown stroma"
"I3_B003656","I3_B003656","unknown stroma"
"I4_B003656","I4_B003656","unknown stroma"
"I5_B003656","I5_B003656","unknown stroma"
"I6_B003656","I6_B003656","unknown stroma"
"I7_B003079","I7_B003079","unknown stroma"
"I7_B003656","I7_B003656","unknown stroma"
"I8_B003656","I8_B003656","unknown stroma"
"I9_B003656","I9_B003656","unknown stroma"
"J11_B003656","J11_B003656","unknown stroma"
"J12_B003656","J12_B003656","unknown stroma"
"J13_B003656","J13_B003656","unknown stroma"
"J14_B003656","J14_B003656","unknown stroma"
"J15_B003656","J15_B003656","unknown stroma"
"J16_B003656","J16_B003656","unknown stroma"
"J17_B003656","J17_B003656","unknown stroma"
"J18_B003656","J18_B003656","unknown stroma"
"J19_B003656","J19_B003656","unknown stroma"
"J1_B003656","J1_B003656","unknown stroma"
"J20_B003656","J20_B003656","unknown stroma"
"J21_B003656","J21_B003656","unknown stroma"
"J22_B003656","J22_B003656","unknown stroma"
"J2_B003656","J2_B003656","unknown stroma"
"J3_B003656","J3_B003656","unknown stroma"
"J4_B003656","J4_B003656","unknown stroma"
"J5_B003656","J5_B003656","unknown stroma"
"J6_B003117","J6_B003117","unknown stroma"
"J6_B003656","J6_B003656","unknown stroma"
"J8_B003656","J8_B003656","unknown stroma"
"P20_B000573","P20_B000573","unknown stroma"
"F17_B001010","F17_B001010","unknown stroma"
"B13_B003588","B13_B003588","unknown stroma"
"O15_B003529","O15_B003529","unknown stroma"
"J16_B003588","J16_B003588","unknown stroma"
"J20_B003588","J20_B003588","unknown stroma"
"B11_B003588","B11_B003588","unknown stroma"
"C17_B003522","C17_B003522","unknown stroma"
"D11_B003518","D11_B003518","unknown stroma"
"G17_B003588","G17_B003588","unknown stroma"
"H22_B003588","H22_B003588","unknown stroma"
"I15_B003588","I15_B003588","unknown stroma"
"I20_B003588","I20_B003588","unknown stroma"
"K21_B003588","K21_B003588","unknown stroma"
"K22_B003588","K22_B003588","unknown stroma"
"A14_B003588","A14_B003588","unknown stroma"
"A18_B003522","A18_B003522","unknown stroma"
"B16_B003588","B16_B003588","unknown stroma"
"B21_B003588","B21_B003588","unknown stroma"
"C15_B003518","C15_B003518","unknown stroma"
"C15_B003588","C15_B003588","unknown stroma"
"C18_B003529","C18_B003529","unknown stroma"
"C21_B003529","C21_B003529","unknown stroma"
"C9_B003529","C9_B003529","unknown stroma"
"D10_B003588","D10_B003588","unknown stroma"
"D11_B003588","D11_B003588","unknown stroma"
"D12_B003588","D12_B003588","unknown stroma"
"D16_B003529","D16_B003529","unknown stroma"
"D18_B003529","D18_B003529","unknown stroma"
"D22_B003529","D22_B003529","unknown stroma"
"D9_B003588","D9_B003588","unknown stroma"
"E10_B003522","E10_B003522","unknown stroma"
"E10_B003529","E10_B003529","unknown stroma"
"E11_B003529","E11_B003529","unknown stroma"
"E11_B003588","E11_B003588","unknown stroma"
"E16_B003529","E16_B003529","unknown stroma"
"E16_B003588","E16_B003588","unknown stroma"
"E17_B003529","E17_B003529","unknown stroma"
"E5_B003527","E5_B003527","unknown stroma"
"F10_B003522","F10_B003522","unknown stroma"
"F12_B003588","F12_B003588","unknown stroma"
"F13_B003529","F13_B003529","unknown stroma"
"F13_B003588","F13_B003588","unknown stroma"
"F14_B003518","F14_B003518","unknown stroma"
"F18_B003529","F18_B003529","unknown stroma"
"F18_B003588","F18_B003588","unknown stroma"
"F22_B003529","F22_B003529","unknown stroma"
"F22_B003588","F22_B003588","unknown stroma"
"F9_B003529","F9_B003529","unknown stroma"
"F9_B003588","F9_B003588","unknown stroma"
"G14_B003522","G14_B003522","unknown stroma"
"G14_B003529","G14_B003529","unknown stroma"
"H12_B003529","H12_B003529","unknown stroma"
"H14_B003522","H14_B003522","unknown stroma"
"H16_B003588","H16_B003588","unknown stroma"
"H20_B003588","H20_B003588","unknown stroma"
"H22_B003112","H22_B003112","unknown stroma"
"H9_B003588","H9_B003588","unknown stroma"
"I14_B003588","I14_B003588","unknown stroma"
"I15_B003522","I15_B003522","unknown stroma"
"I16_B003522","I16_B003522","unknown stroma"
"I20_B003522","I20_B003522","unknown stroma"
"I20_B003529","I20_B003529","unknown stroma"
"I9_B003522","I9_B003522","unknown stroma"
"I9_B003588","I9_B003588","unknown stroma"
"J11_B003522","J11_B003522","unknown stroma"
"J11_B003588","J11_B003588","unknown stroma"
"J13_B003529","J13_B003529","unknown stroma"
"J17_B003588","J17_B003588","unknown stroma"
"J21_B003522","J21_B003522","unknown stroma"
"J22_B003529","J22_B003529","unknown stroma"
"K14_B003588","K14_B003588","unknown stroma"
"K15_B003522","K15_B003522","unknown stroma"
"K16_B003588","K16_B003588","unknown stroma"
"K17_B003529","K17_B003529","unknown stroma"
"K18_B003529","K18_B003529","unknown stroma"
"K21_B003522","K21_B003522","unknown stroma"
"L13_B003588","L13_B003588","unknown stroma"
"L14_B003522","L14_B003522","unknown stroma"
"L14_B003588","L14_B003588","unknown stroma"
"L19_B003529","L19_B003529","unknown stroma"
"L22_B003522","L22_B003522","unknown stroma"
"L22_B003529","L22_B003529","unknown stroma"
"M10_B003529","M10_B003529","unknown stroma"
"M11_B003529","M11_B003529","unknown stroma"
"M12_B003588","M12_B003588","unknown stroma"
"M14_B003522","M14_B003522","unknown stroma"
"M15_B003522","M15_B003522","unknown stroma"
"M19_B003588","M19_B003588","unknown stroma"
"M21_B003522","M21_B003522","unknown stroma"
"M9_B003522","M9_B003522","unknown stroma"
"N12_B003588","N12_B003588","unknown stroma"
"N15_B003588","N15_B003588","unknown stroma"
"N21_B003522","N21_B003522","unknown stroma"
"N22_B003529","N22_B003529","unknown stroma"
"O10_B003522","O10_B003522","unknown stroma"
"O13_B003529","O13_B003529","unknown stroma"
"O16_B003522","O16_B003522","unknown stroma"
