"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"GNG4";6,12696263468818e-175;-0,374175017255026;0,019;0,435;1,62272605379716e-170
"EGR1";7,11477366673812e-175;1,03976032363693;0,904;0,525;1,88434780563559e-170
"GCNT3";1,54271858056747e-174;-0,950801652801671;0,094;0,562;4,08589016063293e-170
"TFPI2";5,62242227801857e-174;-0,990352982233082;0,093;0,681;1,48909854033322e-169
"CREG2";9,39035764298037e-174;-0,307432889447122;0,007;0,486;2,48703622174335e-169
"UCK2";1,68163053984059e-173;-0,476804083032609;0,082;0,665;4,45379848476781e-169
"TSKU";2,66440127408913e-171;-0,393901023090241;0,133;0,752;7,05666677442506e-167
"TRIM31";5,05661270899358e-171;-0,787010206747299;0,117;0,615;1,33924387597695e-166
"MUC13";7,04337133841793e-171;-0,839704514948367;0,07;0,491;1,86543689897999e-166
"FLRT3";1,14582607035857e-170;0,971831972764521;0,684;0,162;3,03472034734466e-166
"GJB3";1,43343071554173e-170;-0,796434828546117;0,061;0,656;3,79644125011228e-166
"CYP2B7P";7,6385369144192e-170;0,933767364742894;0,717;0,18;2,02306650178392e-165
"CLDN18";2,20430273839944e-169;2,18206179092968;0,43;0,014;5,83809580265092e-165
"BST1";2,80298305463743e-169;-0,459572656164174;0,03;0,442;7,42370062020724e-165
"MALAT1";4,40689897901275e-169;1,44006112165038;0,998;0,966;1,16716719459153e-164
"TPI1";1,07473833086188e-168;-0,879719279910334;0,951;0,992;2,84644446928769e-164
"ABRACL";1,30965840557022e-168;-0,428888185046515;0,24;0,818;3,46863028715273e-164
"GOLM1";1,4643631278156e-168;-1,48842378495374;0,458;0,843;3,87836574401963e-164
"CSTB";2,49475447366732e-168;-0,844063644914489;0,934;0,997;6,60735722350789e-164
"FXYD3";9,39002207716164e-167;-1,25644305756998;0,83;0,978;2,48694734713626e-162
"HTR3A";1,75641397444399e-166;-0,571922764795885;0,003;0,403;4,65186241131491e-162
"LINC01420";2,37329071468808e-166;-0,758380481853641;0,43;0,879;6,28566045785139e-162
"GPX1";4,10393881457437e-165;-0,836966547142848;0,825;0,982;1,08692819504002e-160
"AQP5";9,0108273907207e-165;0,394317033598709;0,591;0,062;2,38651763443238e-160
"IRX2";9,29414368416052e-165;0,947352769756182;0,741;0,327;2,46155395474991e-160
"VMO1";1,01114805674974e-164;-0,952641578761839;0,075;0,44;2,67802562830169e-160
"LAD1";1,04827502554398e-164;-0,847144273587752;0,32;0,865;2,77635640515324e-160
"C1orf116";1,23596638663815e-164;1,15436632071294;0,92;0,753;3,27345697501115e-160
"VDAC2";2,52503712516241e-164;-0,793194151006129;0,729;0,96;6,68756082599264e-160
"BCAS1";2,73270652671111e-164;-0,757792712008412;0,077;0,509;7,23757323599436e-160
