"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts"
"UCK2",5.20991635260736e-86,-0.428237776068777,0.13,0.665,1.37984634598806e-81,0.407142857142857,10,0.642908054169636,10
"ALCAM",5.37398660851759e-86,0.545282543814084,0.834,0.636,1.42330035326588e-81,0.339664804469274,12,0.566741237882177,10
"SOX11",5.66031441664387e-86,0.611682268088407,0.306,0.009,1.49913427324813e-81,0.935975609756098,7,0.631578947368421,5
"C16orf54",5.75745570776537e-86,0.382674106330518,0.253,0.016,1.52486214420166e-81,0.75,8,0.424242424242424,7
"PLAUR",6.48156216545871e-86,-0.582285832362518,0.429,0.85,1.71664173952174e-81,0.434782608695652,10,0.505856107083101,9
"RIBC1",7.76214064453787e-86,0.606340372387176,0.297,0.046,2.05580294970585e-81,0.808777429467085,7,0.505154639175258,7
"RNF7",1.37841272707236e-85,-0.352306016848094,0.675,0.933,3.65072610765115e-81,0.352209944751381,13,0.484494153533299,10
"SIX1",1.45039846115142e-85,0.881835634217952,0.635,0.352,3.84138032435954e-81,0.443465491923642,12,0.400269541778976,10
"MAP3K19",1.93144442121225e-85,0.252565245746192,0.23,0.012,5.11543054958063e-81,0.931174089068826,7,0.44,7
"TNFAIP8L1",2.55234735193184e-85,0.799766603507972,0.377,0.092,6.75989196159149e-81,0.758024691358025,10,0.441025641025641,10
"BAG3",2.7950552425725e-85,-0.503359847007899,0.684,0.874,7.40270380995327e-81,0.305177111716621,11,0.456073752711497,10
"CFAP36",2.97143114287196e-85,0.574420051899538,0.651,0.537,7.86983538189639e-81,0.431232091690544,11,0.593115622241836,11
"HCLS1",4.64364344982889e-85,-0.28650024404761,0.162,0.294,1.22986896768718e-80,0.666666666666667,9,0.898387096774194,7
"CYP2E1",6.98752388447371e-85,-0.276144327179486,0.003,0.417,1.85064570080286e-80,0.333333333333333,3,0.827272727272727,4
"HSPD1",7.48344967952324e-85,-0.445104452665976,0.904,0.984,1.98199164762173e-80,0.320618556701031,12,0.459277108433735,11
"CCDC37",8.19732739396497e-85,0.25609193741051,0.264,0.022,2.17106216029162e-80,0.908127208480565,7,0.434782608695652,5
"MXRA5",1.29585274045266e-84,-1.12291015464479,0.024,0.505,3.43206598308887e-80,0.538461538461538,5,0.889201877934272,5
"MDH2",1.35121810085922e-84,-0.722877316461957,0.807,0.964,3.57870114012564e-80,0.331408775981524,13,0.470241023118544,11
"KTN1",1.37779721895715e-84,0.372343907011766,0.801,0.964,3.64909593440802e-80,0.39580908032596,12,0.469257255287752,10
"SAXO2",1.45987148765693e-84,0.440868877185736,0.307,0.065,3.86646963505938e-80,0.911854103343465,7,0.760869565217391,7
"TMEM107",1.69977178136215e-84,0.535964179899541,0.444,0.412,4.50184556293764e-80,0.634453781512605,12,0.661290322580645,10
"GRN",1.9418779872709e-84,-0.576728663079238,0.726,0.961,5.14306384928698e-80,0.423620025673941,13,0.472359328726555,11
"MUC4",2.0923148000724e-84,0.270846897145769,0.662,0.835,5.54149574799176e-80,0.450704225352113,11,0.539772727272727,10
"RGCC",2.74266006239309e-84,0.685590046320972,0.525,0.221,7.26393517524809e-80,0.490230905861456,12,0.549356223175966,9
"DNAH2",3.15192731244359e-84,0.475086522704285,0.502,0.149,8.34787948700686e-80,0.4860853432282,9,0.480891719745223,8
"PLEKHB1",3.57227652641681e-84,0.715582518527707,0.405,0.138,9.46117438021492e-80,0.648275862068965,11,0.482876712328767,10
"APBB1",4.13348217214883e-84,0.275484714991048,0.37,0.038,1.09475275329362e-79,0.521410579345088,9,0.5125,8
"IL20RB",1.13209831445599e-83,-0.364547339037401,0.08,0.32,2.9983623858367e-79,0.720930232558139,7,0.556379821958457,8
"LOC100506990",1.33894491313706e-83,0.482753173501366,0.419,0.122,3.54619560244349e-79,0.68,9,0.461240310077519,10
"LRRC74B",1.4829307333198e-83,0.299109338799644,0.254,0.019,3.92754204719748e-79,0.882783882783883,7,0.317073170731707,6
"CDC42EP1",1.48538281279527e-83,0.487683436566418,0.579,0.776,3.93403637968828e-79,0.497584541062802,10,0.571166768478925,9
"PSMA6",1.8799290039458e-83,-0.45110678213292,0.818,0.967,4.97899196695044e-79,0.329157175398633,13,0.468366846493379,11
"ITGA6",2.26208176378433e-83,-0.278916298679808,0.245,0.587,5.9911235513828e-79,0.315589353612167,12,0.445432497978981,8
"ETFA",3.09641003068856e-83,-0.437999594388793,0.588,0.92,8.20084196627865e-79,0.316957210776545,11,0.488144329896907,11
"SET",3.99589581586659e-83,-0.440483144147807,0.938,0.997,1.05831300683227e-78,0.325049701789264,13,0.455539705183072,11
"RAB18",4.55386277983839e-83,-0.400286383086062,0.498,0.868,1.2060905572402e-78,0.323970037453184,13,0.518842162752594,10
"DGKA",5.64580204355631e-83,-0.335337215195873,0.098,0.578,1.49529067123589e-78,0.561904761904762,9,0.658736669401149,8
"LIMA1",7.0010666695025e-83,-0.507541125540543,0.582,0.9,1.85423250741774e-78,0.3152,12,0.501580611169652,10
"C1orf110",8.53511912361945e-83,0.466055215487729,0.253,0.018,2.26052629989061e-78,0.959409594095941,6,0.837837837837838,4
"GSTA1",1.18265101936003e-82,1.25203206127778,0.334,0.05,3.13225122477504e-78,0.762569832402235,8,0.716981132075472,8
"C10orf54",1.59724964476934e-82,-0.311599050713949,0.223,0.703,4.23031568417159e-78,0.564853556485356,11,0.559379217273954,9
"TPI1",1.81424040326586e-82,-0.458786129664767,0.96,0.992,4.80501570804964e-78,0.346601941747573,13,0.457716196846632,11
"GRIN3B",2.9103201456136e-82,0.278513362112496,0.24,0.02,7.70798290565761e-78,0.90272373540856,6,0.604651162790698,7
"CHAD",4.95085266349135e-82,0.519703267438934,0.228,0.001,1.31123332792568e-77,0.971428571428571,4,0.5,2
"RSPH14",6.70818462154848e-82,0.760300274300854,0.267,0.046,1.77666269701711e-77,0.933797909407665,5,0.704081632653061,4
"MRPL15",6.84930289228384e-82,-0.506645728079233,0.358,0.828,1.81403787102138e-77,0.34375,10,0.531500572737686,11
"MSH3",9.26211457339566e-82,0.415981453815933,0.53,0.521,2.45307104476384e-77,0.51493848857645,11,0.673339399454049,10
"TSPAN1",9.6040330903158e-82,0.900300318904583,0.86,0.848,2.54362816397014e-77,0.347778981581798,11,0.533557046979866,10
"C15orf26",1.26115566986846e-81,0.321897170803063,0.214,0.011,3.34017079164662e-77,0.956521739130435,5,0.375,5
"TRIM16L",1.29731603210058e-81,-0.345900970083432,0.298,0.724,3.43594151101838e-77,0.38125,10,0.58519003931848,9
"HYDIN",1.93386305346717e-81,0.575816088498249,0.316,0.097,5.1218362971078e-77,0.899705014749263,8,0.765853658536585,8
"MORN3",2.04286058717894e-81,0.465089262195229,0.241,0.023,5.41051626514341e-77,0.918918918918919,10,0.291666666666667,6
"RRBP1",4.98563265897377e-81,0.527112404408452,0.853,0.833,1.3204448097292e-76,0.321311475409836,12,0.523348519362187,10
"PALMD",5.40979104460236e-81,0.316161356729787,0.291,0.019,1.43278315816293e-76,0.740384615384615,11,0.51219512195122,6
"RASD1",7.02401885950618e-81,0.765823383483584,0.553,0.124,1.86031139494021e-76,0.499156829679595,11,0.333333333333333,9
"DNAH5",8.70722683637543e-81,0.599197128364929,0.523,0.381,2.30610902761403e-76,0.545454545454545,11,0.73134328358209,9
"TPD52",1.27899835822585e-80,-0.359585285989808,0.375,0.835,3.38742715176116e-76,0.40547263681592,9,0.539727582292849,10
"TCTN1",1.29812462409518e-80,0.682151329063342,0.495,0.351,3.43808306691607e-76,0.576271186440678,11,0.531081081081081,11
"HTATIP2",1.53371766140241e-80,-0.958387522506561,0.508,0.888,4.06205122622428e-76,0.335779816513761,12,0.510683760683761,11
"ABCA5",1.59175573938351e-80,0.561170888758041,0.465,0.226,4.21576507575723e-76,0.583166332665331,12,0.409663865546218,10
"C21orf58",2.04570189306736e-80,0.647460237768876,0.408,0.177,5.41804146378889e-76,0.703196347031963,10,0.407506702412869,9
"MRPS15",2.551443112146e-80,-0.274008780354986,0.604,0.912,6.75749708251869e-76,0.354938271604938,13,0.49609984399376,11
"ALS2CR12",2.62430731843563e-80,0.327540843347838,0.216,0.01,6.95047793287677e-76,0.90948275862069,8,0.590909090909091,4
"EIF6",2.80416730109963e-80,-0.456770117849663,0.77,0.961,7.42683709696237e-76,0.312348668280872,13,0.469166255550074,11
"KCNK6",2.99463639256103e-80,-0.41138643628816,0.163,0.646,7.93129448569789e-76,0.508571428571429,10,0.647835656639765,9
"UCKL1-AS1",3.52795588686421e-80,0.577643868639569,0.325,0.083,9.34379116635985e-76,0.770773638968481,9,0.565714285714286,9
"USP2",4.27326680311841e-80,0.484915113766612,0.347,0.134,1.13177471280591e-75,0.766129032258065,12,0.385159010600707,10
"CCDC74A",4.63005223886669e-80,0.702542837168858,0.33,0.124,1.22626933546384e-75,0.855932203389831,9,0.57088122605364,8
"SECTM1",5.7787801298369e-80,-0.569078779233832,0.202,0.723,1.5305099173873e-75,0.502304147465438,11,0.622950819672131,7
"TUBB6",8.35572586613897e-80,-0.570375554191066,0.125,0.654,2.21301399564691e-75,0.425373134328358,9,0.656521739130435,8
"LCA5",8.96474818434557e-80,0.410697106980115,0.437,0.107,2.37431355662392e-75,0.55863539445629,10,0.424778761061947,10
"C4orf47",9.53832089539687e-80,0.383955747540924,0.314,0.062,2.52622428914586e-75,0.759643916913947,10,0.523076923076923,8
"ALDH1L1",1.01229551838021e-79,0.308402194350866,0.255,0.414,2.68106468042997e-75,0.894160583941606,8,0.879725085910653,9
"PIH1D2",1.37681352482921e-79,0.482866861669891,0.322,0.089,3.64649062051017e-75,0.817919075144509,9,0.459893048128342,8
"SPATS1",1.70162519077316e-79,0.364840322387953,0.202,0.006,4.50675431776272e-75,0.940092165898618,5,0.615384615384615,3
"SAT1",1.7855010088921e-79,0.351040694799155,0.984,0.988,4.72889942205074e-75,0.341856060606061,12,0.459913586173788,11
"HIPK1",2.0193972485407e-79,0.437431848203818,0.616,0.415,5.34837361276005e-75,0.450832072617247,12,0.577625570776256,10
"NME1",2.69810713260002e-79,-0.296374764969712,0.628,0.88,7.14593674069115e-75,0.329376854599407,12,0.463362068965517,10
"GIPR",6.44865284001613e-79,0.916155462419528,0.356,0.076,1.70792570467827e-74,0.727748691099476,8,0.35,9
"CREG2",1.00243118178035e-78,-0.297097537654811,0.017,0.486,2.65493898494525e-74,0.555555555555556,4,0.841796875,6
"TNC",1.20547547723849e-78,1.38056181816527,0.54,0.128,3.19270180146614e-74,0.552677029360967,10,0.296296296296296,8
"CCDC89",1.48685180523178e-78,0.371896109571534,0.231,0.02,3.93792700615638e-74,0.935483870967742,5,0.380952380952381,7
"FAM177A1",1.56118644318637e-78,0.386513393070142,0.847,0.878,4.13480229477909e-74,0.324532453245325,12,0.511879049676026,10
"CCDC151",1.61061447184541e-78,0.33472635668989,0.225,0.012,4.26571242868256e-74,0.929460580912863,6,0.269230769230769,6
"GNAI1",2.5033924223212e-78,-0.540527704017067,0.166,0.656,6.63023483051771e-74,0.471910112359551,11,0.658236994219653,10
"CRNDE",2.52973728996273e-78,0.460496725389883,0.695,0.523,6.70000921246629e-74,0.414209115281501,12,0.362976406533575,10
"INPP1",3.33650047354771e-78,-0.276705232203664,0.299,0.548,8.8367215041911e-74,0.429906542056075,11,0.463203463203463,9
"GPX2",3.40646119616746e-78,-0.704820576693232,0.294,0.4,9.02201247804952e-74,0.701587301587302,6,0.715302491103203,9
"NACA",3.94213117467316e-78,-0.344689550016458,0.915,0.988,1.04407344161219e-73,0.329938900203666,13,0.459213051823416,11
"CNGA4",4.30505339733719e-78,0.264172145155168,0.197,0.006,1.14019339228475e-73,0.95260663507109,5,0.615384615384615,3
"VWA3B",5.05489311645045e-78,0.433193788035286,0.279,0.055,1.3387884418919e-73,0.933110367892977,6,0.704347826086957,4
"WDR78",6.25501304065576e-78,0.427855273698281,0.321,0.196,1.65664020381768e-73,0.851744186046512,9,0.835748792270531,9
"ADK",1.09224636935652e-77,-0.256900373559571,0.48,0.819,2.89281450924073e-73,0.370873786407767,12,0.446759259259259,10
"CD164L2",1.57760867323279e-77,0.347539300542145,0.337,0.13,4.17829657105704e-73,0.828729281767956,10,0.552727272727273,10
"UBXN10",2.16381918019385e-77,0.662543086079649,0.377,0.371,5.73087509874342e-73,0.752475247524752,9,0.790549169859515,9
"JUP",2.85883832124824e-77,-0.418754222462577,0.714,0.936,7.57163329382597e-73,0.344647519582245,12,0.484295845997974,11
"DNAH7",3.17656330199188e-77,0.338194680204339,0.327,0.081,8.41312790532549e-73,0.823361823361823,10,0.670588235294118,7
"HNRNPA3",3.25831164709338e-77,-0.279424989454219,0.791,0.928,8.62963839732683e-73,0.323910482921084,12,0.466019417475728,10
"ETHE1",4.31394635703226e-77,-0.269077597705773,0.3,0.668,1.14254869266e-72,0.34472049689441,9,0.475142045454545,11
"SPATA18",4.7153621263409e-77,0.339805735348262,0.336,0.043,1.24886365916139e-72,0.770083102493075,9,0.263736263736264,6
"RHOD",6.10651948673514e-77,-0.340055047448291,0.404,0.73,1.6173116860618e-72,0.290993071593533,12,0.432098765432099,10
"C6orf165",6.41772125065465e-77,0.398389270563806,0.292,0.062,1.69973347323588e-72,0.920127795527157,8,0.730769230769231,9
"RABL2B",9.54339271967051e-77,0.355417144547321,0.496,0.523,2.52756756180474e-72,0.578947368421053,11,0.671506352087114,10
"DTX3",1.06030955045199e-76,0.486676085068141,0.474,0.07,2.8082298443721e-72,0.589390962671906,10,0.435374149659864,9
"ETV1",1.34426656764071e-76,0.350142900652996,0.398,0.038,3.56029000439641e-72,0.533957845433255,10,0.525,7
"PLEKHA1",1.54588114646849e-76,-0.638630674922388,0.31,0.768,4.09426621642179e-72,0.288288288288288,13,0.585802469135802,10
"CSF2RA",2.02100018540202e-76,-0.528363447229781,0.043,0.576,5.35261899103725e-72,0.434782608695652,6,0.77037037037037,8
"B4GALT4",2.2441104152595e-76,-0.407760530901462,0.281,0.722,5.94352643481479e-72,0.524916943521595,12,0.568614576493762,10
"NDUFA4L2",3.14354310495742e-76,-0.251617664442781,0.015,0.148,8.32567391347974e-72,0.3125,5,0.741214057507987,5
"OCEL1",4.16029736191653e-76,0.466024914281865,0.496,0.48,1.10185475630359e-71,0.505639097744361,12,0.730237154150198,10
"GAS2L2",5.14527792327007e-76,0.250822004980782,0.215,0.009,1.36272685797808e-71,0.922077922077922,6,0.55,3
"IGFBP2",5.31559419123095e-76,1.87768956288775,0.749,0.64,1.40783512154752e-71,0.398009950248756,11,0.398518518518518,10
"OS9",5.61582851339443e-76,1.68438916645055,0.851,0.855,1.48735218177252e-71,0.406352683461117,12,0.514412416851441,11
"UBL5",9.95580845502739e-76,0.341898899582572,0.942,0.976,2.636795869314e-71,0.33135509396637,13,0.464303059737737,11
"AP3S1",1.21791464005233e-75,-0.499842115684896,0.464,0.882,3.2256469241786e-71,0.419678714859438,11,0.511827956989247,11
"MRPS31",1.2511556653553e-75,0.414630983740645,0.472,0.387,3.31368577969352e-71,0.622529644268775,11,0.575275397796818,10
"GSTO1",1.75880285397745e-75,-0.292770204720797,0.637,0.91,4.65818935875927e-71,0.345534407027818,12,0.491666666666667,10
"FAM227A",2.2080117798108e-75,0.441737431321948,0.334,0.073,5.84791919882891e-71,0.723463687150838,9,0.454545454545455,10
"CCDC74B",2.26226848285549e-75,0.491240087341388,0.293,0.092,5.99161807684278e-71,0.917197452229299,6,0.603092783505155,8
"LAMB3",3.48898677915936e-75,-0.870532206874368,0.501,0.892,9.24058148460356e-71,0.410780669144981,11,0.505844845908608,10
"GPI",4.16374303109417e-75,-0.775343837170683,0.788,0.971,1.10276734178529e-70,0.3451536643026,12,0.4677734375,11
"SPINT2",5.51841959902612e-75,-0.96873520925712,0.94,0.991,1.46155343080207e-70,0.32804757185332,13,0.458113930110101,11
"LRRC8A",6.20517742352714e-75,-0.253385226840046,0.541,0.754,1.64344124062116e-70,0.389655172413793,12,0.435220125786164,10
"KIAA1211L",6.46137202636647e-75,0.318750838366393,0.486,0.3,1.71129438118316e-70,0.547892720306513,10,0.721518987341772,10
"FUZ",1.08158166246719e-74,0.350779548076475,0.453,0.29,2.86456903304437e-70,0.58641975308642,10,0.623567921440262,10
"PKIG",1.41054454789432e-74,0.720953194586895,0.467,0.169,3.7358272350981e-70,0.606786427145709,11,0.57703081232493,9
"CEBPG",1.450240931785e-74,-0.294021131552083,0.393,0.814,3.84096310783257e-70,0.33175355450237,9,0.542224810716366,10
"CLTB",1.85985649591415e-74,-0.423870582497547,0.642,0.926,4.92582992942863e-70,0.314949201741655,13,0.487455197132616,11
"IQUB",2.04995295826423e-74,0.338829244150827,0.226,0.016,5.42930040996281e-70,0.88477366255144,8,0.424242424242424,6
"PPIF",2.22805442385378e-74,-0.288472923508819,0.398,0.584,5.90100214157675e-70,0.362997658079625,12,0.432981316003249,10
"RPL35",2.38376462808184e-74,-0.282866323640185,0.96,0.997,6.31340061747476e-70,0.348543689320388,13,0.455539705183072,11
"CLUAP1",2.51306274159829e-74,0.534239311421576,0.537,0.594,6.65584667112307e-70,0.538194444444444,11,0.556264964086193,10
"YWHAE",3.03854698875299e-74,0.42915832877259,0.937,0.98,8.04759169971229e-70,0.324378109452736,13,0.462729912875121,11
"NUDT14",3.12466860898102e-74,0.566374516333592,0.558,0.5,8.27568481088623e-70,0.457429048414023,12,0.503317535545024,10
"TMEM206",4.28114342436365e-74,-0.283992073938826,0.095,0.524,1.13386083594271e-69,0.372549019607843,9,0.638009049773756,9
"SELT",9.1285501400877e-74,-0.308727922445345,0.641,0.918,2.41769650460223e-69,0.334302325581395,13,0.488119834710744,11
"OXTR",9.46899574405532e-74,0.441689565588149,0.255,0.05,2.50786352281305e-69,0.916058394160584,7,0.783018867924528,7
"DHRS9",1.01202304610303e-73,0.939689136569606,0.311,0.244,2.68034303760388e-69,0.934131736526946,8,0.630350194552529,7
"CHGB",1.47457980552083e-73,0.729250596421697,0.27,0.007,3.90542461492191e-69,0.896551724137931,4,0.6,4
"CYP27A1",1.88129347184283e-73,0.603890773055374,0.481,0.229,4.98260576017572e-69,0.436046511627907,10,0.661825726141079,11
"BCAP31",2.10630175894171e-73,-0.587956708928932,0.874,0.972,5.57854020855712e-69,0.3272921108742,12,0.466829268292683,11
"SLC2A1",2.43390136016019e-73,-0.752730084619555,0.665,0.88,6.44618775238427e-69,0.373949579831933,11,0.514008620689655,10
"MRPL3",2.57179266714933e-73,-0.425627982948527,0.48,0.863,6.81139287894501e-69,0.306796116504854,12,0.515934065934066,10
"ECT2L",2.70914169313357e-73,0.259700182430101,0.281,0.042,7.17516177426426e-69,0.867109634551495,7,0.471910112359551,8
"SRM",3.08718028597492e-73,-0.30578804865478,0.474,0.866,8.17639698740458e-69,0.385068762278978,11,0.51888341543514,11
"EPS8",3.57697318035547e-73,0.411476526796141,0.884,0.821,9.47361346817147e-69,0.367755532139094,12,0.551126516464471,10
"SH3BGRL3",3.58166884765237e-73,-0.452857847683013,0.859,0.982,9.48604994300731e-69,0.31236442516269,13,0.46231884057971,11
"RAB1A",4.03225611006048e-73,-0.457932907568026,0.814,0.954,1.06794303074952e-68,0.324169530355097,13,0.475882645450025,11
"LOC101928093",4.53080838844353e-73,0.41568165323254,0.365,0.046,1.19998460167927e-68,0.50765306122449,11,0.371134020618557,8
"TMEM45B",4.86493883406805e-73,0.305568614222475,0.672,0.6,1.28847905020292e-68,0.385575589459085,12,0.730647709320695,11
"CCDC81",5.1690290461805e-73,0.272267312558344,0.205,0.013,1.3690173428809e-68,0.940909090909091,5,0.222222222222222,7
"CST3",5.75457773831422e-73,0.855521398844425,0.931,0.977,1.52409991399252e-68,0.326326326326326,12,0.464563106796117,11
"REEP4",6.01051626186623e-73,-0.273402949549147,0.217,0.609,1.59188523195527e-68,0.300429184549356,10,0.539299610894942,10
"C19orf48",6.19079698219513e-73,-0.361984158205401,0.278,0.519,1.63963258073438e-68,0.436241610738255,11,0.418264840182648,10
"CD47",6.52752424121508e-73,-0.93161811236746,0.822,0.973,1.72881479528581e-68,0.335600907029478,12,0.46663419386264,11
"PPP1R36",8.15573248993652e-73,0.375230214436551,0.266,0.079,2.16004574995969e-68,0.852631578947368,8,0.783132530120482,8
"CSPP1",9.91677160997104e-73,0.40766222323048,0.508,0.405,2.62645696090083e-68,0.548623853211009,12,0.566744730679157,11
"KRTCAP3",1.44648400227772e-72,-0.589545683256714,0.651,0.927,3.83101288003253e-68,0.30758226037196,12,0.485933503836317,11
"GCC2",2.46006870204944e-72,0.354732653964437,0.787,0.776,6.51549195737793e-68,0.343601895734597,12,0.575794621026895,10
"MGP",2.75807955280994e-72,1.96447674181842,0.371,0.043,7.30477369561714e-68,0.728643216080402,8,0.466666666666667,9
"EID1",3.12126352959695e-72,0.54068423117409,0.871,0.873,8.26666645813751e-68,0.333689839572193,11,0.514657980456026,10
"BID",3.32310844920452e-72,-0.599210951815756,0.412,0.82,8.80125272771816e-68,0.3710407239819,11,0.552601156069364,10
"ADI1",4.53123888091445e-72,-0.390127472982122,0.651,0.928,1.20009861761019e-67,0.300859598853868,12,0.487480838017374,11
"ABCA13",5.04199659089341e-72,0.53966287830477,0.503,0.156,1.33537279709812e-67,0.55,11,0.545454545454545,8
"MAATS1",6.39398521825855e-72,0.300099975098019,0.256,0.042,1.69344698505578e-67,0.930909090909091,7,0.719101123595506,6
"WDR93",6.48369867051672e-72,0.317855056016923,0.256,0.043,1.71720759288635e-67,0.796363636363636,6,0.722222222222222,7
"DCUN1D1",6.60446019665417e-72,-0.291678537795867,0.462,0.849,1.74919128308386e-67,0.308467741935484,12,0.519553072625698,11
"LAPTM4B",7.41844035211506e-72,-0.880984936591229,0.578,0.905,1.96477392725767e-67,0.401612903225806,12,0.501572327044025,11
"ATP5C1",1.16517008659411e-71,-0.453279363816473,0.774,0.951,3.0859529743445e-67,0.332129963898917,12,0.475810473815461,11
"ADAM9",1.42620941876604e-71,-0.575982423291059,0.393,0.85,3.77731564560185e-67,0.348341232227488,11,0.531808035714286,11
"COL21A1",1.73590371237817e-71,0.35988762849484,0.356,0.045,4.59754098223359e-67,0.43979057591623,11,0.484210526315789,9
"PRDX6",2.84982188716841e-71,-0.331720767980281,0.846,0.962,7.54775326816554e-67,0.325991189427313,12,0.471168063085264,11
"RABL2A",3.06295677919116e-71,0.367300904819928,0.443,0.263,8.11224102968778e-67,0.618947368421053,11,0.612612612612613,9
"CD82",3.35547209152547e-71,-0.556614581423132,0.747,0.927,8.8869678344052e-67,0.329588014981273,12,0.489263803680982,11
"ANKRD37",3.60712143005178e-71,0.517797342089883,0.668,0.562,9.55346110749214e-67,0.421199442119944,12,0.662447257383966,10
"NMI",3.72812124923392e-71,-0.318900686897077,0.413,0.832,9.87392912859604e-67,0.388261851015801,10,0.534777651083238,10
"ACOT7",4.04552446351771e-71,-0.502944999595603,0.189,0.417,1.07145715416266e-66,0.339901477832512,9,0.480681818181818,11
"GOT2",4.28197235625705e-71,-0.438223374686407,0.512,0.874,1.13408037855468e-66,0.327868852459016,11,0.501356483993489,10
"PPP1R12A",4.42914805033358e-71,-0.265079693322449,0.515,0.861,1.17305986113085e-66,0.312839059674503,12,0.49366391184573,10
"BARD1",1.11015454352492e-70,-0.269045107950955,0.27,0.706,2.94024430852575e-66,0.427586206896552,10,0.571236559139785,10
"NELL2",1.52613034873316e-70,0.28309783629879,0.212,0.015,4.04195622861979e-66,0.920704845814978,6,0.32258064516129,9
"MRPS34",1.61167306180228e-70,-0.353491021532736,0.638,0.938,4.26851610418333e-66,0.293430656934307,13,0.482566953006569,11
"UBB",1.81774788646287e-70,0.624073255416319,0.98,0.995,4.81430527729691e-66,0.341254752851711,13,0.456407813244402,11
"ALG3",1.94061892124357e-70,-0.413101935500034,0.433,0.833,5.1397292129136e-66,0.32258064516129,11,0.535571997723392,11
"RIPK2",2.84765309501349e-70,-0.320701893330764,0.205,0.637,7.54200922214322e-66,0.395454545454545,11,0.552083333333333,10
"GJB5",2.85954433074564e-70,-0.317455601079949,0.112,0.304,7.57350315997982e-66,0.741666666666667,6,0.690031152647975,8
"DNAJB6",5.45728196874551e-70,-0.357446348491636,0.763,0.945,1.44536112942225e-65,0.347985347985348,13,0.478915662650602,11
"CXCL16",5.7494738057928e-70,-0.999442100044747,0.517,0.877,1.52274813746422e-65,0.313513513513514,12,0.516495402920498,11
"CC2D2A",6.08658619246727e-70,0.47397723916054,0.38,0.201,1.61203235307496e-65,0.715686274509804,11,0.557919621749409,9
"ARPC5L",6.82054508456045e-70,-0.34692171686513,0.59,0.926,1.80642136564583e-65,0.372827804107425,12,0.485407066052227,11
"NME4",8.56732872940027e-70,-0.370497745270349,0.393,0.845,2.26905701398166e-65,0.386255924170616,12,0.5350532809871,11
"NME9",9.08464193789328e-70,0.371133756896703,0.248,0.04,2.40606741725103e-65,0.883458646616541,7,0.564705882352941,7
"C16orf89",9.76563160193277e-70,1.71316112941742,0.498,0.117,2.58642752977189e-65,0.406367041198502,9,0.426829268292683,10
"ZDHHC12",1.49894917459164e-69,-0.319899377513101,0.387,0.828,3.96996688890596e-65,0.298795180722892,11,0.538946162657503,10
"ZDHHC1",1.78199905343443e-69,0.509255833889458,0.43,0.376,4.71962449302108e-65,0.637744034707158,11,0.651133501259446,10
"CDKN2B",1.90976928593858e-69,0.549347771052571,0.338,0.037,5.05802395380833e-65,0.559228650137741,7,0.441558441558442,7
"BLCAP",1.96153704289305e-69,-0.270565887583191,0.573,0.844,5.19513085810224e-65,0.347967479674797,12,0.510399100618325,10
"CCDC176",2.11570613864563e-69,0.285406995945708,0.39,0.147,5.60344770820295e-65,0.691387559808612,10,0.546623794212219,10
"LINC00493",2.15717201469194e-69,0.295541329125275,0.763,0.809,5.7132700809116e-65,0.36019536019536,13,0.536342321219226,10
"MSRB1",2.58752958179429e-69,-0.379266395238746,0.399,0.587,6.85307209738217e-65,0.422897196261682,11,0.430072756669361,11
"FOS",2.90044318852452e-69,1.49265826426268,0.867,0.582,7.68182378480719e-65,0.344086021505376,12,0.415647921760391,10
"C2orf81",3.0166329081939e-69,0.353449891763852,0.255,0.036,7.98955225735155e-65,0.861313868613139,10,0.289473684210526,8
"DLEC1",3.1069624789377e-69,0.286646597902988,0.247,0.026,8.2287901254665e-65,0.920754716981132,6,0.37037037037037,6
"IFIT3",3.15230130668013e-69,-0.371145820670505,0.3,0.669,8.34887001074233e-65,0.403726708074534,13,0.531205673758865,10
"B3GNT7",3.19492620287649e-69,0.892021116302651,0.658,0.776,8.46176204831837e-65,0.443342776203966,12,0.569070904645477,11
"PTP4A2",3.48188326667086e-69,-1.01943372432367,0.811,0.973,9.22176783177777e-65,0.304597701149425,13,0.46663419386264,11
"HMGCS1",3.51306267965907e-69,0.404547309956032,0.681,0.835,9.30434650707704e-65,0.376196990424077,12,0.512485811577753,11
"FGFBP1",3.55409029850044e-69,-0.343073265942478,0.169,0.431,9.41300815557842e-65,0.723756906077348,8,0.511013215859031,8
"WDR60",4.50584347521134e-69,0.421547968599734,0.572,0.559,1.19337264440972e-64,0.478827361563518,12,0.666383701188455,10
"CRISP3",6.55071409880343e-69,-0.542326666762124,0.004,0.399,1.73495662906809e-64,0.5,3,0.997621878715815,3
"PRSS8",6.9405397207669e-69,-0.578816273309977,0.508,0.887,1.83820194504511e-64,0.411009174311927,11,0.509887760555852,11
"KRT16",7.71139839664738e-69,-0.875997432158675,0.063,0.47,2.04236386535206e-64,0.338235294117647,9,0.678427419354839,8
"FABP6",1.27857007666952e-68,0.4660845181588,0.282,0.318,3.38629284805921e-64,0.778877887788779,9,0.42026825633383,8
"ABRACL",1.32387464397894e-68,-0.339424804229177,0.369,0.818,3.50628199457823e-64,0.345959595959596,10,0.550144927536232,10
