"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"N4BP2L2",0.405340902012776,0.474625523004763,0.629,0.732,1,0.433333333333333,9,0.580686973428386,11,"N4BP2L2","NS"
"NUCB2",3.92078496444783e-23,0.473872720484618,0.719,0.585,1.03841989783401e-18,0.37956204379562,10,0.329278183292782,11,"NUCB2","p_val_adj<0.05"
"NXF1",8.89511368311253e-22,0.473247345012718,0.682,0.536,2.35587085897235e-17,0.38974358974359,10,0.481874447391689,10,"NXF1","p_val_adj<0.05"
"TMEM130",3.15931777760366e-90,0.472858627760879,0.308,0.037,8.36745313398328e-86,0.5625,7,0.584415584415584,6,"TMEM130","p_val_adj<0.05"
"CRACR2B",7.97994036983651e-32,0.472332461686568,0.652,0.479,2.1134872069512e-27,0.383378016085791,8,0.665346534653465,10,"CRACR2B","p_val_adj<0.05"
"PNRC1",1.99055118130536e-35,0.471772538978523,0.892,0.858,5.27197480368724e-31,0.358823529411765,10,0.52791597567717,10,"PNRC1","p_val_adj<0.05"
"SERPINH1",1.16547099544323e-55,0.47148075469534,0.853,0.774,3.08674993143141e-51,0.379098360655738,9,0.504901960784314,10,"SERPINH1","p_val_adj<0.05"
"SRSF7",3.36359746436862e-14,0.470624047525693,0.867,0.865,8.90848788438028e-10,0.354838709677419,8,0.501644736842105,10,"SRSF7","p_val_adj<0.05"
"FAM177A1",3.9250615330558e-26,0.470507967874254,0.855,0.878,1.03955254702983e-21,0.355828220858896,9,0.511879049676026,10,"FAM177A1","p_val_adj<0.05"
"CEBPB",1.53321880454876e-25,0.470060962876799,0.802,0.83,4.0607300038474e-21,0.363834422657952,10,0.508280982295831,10,"CEBPB","p_val_adj<0.05"
"SNHG12",3.93867607883431e-37,0.469498908756362,0.678,0.485,1.04315835947927e-32,0.399484536082474,8,0.367906066536204,9,"SNHG12","p_val_adj<0.05"
"TP53BP2",4.49717470772029e-05,0.468258797936041,0.636,0.711,1,0.478021978021978,8,0.55,10,"TP53BP2","NS"
"SPSB3",5.13296416279765e-12,0.467869361180389,0.717,0.722,1.35946555851696e-07,0.368292682926829,9,0.604727511490479,10,"SPSB3","p_val_adj<0.05"
"RABAC1",5.16862000494817e-27,0.467841737049733,0.848,0.856,1.36890900831052e-22,0.362886597938144,9,0.521329639889197,11,"RABAC1","p_val_adj<0.05"
"RPL18A",7.58548726870722e-70,0.467598062755646,0.972,0.998,2.00901630311711e-65,0.347122302158273,10,0.45532319391635,11,"RPL18A","p_val_adj<0.05"
"C6orf48",5.95632236224769e-27,0.466995726097405,0.834,0.874,1.5775319776413e-22,0.356394129979036,10,0.494302767227347,11,"C6orf48","p_val_adj<0.05"
"EGFR",3.71613325004409e-08,0.465580501089413,0.736,0.761,0.000984217891274177,0.368171021377672,8,0.584788029925187,11,"EGFR","p_val_adj<0.05"
"PTPRF",2.55968060538842e-10,0.46533677033274,0.893,0.919,6.77931408337124e-06,0.342465753424658,10,0.490974729241877,11,"PTPRF","p_val_adj<0.05"
"SERPING1",1.2679122775368e-25,0.464751409620379,0.582,0.345,3.35806566705621e-21,0.48048048048048,9,0.707417582417582,9,"SERPING1","p_val_adj<0.05"
"GCNT2",1.4781697396166e-28,0.464690729399201,0.61,0.429,3.91493255537455e-24,0.429799426934097,8,0.501657458563536,10,"GCNT2","p_val_adj<0.05"
"ASH1L",2.36898872345082e-15,0.464568867845539,0.834,0.771,6.2742666340595e-11,0.341719077568134,10,0.563345633456335,10,"ASH1L","p_val_adj<0.05"
"PLEKHB1",1.80486598385325e-48,0.464419550580117,0.397,0.138,4.78018755823533e-44,0.511013215859031,8,0.482876712328767,10,"PLEKHB1","p_val_adj<0.05"
"C8orf4",0.0175935060934265,0.464350225836393,0.399,0.542,1,0.421052631578947,7,0.734265734265734,10,"C8orf4","NS"
"HP1BP3",3.45980527480497e-20,0.46358080276068,0.911,0.887,9.16329427032097e-16,0.335892514395393,10,0.507486631016043,10,"HP1BP3","p_val_adj<0.05"
"LTBP3",5.1091430414335e-16,0.463209699154404,0.76,0.705,1.35315653452366e-11,0.36551724137931,9,0.584791386271871,9,"LTBP3","p_val_adj<0.05"
"BCL6",5.33087681564755e-12,0.462929039313915,0.689,0.682,1.41188272462425e-07,0.390862944162437,7,0.53995830437804,11,"BCL6","p_val_adj<0.05"
"ABCA1",9.27142741735751e-07,0.461857476470953,0.629,0.623,0.0245553755148714,0.463888888888889,10,0.429223744292237,9,"ABCA1","p_val_adj<0.05"
"P3H2",1.07523938779669e-99,0.461634224055535,0.441,0.086,2.84777151857953e-95,0.591269841269841,6,0.406593406593407,5,"P3H2","p_val_adj<0.05"
"ENOSF1",1.51966694258093e-27,0.461057556773802,0.61,0.427,4.02483789742558e-23,0.383954154727794,8,0.497777777777778,10,"ENOSF1","p_val_adj<0.05"
"ACOT13",5.05936406960435e-34,0.460575282241482,0.794,0.706,1.33997257383471e-29,0.387665198237885,9,0.489247311827957,10,"ACOT13","p_val_adj<0.05"
"MXD4",1.70965061334437e-09,0.459774204051035,0.6,0.62,4.52800964944258e-05,0.41399416909621,9,0.667941851568477,10,"MXD4","p_val_adj<0.05"
"TNS3",1.93462617126863e-63,0.459686638976094,0.582,0.25,5.12385741460497e-59,0.378378378378378,8,0.540796963946869,9,"TNS3","p_val_adj<0.05"
"CYP20A1",2.31682062438443e-28,0.459108548783635,0.801,0.692,6.13609942368216e-24,0.364628820960699,8,0.557916381082934,11,"CYP20A1","p_val_adj<0.05"
"NUCKS1",1.05755268138151e-30,0.458945214492928,0.941,0.971,2.80092827663892e-26,0.355018587360595,10,0.466536394723986,11,"NUCKS1","p_val_adj<0.05"
"CYP1B1",6.69649097560128e-117,0.458787685991753,0.476,0.081,1.773565634888e-112,0.477941176470588,8,0.362573099415205,8,"CYP1B1","p_val_adj<0.05"
"UBA52",2.01494325070776e-48,0.458178477663742,0.962,0.985,5.33657719949949e-44,0.349090909090909,9,0.460760712566201,11,"UBA52","p_val_adj<0.05"
"HCG18",1.32479379745017e-29,0.457815813381102,0.619,0.432,3.50871637254678e-25,0.355932203389831,8,0.572368421052632,10,"HCG18","p_val_adj<0.05"
"CD44",2.09006648661484e-13,0.457597431132716,0.785,0.743,5.53554108979941e-09,0.378619153674833,8,0.426292278238673,9,"CD44","p_val_adj<0.05"
"THUMPD1",1.61192264240595e-13,0.457482808184345,0.78,0.757,4.26917711841217e-09,0.36322869955157,9,0.56140350877193,10,"THUMPD1","p_val_adj<0.05"
"EXPH5",4.26704009751118e-17,0.457236232882292,0.781,0.681,1.13012556982584e-12,0.355704697986577,9,0.635793871866295,11,"EXPH5","p_val_adj<0.05"
"CDKN2B",5.10323589444326e-118,0.456858110117922,0.367,0.037,1.3515920266433e-113,0.652380952380952,5,0.441558441558442,7,"CDKN2B","p_val_adj<0.05"
"CHD9",4.04321277950617e-18,0.455998881646396,0.687,0.56,1.07084490465221e-13,0.409669211195929,8,0.412362404741744,10,"CHD9","p_val_adj<0.05"
"SULT1A2",2.56825881598467e-61,0.454715639050271,0.451,0.145,6.8020334741354e-57,0.484496124031008,7,0.565359477124183,9,"SULT1A2","p_val_adj<0.05"
"NTHL1",0.000606254169442689,0.454169687748518,0.579,0.652,1,0.43202416918429,8,0.624,10,"NTHL1","NS"
"RBM39",5.75314383856755e-32,0.454116152253693,0.96,0.958,1.52372014564462e-27,0.340619307832423,10,0.470792079207921,11,"RBM39","p_val_adj<0.05"
"KCNK5",8.20211751458201e-72,0.454116150144088,0.537,0.202,2.17233082373705e-67,0.361563517915309,7,0.432941176470588,9,"KCNK5","p_val_adj<0.05"
"ODC1",2.34251543104322e-63,0.454113923757589,0.626,0.273,6.20415211911796e-59,0.326815642458101,9,0.371527777777778,10,"ODC1","p_val_adj<0.05"
"JDP2",6.38586900758311e-46,0.453943658809202,0.545,0.294,1.69129740665839e-41,0.426282051282051,8,0.618739903069467,10,"JDP2","p_val_adj<0.05"
"CD83",4.19384435965794e-69,0.453090066700405,0.421,0.108,1.11073967865541e-64,0.410788381742739,7,0.37719298245614,7,"CD83","p_val_adj<0.05"
"CACNA2D2",3.82207255672286e-140,0.452775582440195,0.559,0.106,1.01227591664805e-135,0.378125,7,0.830357142857143,7,"CACNA2D2","p_val_adj<0.05"
"CASZ1",5.68644698994958e-27,0.452692943980702,0.649,0.517,1.50605548528815e-22,0.345013477088949,8,0.608615948670944,10,"CASZ1","p_val_adj<0.05"
"COL4A3",1.44789790216671e-98,0.452691626058866,0.46,0.1,3.83475759388852e-94,0.463878326996198,7,0.805687203791469,7,"COL4A3","p_val_adj<0.05"
"DGKD",9.30901376853582e-23,0.452007774605579,0.498,0.336,2.46549229659671e-18,0.52280701754386,8,0.567796610169492,10,"DGKD","p_val_adj<0.05"
"RARRES1",1.86525701533013e-32,0.451408293347741,0.1,0.387,4.94013320510185e-28,0.649122807017544,6,0.893382352941177,9,"RARRES1","p_val_adj<0.05"
"MLLT4",1.24277672220202e-43,0.451022288828741,0.841,0.74,3.29149414875206e-39,0.345114345114345,9,0.609865470852018,11,"MLLT4","p_val_adj<0.05"
"HNRNPU",3.29956384051602e-20,0.450613076552287,0.941,0.959,8.73889483160667e-16,0.345724907063197,10,0.473059812160158,11,"HNRNPU","p_val_adj<0.05"
"GSPT1",1.66058965115565e-20,0.450408648899357,0.934,0.937,4.39807169108574e-16,0.333333333333333,10,0.483055134041477,11,"GSPT1","p_val_adj<0.05"
"EHF",1.55835820936069e-29,0.449319383385862,0.899,0.877,4.1273117174918e-25,0.356031128404669,10,0.482702702702703,10,"EHF","p_val_adj<0.05"
"IL6R",1.06048243924997e-22,0.447904827439898,0.652,0.521,2.80868774035355e-18,0.348525469168901,9,0.67515923566879,10,"IL6R","p_val_adj<0.05"
"TOX4",4.44558411152207e-19,0.446866134864272,0.825,0.826,1.17741295193662e-14,0.345338983050847,8,0.530694205393001,10,"TOX4","p_val_adj<0.05"
"BTG1",6.9147512135698e-41,0.446567076511499,0.9,0.905,1.83137185891396e-36,0.355339805825243,10,0.492928234677842,10,"BTG1","p_val_adj<0.05"
"SLC25A29",3.56900244701527e-14,0.446036518003336,0.542,0.44,9.45250298091995e-10,0.348387096774194,9,0.560818083961249,10,"SLC25A29","p_val_adj<0.05"
"HLA-DQA2",0.000625010508387118,0.445401347150639,0.355,0.356,1,0.738916256157635,6,0.735019973368842,7,"HLA-DQA2","NS"
"RPL36",2.17359986107358e-64,0.445382637258336,0.963,0.995,5.75677923205339e-60,0.352087114337568,10,0.455931395902811,11,"RPL36","p_val_adj<0.05"
"ITPR3",2.42176470833775e-17,0.442422655675866,0.698,0.601,6.41404383003254e-13,0.348370927318296,9,0.570639305445935,10,"ITPR3","p_val_adj<0.05"
"C1orf198",1.04642576171256e-15,0.442300301314285,0.76,0.633,2.77145862989572e-11,0.383908045977012,8,0.702621722846442,9,"C1orf198","p_val_adj<0.05"
"PRPF8",8.25975243771806e-10,0.442175062151893,0.689,0.647,2.18759543312963e-05,0.408629441624365,8,0.631231671554252,11,"PRPF8","p_val_adj<0.05"
"AASS",1.54531512652853e-135,0.442149928653612,0.566,0.112,4.0927671126108e-131,0.441358024691358,8,0.377118644067797,10,"AASS","p_val_adj<0.05"
"DUSP1",3.92296377568773e-35,0.441573419452101,0.942,0.859,1.03899695599089e-30,0.341372912801484,10,0.486471562672557,11,"DUSP1","p_val_adj<0.05"
"MDM4",2.5450997039592e-08,0.440755438751389,0.855,0.858,0.000674069656593594,0.34560327198364,10,0.521546961325967,10,"MDM4","p_val_adj<0.05"
"SLC7A5P2",3.47216953366238e-23,0.440525485003698,0.404,0.228,9.19604100990481e-19,0.307359307359307,7,0.36875,10,"SLC7A5P2","p_val_adj<0.05"
"ARL4C",4.79465260674383e-11,0.439801148901742,0.568,0.516,1.2698637428961e-06,0.427692307692308,8,0.613406795224977,9,"ARL4C","p_val_adj<0.05"
"UBR4",1.83996189719374e-15,0.438268244915292,0.712,0.649,4.87313908471762e-11,0.383292383292383,8,0.54127100073046,11,"UBR4","p_val_adj<0.05"
"CHD8",8.79884997064651e-28,0.437549021623626,0.668,0.506,2.33037541472573e-23,0.350785340314136,7,0.533707865168539,10,"CHD8","p_val_adj<0.05"
"CH25H",1.08455851235525e-33,0.437277208678047,0.117,0.013,2.87245321997288e-29,0.447761194029851,8,0.333333333333333,6,"CH25H","p_val_adj<0.05"
"ZNF165",0.809346898526258,0.43686605042677,0.425,0.469,1,0.39917695473251,8,0.506572295247725,10,"ZNF165","NS"
"RASL11A",5.13836299407179e-87,0.434927109178491,0.344,0.053,1.36089543897991e-82,0.538071065989848,8,0.455357142857143,8,"RASL11A","p_val_adj<0.05"
"SZT2",7.01353751850076e-17,0.434033948932172,0.538,0.4,1.85753541177493e-12,0.435064935064935,6,0.531435349940688,10,"SZT2","p_val_adj<0.05"
"CISH",1.02607202551272e-34,0.43355436847568,0.341,0.134,2.71755175957043e-30,0.415384615384615,6,0.50354609929078,9,"CISH","p_val_adj<0.05"
"DAPK2",5.5125816780485e-30,0.433404308935948,0.441,0.238,1.46000725743114e-25,0.476190476190476,9,0.786852589641434,9,"DAPK2","p_val_adj<0.05"
"ERICH2",6.68842297731178e-112,0.433274397020205,0.53,0.122,1.77142882554103e-107,0.363036303630363,7,0.565891472868217,8,"ERICH2","p_val_adj<0.05"
"PARP1",1.85191471951411e-13,0.432964225244837,0.788,0.8,4.90479613463311e-09,0.34589800443459,8,0.545939537640782,10,"PARP1","p_val_adj<0.05"
"ELF3",2.25176686828792e-17,0.431758440098449,0.96,0.934,5.96380455066055e-13,0.351548269581056,10,0.486294416243655,10,"ELF3","p_val_adj<0.05"
"APP",1.21761075820861e-20,0.430683731976338,0.853,0.841,3.2248420931155e-16,0.342213114754098,9,0.440811724915445,11,"APP","p_val_adj<0.05"
"ATPIF1",5.38676457251018e-39,0.429784869118039,0.934,0.972,1.42668459702932e-34,0.346441947565543,10,0.461463414634146,11,"ATPIF1","p_val_adj<0.05"
"LRRK2",8.64363632820794e-90,0.429327475839579,0.386,0.065,2.28926708152587e-85,0.389140271493213,7,0.642335766423358,8,"LRRK2","p_val_adj<0.05"
"AKAP9",1.36410769781078e-11,0.428891707420961,0.942,0.907,3.61283923765186e-07,0.345083487940631,10,0.499215891270256,10,"AKAP9","p_val_adj<0.05"
"FHOD1",1.45788174553394e-60,0.428264094968414,0.477,0.176,3.86119980304665e-56,0.380952380952381,7,0.477088948787062,10,"FHOD1","p_val_adj<0.05"
"COL4A4",7.38942016811478e-39,0.428234158929625,0.53,0.283,1.9570879315252e-34,0.376237623762376,8,0.916247906197655,8,"COL4A4","p_val_adj<0.05"
"C1orf35",3.33653288776728e-14,0.427341491010371,0.687,0.731,8.83680735325163e-10,0.402035623409669,8,0.595068137573005,10,"C1orf35","p_val_adj<0.05"
"ZNF204P",7.89675999632253e-36,0.427143824043189,0.42,0.191,2.09145688502602e-31,0.391666666666667,9,0.641791044776119,10,"ZNF204P","p_val_adj<0.05"
"FAM129A",5.60072291414519e-26,0.426921841411085,0.372,0.193,1.48335146381135e-21,0.610328638497653,6,0.427518427518428,9,"FAM129A","p_val_adj<0.05"
"ARHGEF19",8.30086246005594e-46,0.426572073234156,0.458,0.192,2.19848342254582e-41,0.49236641221374,7,0.373762376237624,10,"ARHGEF19","p_val_adj<0.05"
"NCOR2",3.12254342602979e-42,0.426459392553996,0.713,0.546,8.27005626383989e-38,0.365196078431373,8,0.473501303214596,10,"NCOR2","p_val_adj<0.05"
"VKORC1L1",2.68636834894942e-12,0.426342198419277,0.745,0.723,7.11484657219253e-08,0.396713615023474,9,0.620734908136483,10,"VKORC1L1","p_val_adj<0.05"
"TNRC6A",1.82832021715123e-18,0.425879874360373,0.762,0.688,4.84230609512504e-14,0.38302752293578,10,0.519283746556474,11,"TNRC6A","p_val_adj<0.05"
"RARRES2",0.00314401617627019,0.425608888406153,0.35,0.376,1,0.665,8,0.837121212121212,8,"RARRES2","NS"
"DCAF11",2.33047817735069e-05,0.424820314152018,0.649,0.642,0.617227145271331,0.39622641509434,8,0.612998522895126,10,"DCAF11","NS"
"ANXA5",3.09211981429883e-19,0.423845035521255,0.872,0.8,8.18947932817044e-15,0.350701402805611,10,0.364336492890995,11,"ANXA5","p_val_adj<0.05"
"EIF5",3.14511638489974e-09,0.423799766542025,0.907,0.953,8.32984074540696e-05,0.364161849710983,10,0.473134328358209,11,"EIF5","p_val_adj<0.05"
"GOLGA3",0.227674349633003,0.423087690002612,0.617,0.692,1,0.396600566572238,9,0.527073337902673,11,"GOLGA3","NS"
"YPEL3",8.43327356424138e-20,0.423087450786684,0.832,0.73,2.23355250348933e-15,0.355042016806723,10,0.621182586094867,11,"YPEL3","p_val_adj<0.05"
"ADGRD1",2.57066285002316e-195,0.422968237575353,0.491,0.028,6.80840055828634e-191,0.437722419928826,7,0.637931034482759,8,"ADGRD1","p_val_adj<0.05"
"PDGFA",1.81640967468575e-17,0.422687624963796,0.825,0.751,4.81076102340521e-13,0.372881355932203,9,0.588755527479469,11,"PDGFA","p_val_adj<0.05"
"NFIA",8.54942021358008e-18,0.42247523416961,0.799,0.727,2.26431394356669e-13,0.37417943107221,9,0.539113428943937,10,"NFIA","p_val_adj<0.05"
"ZDHHC11",1.8925603721836e-115,0.420997204819858,0.446,0.071,5.01244614572827e-111,0.525490196078431,8,0.456375838926175,9,"ZDHHC11","p_val_adj<0.05"
"HLA-DRB6",3.23760575419576e-31,0.420906537861198,0.692,0.678,8.57479883998746e-27,0.424242424242424,8,0.454863540937719,10,"HLA-DRB6","p_val_adj<0.05"
"ACBD3",4.76965836355011e-18,0.420669872910172,0.869,0.884,1.26324401758625e-13,0.354124748490946,10,0.510455764075067,11,"ACBD3","p_val_adj<0.05"
"WDR83OS",1.74364569413673e-21,0.420259674358426,0.846,0.908,4.61804562092112e-17,0.357438016528926,9,0.496342737722048,10,"WDR83OS","p_val_adj<0.05"
"SULT1A1",9.80182999407813e-60,0.419888671554019,0.586,0.251,2.59601467393159e-55,0.391044776119403,9,0.586792452830189,10,"SULT1A1","p_val_adj<0.05"
"ALPL",8.30908586226988e-118,0.419653070933827,0.376,0.038,2.20066139062218e-113,0.376744186046512,7,0.518518518518518,9,"ALPL","p_val_adj<0.05"
"GLG1",1.15425950875959e-15,0.419448523972764,0.857,0.839,3.05705630894977e-11,0.348979591836735,9,0.524590163934426,11,"GLG1","p_val_adj<0.05"
"DDX3X",1.41854691828796e-12,0.419265951797881,0.876,0.894,3.75702151308567e-08,0.339321357285429,8,0.505832449628844,11,"DDX3X","p_val_adj<0.05"
"TMEM150A",6.49279885953584e-05,0.418864735996427,0.509,0.519,1,0.450171821305842,8,0.656307129798903,9,"TMEM150A","NS"
"FNBP1L",5.66996478481214e-17,0.418091685169084,0.706,0.625,1.5016901732575e-12,0.405940594059406,10,0.65049279757392,10,"FNBP1L","p_val_adj<0.05"
"IRF9",2.19756929758563e-06,0.417677830060206,0.778,0.836,0.0582026228465555,0.397752808988764,9,0.496598639455782,10,"IRF9","NS"
"ILF3",9.91727247121115e-17,0.41754562615216,0.815,0.792,2.62658961400027e-12,0.351931330472103,8,0.505685218432077,11,"ILF3","p_val_adj<0.05"
"LDLR",1.62520451248949e-12,0.417410277875086,0.636,0.535,4.30435415132841e-08,0.362637362637363,8,0.426926483613818,10,"LDLR","p_val_adj<0.05"
"UBB",4.7161325761615e-70,0.417301300896997,0.984,0.995,1.24906771279637e-65,0.341030195381883,10,0.456407813244402,11,"UBB","p_val_adj<0.05"
"OGT",0.0803460036757059,0.416558434983689,0.664,0.737,1,0.339473684210526,9,0.511254019292605,10,"OGT","NS"
"SLC43A3",2.16392605210465e-76,0.416166751833251,0.614,0.213,5.73115814899917e-72,0.33048433048433,9,0.244444444444444,10,"SLC43A3","p_val_adj<0.05"
"TRNAU1AP",6.0477396993358e-09,0.416156007371254,0.638,0.616,0.000160174385936909,0.443835616438356,9,0.503846153846154,11,"TRNAU1AP","p_val_adj<0.05"
"APMAP",8.23838203440158e-08,0.416155407045979,0.659,0.649,0.00218193548181126,0.389920424403183,9,0.535818713450292,10,"APMAP","p_val_adj<0.05"
"PHKG2",8.61967588364531e-08,0.415938796497869,0.626,0.598,0.00228292115778346,0.363128491620112,9,0.503961965134707,10,"PHKG2","p_val_adj<0.05"
"MBNL1",2.86896075742071e-24,0.415678276862966,0.813,0.798,7.59844256602876e-20,0.341935483870968,9,0.486631016042781,11,"MBNL1","p_val_adj<0.05"
"PIK3R3",5.47999680624607e-11,0.415442803550466,0.587,0.497,1.45137715413427e-06,0.455357142857143,7,0.796949475691134,10,"PIK3R3","p_val_adj<0.05"
"TTC3",2.28325056193319e-10,0.415130855772393,0.865,0.86,6.04718911328006e-06,0.353535353535354,9,0.51819184123484,11,"TTC3","p_val_adj<0.05"
"CYP51A1",3.37291367825429e-07,0.414685064440694,0.724,0.799,0.00893316187685648,0.408212560386473,8,0.48486646884273,11,"CYP51A1","p_val_adj<0.05"
"THOC2",3.02763472553887e-20,0.414588743183818,0.83,0.81,8.01869057058969e-16,0.355789473684211,9,0.518735362997658,11,"THOC2","p_val_adj<0.05"
"POLR2C",1.01939375387715e-05,0.414578591441282,0.649,0.671,0.269986435714362,0.369272237196765,9,0.597457627118644,11,"POLR2C","NS"
"MPST",5.27186891951921e-10,0.412742364004623,0.692,0.708,1.39625448333466e-05,0.340909090909091,8,0.630944407233758,11,"MPST","p_val_adj<0.05"
"ARID1A",1.85933104000836e-15,0.412194206144467,0.75,0.714,4.92443825946215e-11,0.351981351981352,9,0.571713147410359,10,"ARID1A","p_val_adj<0.05"
"AKAP8",3.43828189556433e-15,0.411490320547359,0.537,0.429,9.10628960040212e-11,0.400651465798046,8,0.514380530973451,11,"AKAP8","p_val_adj<0.05"
"TMEM230",4.25778870551391e-11,0.411421067937501,0.773,0.795,1.12767533865536e-06,0.375565610859729,9,0.565295169946333,10,"TMEM230","p_val_adj<0.05"
"NFATC3",1.57690018576505e-14,0.409446234756943,0.802,0.771,4.17642014199874e-10,0.342047930283224,10,0.573185731857319,10,"NFATC3","p_val_adj<0.05"
"GSTM1",3.91720370250629e-57,0.409234868594589,0.32,0.077,1.03747140060879e-52,0.513661202185792,5,0.561728395061728,7,"GSTM1","p_val_adj<0.05"
"CTGF",2.57979658203701e-39,0.408918336499646,0.339,0.114,6.83259124752502e-35,0.448453608247423,9,0.341666666666667,8,"CTGF","p_val_adj<0.05"
"HOOK2",4.90652856492985e-16,0.408533188268331,0.605,0.519,1.29949409042167e-11,0.367052023121387,8,0.536073059360731,10,"HOOK2","p_val_adj<0.05"
"BTG3",0.00867027358649025,0.408143890498216,0.755,0.866,1,0.372685185185185,9,0.498357064622125,11,"BTG3","NS"
"FNIP2",1.04890373590153e-39,0.407780681962828,0.414,0.172,2.77802154453521e-35,0.443037974683544,6,0.348066298342541,11,"FNIP2","p_val_adj<0.05"
"ATP1B1",1.21659113089753e-19,0.407687217350776,0.983,0.972,3.22214161018211e-15,0.338078291814947,10,0.466829268292683,11,"ATP1B1","p_val_adj<0.05"
"ARC",1.90536304209089e-37,0.407530828995753,0.187,0.037,5.04635401697773e-33,0.672897196261682,5,0.584415584415584,5,"ARC","p_val_adj<0.05"
"LUC7L3",2.7214776255224e-19,0.407412125194098,0.825,0.812,7.20783349119606e-15,0.341101694915254,9,0.48861646234676,10,"LUC7L3","p_val_adj<0.05"
"RPS8",1.44534708142272e-31,0.40678058426976,0.986,0.996,3.82800174514806e-27,0.343971631205674,10,0.456190476190476,11,"RPS8","p_val_adj<0.05"
"KMT2A",3.11901600390044e-06,0.405574856656405,0.719,0.736,0.0826071388633031,0.384428223844282,8,0.557345360824742,11,"KMT2A","NS"
"ATP11A-AS1",2.71922791680354e-34,0.40521740587469,0.248,0.077,7.20187513765417e-30,0.471830985915493,7,0.753086419753086,8,"ATP11A-AS1","p_val_adj<0.05"
"SMARCC2",0.000181545341164338,0.404880646772683,0.724,0.789,1,0.369565217391304,9,0.539386650631389,11,"SMARCC2","NS"
"ISG15",3.61149431228179e-11,0.4042026656705,0.692,0.945,9.56504268607832e-07,0.454545454545455,10,0.461615654791771,10,"ISG15","p_val_adj<0.05"
"ARGLU1",7.09715924005289e-13,0.404146503208076,0.886,0.929,1.87968262472801e-08,0.357001972386588,10,0.485451761102603,10,"ARGLU1","p_val_adj<0.05"
"LRIG3",1.72153938210324e-17,0.403139071309011,0.393,0.239,4.55949705350042e-13,0.515555555555556,7,0.474206349206349,10,"LRIG3","p_val_adj<0.05"
"GNG5",3.10978879133917e-43,0.403033582705351,0.89,0.964,8.2362756138618e-39,0.361493123772102,10,0.466797835710772,11,"GNG5","p_val_adj<0.05"
"MRPS26",9.82704416496352e-17,0.402933650420779,0.701,0.659,2.60269264709059e-12,0.376558603491272,9,0.512230215827338,10,"MRPS26","p_val_adj<0.05"
"PID1",3.606300246529e-151,0.402288629767329,0.425,0.034,9.55128620293206e-147,0.592592592592593,7,0.352112676056338,9,"PID1","p_val_adj<0.05"
"MIR22HG",1.94835116484421e-36,0.401970339568102,0.544,0.309,5.16020806008988e-32,0.443729903536977,8,0.367127496159754,9,"MIR22HG","p_val_adj<0.05"
"TSPAN4",2.52362407308345e-33,0.401516202174847,0.691,0.5,6.68381835756151e-29,0.339240506329114,9,0.518975332068311,10,"TSPAN4","p_val_adj<0.05"
"NASP",2.73952069239577e-14,0.4013434307939,0.788,0.745,7.2556205538102e-10,0.376940133037694,8,0.534691279439847,10,"NASP","p_val_adj<0.05"
"PTPRE",6.66217131628962e-05,0.400339133033254,0.435,0.401,1,0.457831325301205,8,0.604733727810651,10,"PTPRE","NS"
"SENP6",1.23874881295927e-19,0.399659798480517,0.663,0.567,3.28082623112261e-15,0.353562005277045,8,0.615384615384615,10,"SENP6","p_val_adj<0.05"
"EEF2K",1.54160597352355e-20,0.399182194272685,0.622,0.478,4.08294342087711e-16,0.362359550561798,9,0.726190476190476,9,"EEF2K","p_val_adj<0.05"
"GOLIM4",1.28103564158335e-37,0.399127714761109,0.738,0.55,3.39282289673351e-33,0.383886255924171,9,0.366379310344828,11,"GOLIM4","p_val_adj<0.05"
"RAD23A",8.70956236577993e-35,0.399066197186659,0.836,0.864,2.30672759257681e-30,0.341004184100418,10,0.49917718047175,11,"RAD23A","p_val_adj<0.05"
"NAV2",1.58047072002409e-05,0.398982175075852,0.598,0.554,0.41858767019838,0.450292397660819,9,0.681506849315068,10,"NAV2","NS"
"CFTR",1.2640723111596e-84,0.398356133624454,0.266,0.025,3.3478955161062e-80,0.671052631578947,6,0.384615384615385,8,"CFTR","p_val_adj<0.05"
"NFATC2IP",0.0748729314862598,0.398313494809729,0.589,0.65,1,0.42433234421365,6,0.617067833698031,10,"NFATC2IP","NS"
"VEPH1",6.05376617351791e-17,0.398302837879877,0.498,0.355,1.60333997105622e-12,0.550877192982456,8,0.846461949265688,8,"VEPH1","p_val_adj<0.05"
"AKAP8L",4.47399429353219e-21,0.397650178182374,0.556,0.406,1.184937388642e-16,0.433962264150943,8,0.490654205607477,11,"AKAP8L","p_val_adj<0.05"
"CTSF",2.40335540642783e-31,0.397372974818589,0.474,0.249,6.3652867939241e-27,0.416974169741697,9,0.363117870722433,8,"CTSF","p_val_adj<0.05"
"SRCAP",1.06256837826969e-10,0.397359808508473,0.619,0.606,2.81421234984728e-06,0.392655367231638,8,0.632525410476935,10,"SRCAP","p_val_adj<0.05"
"SDPR",6.25056964738717e-12,0.396854542704039,0.385,0.267,1.65546337111049e-07,0.545454545454545,9,0.565602836879433,9,"SDPR","p_val_adj<0.05"
