"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"WSB1",1.60136506456564e-76,1.06258874509949,0.913,0.88,4.24121537350209e-72,0.342911877394636,10,0.500269541778976,11,"WSB1","p_val_adj<0.05"
"KIAA1683",3.57865102891025e-170,1.06153538092488,0.545,0.067,9.47805725006879e-166,0.391025641025641,8,0.408450704225352,7,"KIAA1683","p_val_adj<0.05"
"SOX4",1.46515526830654e-81,1.05595451282698,0.949,0.847,3.88046372810987e-77,0.357274401473296,10,0.534154535274356,10,"SOX4","p_val_adj<0.05"
"SFTA2",6.15688837007826e-126,1.04789233221759,0.904,0.642,1.63065188481523e-121,0.353965183752418,8,0.687592319054653,9,"SFTA2","p_val_adj<0.05"
"EGR1",3.29307267109644e-115,1.03976032363693,0.904,0.525,8.72170296939891e-111,0.359767891682785,9,0.543321299638989,11,"EGR1","p_val_adj<0.05"
"MS4A15",0,1.01815031835067,0.675,0.014,0,0.370466321243523,7,0.866666666666667,4,"MS4A15","p_val_adj<0.05"
"PDE4C",2.57871679045246e-180,1.00012282455755,0.502,0.042,6.82973141951334e-176,0.54006968641115,8,0.617977528089888,8,"PDE4C","p_val_adj<0.05"
"SLC22A31",5.0251297412876e-126,0.980535571570554,0.691,0.209,1.33090561198002e-121,0.432911392405063,8,0.345454545454545,8,"SLC22A31","p_val_adj<0.05"
"FOLR1",6.5629314562492e-82,0.979566071122316,0.892,0.612,1.7381923961876e-77,0.350980392156863,9,0.728117738187452,10,"FOLR1","p_val_adj<0.05"
"TPPP3",2.57465538364562e-132,0.975545626529624,0.563,0.114,6.81897478358542e-128,0.450310559006211,9,0.575,7,"TPPP3","p_val_adj<0.05"
"FLRT3",2.99038886909517e-167,0.971831972764521,0.684,0.162,7.92004491979857e-163,0.38618925831202,9,0.768328445747801,10,"FLRT3","p_val_adj<0.05"
"GLCCI1",1.77462226412516e-120,0.96093277402391,0.726,0.314,4.7000870665355e-116,0.421686746987952,9,0.742081447963801,11,"GLCCI1","p_val_adj<0.05"
"GAS6",6.18668844327668e-105,0.953812893100944,0.684,0.252,1.63854443420183e-100,0.416879795396419,8,0.577067669172932,10,"GAS6","p_val_adj<0.05"
"BRD2",4.51642039682621e-69,0.952060929775606,0.904,0.846,1.19617394209942e-64,0.363636363636364,10,0.444506726457399,11,"BRD2","p_val_adj<0.05"
"CEACAM6",1.65208483873175e-39,0.952017986542276,0.846,0.734,4.37554669538105e-35,0.367768595041322,9,0.506459948320413,11,"CEACAM6","p_val_adj<0.05"
"IRX2",1.13370901968195e-121,0.947352769756182,0.741,0.327,3.00262833862764e-117,0.422169811320755,8,0.489855072463768,8,"IRX2","p_val_adj<0.05"
"TMPRSS2",5.65967768407277e-92,0.942199426807748,0.771,0.43,1.49896563462667e-87,0.374149659863946,9,0.693156732891832,9,"TMPRSS2","p_val_adj<0.05"
"ALDH3A2",1.89854051136538e-69,0.941178016191178,0.837,0.697,5.02828454435121e-65,0.365344467640919,8,0.495575221238938,11,"ALDH3A2","p_val_adj<0.05"
"ALDH1A1",1.01383675597328e-173,0.937278264879129,0.643,0.106,2.68514664819524e-169,0.432065217391304,9,0.650224215246637,8,"ALDH1A1","p_val_adj<0.05"
"CYP2B7P",8.52194408114901e-173,0.933767364742894,0.717,0.18,2.25703688989232e-168,0.414634146341463,8,0.428947368421053,9,"CYP2B7P","p_val_adj<0.05"
